Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771633761733,6167.6343994140625,2900,1,0.8875,6167.6343994140625,2900,1,0.8875,5980.091720581055,2900,1,0.8875,5980.091720581055,2900,1,0.8875,5508.608322143555,2900,1,0.8875,5508.608322143555,2900,1,0.8875,5755.1456298828125,2900,1,0.8875,5755.1456298828125,2900,1,0.8875,38941.28144836426,2893,1113,2892,1113,2894,2894,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2.5,4.878048419952393,5,2.5,5,4.878048419952393,5,10,4.878048419952393,2.5,2.5,2.5,4.878048419952393,7.142857551574707,7.317072868347168,2.5641026496887207,33039077376,8999923712,5145919488,0
199,1771633761733,6167.636749267578,2900,1,0.8875,6167.636749267578,2900,1,0.8875,5980.091735839844,2900,1,0.8875,5980.091735839844,2900,1,0.8875,5508.609024047852,2900,1,0.8875,5508.609024047852,2900,1,0.8875,5755.145645141602,2900,1,0.8875,5755.145645141602,2900,1,0.8875,38941.298416137695,2893,1113,2892,1113,2894,2894,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2.5,4.878048419952393,5,2.5,5,4.878048419952393,5,10,4.878048419952393,2.5,2.5,2.5,4.878048419952393,7.142857551574707,7.317072868347168,2.5641026496887207,33039077376,8999923712,5145919488,0
199,1771633761933,6167.644622802734,2900,1,0.8875,6167.644622802734,2900,1,0.8875,5980.1107177734375,2900,1,0.8875,5980.1107177734375,2900,1,0.8875,5508.729385375977,2900,1,0.8875,5508.729385375977,2900,1,0.8875,5755.287368774414,2900,1,0.8875,5755.287368774414,2900,1,0.8875,38943.226974487305,2893,1113,2892,1113,2894,2894,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,13.043478012084961,0,4.761904716491699,19.047618865966797,4.761904716491699,0,0,71.42857360839844,5,0,45,0,0,40,0,0,33039077376,8999923712,5375524864,0
199,1771633762133,6167.814590454102,2900,1,0.8875,6167.814590454102,2900,1,0.8875,5980.279678344727,2900,1,0.8875,5980.279678344727,2900,1,0.8875,5509.026306152344,2900,1,0.8875,5509.026306152344,2900,1,0.8875,5755.556701660156,2900,1,0.8875,5755.556701660156,2900,1,0.8875,38946.0553894043,2893,1113,2892,1113,2894,2894,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,57.894737243652344,0,25,85,15.000000953674316,0,5,100,57.894737243652344,5,80,0,0,100,35,0,33039077376,8999923712,5674041344,0
199,1771633762333,6168.094696044922,2900,1,0.8875,6168.094696044922,2900,1,0.8875,5980.550689697266,2900,1,0.8875,5980.550689697266,2900,1,0.8875,5509.359130859375,2900,1,0.8875,5509.359130859375,2900,1,0.8875,5755.828216552734,2900,1,0.8875,5755.828216552734,2900,1,0.8875,38949.45622253418,2893,1113,2892,1113,2894,2894,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,66.66667175292969,70,30.000001907348633,52.6315803527832,65,15.000000953674316,0,100,76.19047546386719,60.000003814697266,60.000003814697266,65,25,100,60.000003814697266,20,33039077376,8999923712,5930799104,0
199,1771633762534,6168.378723144531,2900,1,0.8875,6168.380126953125,2900,1,0.8875,5980.833557128906,2900,1,0.8875,5980.833557128906,2900,1,0.8875,5509.680923461914,2900,1,0.8875,5509.680923461914,2900,1,0.8875,5756.1131591796875,2900,1,0.8875,5756.1131591796875,2900,1,0.8875,38953.23237609863,2893,1113,2892,1113,2894,2894,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,100,50,100,36.842105865478516,70,80.95238494873047,45,100,47.36842346191406,100,50,66.66667175292969,42.105262756347656,100,100,75,33039077376,8999923712,6176890880,0
198,1771633762735,6168.691833496094,2900,1,0.8875,6168.691833496094,2900,1,0.8875,5981.113906860352,2900,1,0.8875,5981.113906860352,2900,1,0.8875,5509.973251342773,2900,1,0.8875,5509.974227905273,2900,1,0.8875,5756.40055847168,2900,1,0.8875,5756.40055847168,2900,1,0.8875,38957.05044555664,2893,1113,2892,1113,2894,2894,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,68.42105102539063,100,100,50,100,47.36842346191406,57.894737243652344,100,90.47618865966797,50,55.55555725097656,95.23809814453125,47.619049072265625,100,100,50,33039077376,8999923712,6218522624,0
199,1771633762934,6168.949752807617,2900,1,0.8875,6168.949752807617,2900,1,0.8875,5981.387130737305,2900,1,0.8875,5981.387130737305,2900,1,0.8875,5510.230682373047,2900,1,0.8875,5510.230682373047,2900,1,0.8875,5756.682922363281,2900,1,0.8875,5756.682922363281,2900,1,0.8875,38960.67639160156,2893,1113,2892,1113,2894,2894,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,68.42105102539063,100,100,50,100,47.36842346191406,57.894737243652344,100,90.47618865966797,50,55.55555725097656,95.23809814453125,47.619049072265625,100,100,50,33039077376,8999923712,6284894208,0
199,1771633763134,6169.232513427734,2900,1,0.8875,6169.232513427734,2900,1,0.8875,5981.653518676758,2900,1,0.8875,5981.653518676758,2900,1,0.8875,5510.47785949707,2900,1,0.8875,5510.47785949707,2900,1,0.8875,5756.97998046875,2900,1,0.8875,5756.97998046875,2900,1,0.8875,38964.29286193848,2893,1113,2892,1113,2894,2894,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,44.73684310913086,100,100,50,80,64.10256958007813,41.02564239501953,100,100,45,39.02438735961914,100,51.28205490112305,100,100,47.5,33039077376,8999923712,6302982144,0
200,1771633763334,6169.511184692383,2900,1,0.8875,6169.511306762695,2900,1,0.8875,5981.9149169921875,2900,1,0.8875,5981.9149169921875,2900,1,0.8875,5510.739471435547,2900,1,0.8875,5510.739471435547,2900,1,0.8875,5757.257766723633,2900,1,0.8875,5757.257766723633,2900,1,0.8875,38967.920318603516,2893,1113,2892,1113,2894,2894,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,57.142860412597656,95.23809814453125,100,21.052631378173828,40,100,45,100,100,45,47.36842346191406,100,45,100,100,52.6315803527832,33039077376,8999923712,6358634496,0
