Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771646195277,9232.871704101563,2900,1,0.8875,9232.871704101563,2900,1,0.8875,8653.600143432617,2900,1,0.8875,8653.600143432617,2900,1,0.8875,8328.375473022461,2900,1,0.8875,8328.375473022461,2900,1,0.8875,8409.147964477539,2900,1,0.8875,8409.147964477539,2900,1,0.8875,51507.52294921875,1113,1113,2884,1113,2894,1113,1113,2894,2894,1113,2894,1113,2896,1113,1113,1113,2.5,4.878048419952393,5,5,4.878048419952393,5,0,2.5,2.5,7.317072868347168,2.5,2.5,2.5,4.878048419952393,4.878048419952393,4.878048419952393,33039077376,8999923712,5193830400,0
199,1771646195278,9232.874633789063,2900,1,0.8875,9232.874633789063,2900,1,0.8875,8653.600158691406,2900,1,0.8875,8653.600158691406,2900,1,0.8875,8328.375854492188,2900,1,0.8875,8328.375930786133,2900,1,0.8875,8409.147979736328,2900,1,0.8875,8409.147979736328,2900,1,0.8875,51507.54313659668,1113,1113,2884,1113,2894,1113,1113,2894,2894,1113,2894,1113,2896,1113,1113,1113,2.5,4.878048419952393,5,5,4.878048419952393,5,0,2.5,2.5,7.317072868347168,2.5,2.5,2.5,4.878048419952393,4.878048419952393,4.878048419952393,33039077376,8999923712,5193830400,0
199,1771646195478,9233.016998291016,2900,1,0.8875,9233.016998291016,2900,1,0.8875,8653.600860595703,2900,1,0.8875,8653.600860595703,2900,1,0.8875,8328.408340454102,2900,1,0.8875,8328.408340454102,2900,1,0.8875,8409.179565429688,2900,1,0.8875,8409.179565429688,2900,1,0.8875,51509.49871826172,1113,1113,2884,1113,2894,1113,1113,2894,2894,1113,2894,1113,2896,1113,1113,1113,45,0,0,73.68421173095703,19.047618865966797,0,0,0,0,0,0,10,0,10,0,40,33039077376,8999923712,5439791104,0
199,1771646195678,9233.304809570313,2900,1,0.8875,9233.304809570313,2900,1,0.8875,8653.609451293945,2900,1,0.8875,8653.609451293945,2900,1,0.8875,8328.419158935547,2900,1,0.8875,8328.419158935547,2900,1,0.8875,8409.192321777344,2900,1,0.8875,8409.192321777344,2900,1,0.8875,51511.78974914551,1113,1113,2884,1113,2894,1113,1113,2894,2894,1113,2894,1113,2896,1113,1113,1113,75,0,4.761904716491699,47.619049072265625,77.77777862548828,25,15.000000953674316,0,0,4.761904716491699,0,4.761904716491699,0,5,0,76.19047546386719,33039077376,8999923712,5452488704,0
199,1771646195878,9233.582824707031,2900,1,0.8875,9233.582824707031,2900,1,0.8875,8653.62841796875,2900,1,0.8875,8653.62841796875,2900,1,0.8875,8328.430068969727,2900,1,0.8875,8328.430068969727,2900,1,0.8875,8409.20735168457,2900,1,0.8875,8409.20735168457,2900,1,0.8875,51513.98768615723,1113,1113,2884,1113,2894,1113,1113,2894,2894,1113,2894,1113,2896,1113,1113,1113,100,0,10,50,0,100,42.85714340209961,5,5,0,0,5,0,4.761904716491699,0,0,33039077376,8999923712,5474365440,0
199,1771646196078,9233.84733581543,2900,1,0.8875,9233.84733581543,2900,1,0.8875,8653.651992797852,2900,1,0.8875,8653.651992797852,2900,1,0.8875,8328.447738647461,2900,1,0.8875,8328.447738647461,2900,1,0.8875,8409.224594116211,2900,1,0.8875,8409.224594116211,2900,1,0.8875,51516.22659301758,1113,1113,2884,1113,2894,1113,1113,2894,2894,1113,2894,1113,2896,1113,1113,1113,100,0,45,5,4.761904716491699,100,47.619049072265625,0,5,4.761904716491699,5,0,0,0,10,0,33039077376,8999923712,5492830208,0
199,1771646196278,9234.110641479492,2900,1,0.8875,9234.110641479492,2900,1,0.8875,8653.65299987793,2900,1,0.8875,8653.65299987793,2900,1,0.8875,8328.450881958008,2900,1,0.8875,8328.450881958008,2900,1,0.8875,8409.229583740234,2900,1,0.8875,8409.229583740234,2900,1,0.8875,51518.346603393555,1113,1113,2884,1113,2894,1113,1113,2894,2894,1113,2894,1113,2896,1113,1113,1113,100,0,36.842105865478516,0,0,100,42.105262756347656,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5509230592,0
199,1771646196478,9234.370651245117,2900,1,0.8875,9234.370651245117,2900,1,0.8875,8653.661895751953,2900,1,0.8875,8653.661895751953,2900,1,0.8875,8328.458923339844,2900,1,0.8875,8328.458923339844,2900,1,0.8875,8409.236831665039,2900,1,0.8875,8409.236831665039,2900,1,0.8875,51520.441146850586,1113,1113,2884,1113,2894,1113,1113,2894,2894,1113,2894,1113,2896,1113,1113,1113,100,0,35,0,0,100,35,0,0,0,0,5,4.761904716491699,4.761904716491699,0,0,33039077376,8999923712,5526147072,0
200,1771646196678,9234.626281738281,2900,1,0.8875,9234.626281738281,2900,1,0.8875,8653.67073059082,2900,1,0.8875,8653.67073059082,2900,1,0.8875,8328.469741821289,2900,1,0.8875,8328.469741821289,2900,1,0.8875,8409.243286132813,2900,1,0.8875,8409.243286132813,2900,1,0.8875,51522.53895568848,1113,1113,2884,1113,2894,1113,1113,2894,2894,1113,2894,1113,2896,1113,1113,1113,100,0,36.842105865478516,0,0,100,33.333335876464844,0,0,5,0,0,0,0,5,0,33039077376,8999923712,5526405120,0
199,1771646196879,9234.881881713867,2900,1,0.8875,9234.88314819336,2900,1,0.8875,8653.67105102539,2900,1,0.8875,8653.67105102539,2900,1,0.8875,8328.473388671875,2900,1,0.8875,8328.473388671875,2900,1,0.8875,8409.24722290039,2900,1,0.8875,8409.24722290039,2900,1,0.8875,51524.57978820801,1113,1113,2884,1113,2894,1113,1113,2894,2894,1113,2894,1113,2896,1113,1113,1113,100,0,31.57894515991211,0,0,100,26.3157901763916,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5542805504,0
