Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771659270971,12506.00326538086,2900,1,0.8875,12506.00326538086,2900,1,0.8875,11568.281631469727,2900,1,0.8875,11568.281631469727,2900,1,0.8875,11295.087417602539,2900,1,0.8875,11295.087417602539,2900,1,0.8875,11285.691192626953,2900,1,0.8875,11285.691192626953,2900,1,0.8875,2494.1887817382813,2894,1113,2894,1113,2893,2894,1113,2894,2894,1113,2894,1113,1113,1113,2894,1113,2.3809523582458496,2.3809523582458496,4.761904716491699,2.3809523582458496,4.761904716491699,2.4390242099761963,4.761904716491699,4.761904716491699,2.4390242099761963,4.651162624359131,2.4390242099761963,2.3809523582458496,4.651162624359131,2.3809523582458496,9.523809432983398,4.761904716491699,33039077376,8999923712,5139161088,0
199,1771659270972,12506.003280639648,2900,1,0.8875,12506.003280639648,2900,1,0.8875,11568.281646728516,2900,1,0.8875,11568.281646728516,2900,1,0.8875,11295.09048461914,2900,1,0.8875,11295.09048461914,2900,1,0.8875,11285.691207885742,2900,1,0.8875,11285.691207885742,2900,1,0.8875,2494.205612182617,2894,1113,2894,1113,2893,2894,1113,2894,2894,1113,2894,1113,1113,1113,2894,1113,2.3809523582458496,2.3809523582458496,4.761904716491699,2.3809523582458496,4.761904716491699,2.4390242099761963,4.761904716491699,4.761904716491699,2.4390242099761963,4.651162624359131,2.4390242099761963,2.3809523582458496,4.651162624359131,2.3809523582458496,9.523809432983398,4.761904716491699,33039077376,8999923712,5139161088,0
200,1771659271172,12506.009231567383,2900,1,0.8875,12506.009231567383,2900,1,0.8875,11568.282501220703,2900,1,0.8875,11568.282501220703,2900,1,0.8875,11295.299285888672,2900,1,0.8875,11295.299285888672,2900,1,0.8875,11285.692626953125,2900,1,0.8875,11285.692626953125,2900,1,0.8875,2496.0884704589844,2894,1113,2894,1113,2893,2894,1113,2894,2894,1113,2894,1113,1113,1113,2894,1113,9.090909004211426,0,0,0,0,0,5,90,0,0,4.545454502105713,50,0,0,20,0,33039077376,8999923712,5197336576,0
199,1771659271372,12506.012496948242,2900,1,0.8875,12506.012496948242,2900,1,0.8875,11568.28384399414,2900,1,0.8875,11568.28384399414,2900,1,0.8875,11295.474182128906,2900,1,0.8875,11295.474182128906,2900,1,0.8875,11285.693710327148,2900,1,0.8875,11285.693710327148,2900,1,0.8875,2497.900863647461,2894,1113,2894,1113,2893,2894,1113,2894,2894,1113,2894,1113,1113,1113,2894,1113,0,0,0,0,0,0,0,100,9.090909004211426,0,0,40,0,0,0,0,33039077376,8999923712,5205536768,0
199,1771659271572,12506.037322998047,2900,1,0.8875,12506.037322998047,2900,1,0.8875,11568.323013305664,2900,1,0.8875,11568.323013305664,2900,1,0.8875,11295.615249633789,2900,1,0.8875,11295.615249633789,2900,1,0.8875,11285.701171875,2900,1,0.8875,11285.701171875,2900,1,0.8875,2499.7845001220703,2894,1113,2894,1113,2893,2894,1113,2894,2894,1113,2894,1113,1113,1113,2894,1113,5,0,0,0,0,0,5,100,5.263157844543457,0,0,31.57894515991211,0,0,10,0,33039077376,8999923712,5215305728,0
199,1771659271772,12506.186004638672,2900,1,0.8875,12506.186004638672,2900,1,0.8875,11568.33708190918,2900,1,0.8875,11568.33708190918,2900,1,0.8875,11295.621307373047,2900,1,0.8875,11295.621307373047,2900,1,0.8875,11285.714141845703,2900,1,0.8875,11285.714141845703,2900,1,0.8875,2501.679733276367,2894,1113,2894,1113,2893,2894,1113,2894,2894,1113,2894,1113,1113,1113,2894,1113,35,0,9.523809432983398,0,9.523809432983398,0,4.761904716491699,100,5,0,0,0,5,0,5,0,33039077376,8999923712,5224267776,0
199,1771659271972,12506.326141357422,2900,1,0.8875,12506.326217651367,2900,1,0.8875,11568.337203979492,2900,1,0.8875,11568.337203979492,2900,1,0.8875,11295.6220703125,2900,1,0.8875,11295.6220703125,2900,1,0.8875,11285.714797973633,2900,1,0.8875,11285.714797973633,2900,1,0.8875,2503.4271392822266,2894,1113,2894,1113,2893,2894,1113,2894,2894,1113,2894,1113,1113,1113,2894,1113,35,0,0,0,0,0,0,100,0,0,0,0,0,0,5,0,33039077376,8999923712,5224165376,0
199,1771659272172,12506.462020874023,2900,1,0.8875,12506.462020874023,2900,1,0.8875,11568.339324951172,2900,1,0.8875,11568.339324951172,2900,1,0.8875,11295.62434387207,2900,1,0.8875,11295.62434387207,2900,1,0.8875,11285.717498779297,2900,1,0.8875,11285.717498779297,2900,1,0.8875,2505.1876525878906,2894,1113,2894,1113,2893,2894,1113,2894,2894,1113,2894,1113,1113,1113,2894,1113,27.77777862548828,0,0,0,0,0,5,100,0,0,0,0,0,0,0,0,33039077376,8999923712,5232832512,0
199,1771659272373,12506.594528198242,2900,1,0.8875,12506.594528198242,2900,1,0.8875,11568.339447021484,2900,1,0.8875,11568.339447021484,2900,1,0.8875,11295.624374389648,2900,1,0.8875,11295.624374389648,2900,1,0.8875,11285.719604492188,2900,1,0.8875,11285.719604492188,2900,1,0.8875,2506.9600524902344,2894,1113,2894,1113,2893,2894,1113,2894,2894,1113,2894,1113,1113,1113,2894,1113,30.000001907348633,0,0,0,0,4.761904716491699,0,100,0,0,0,0,0,0,5,0,33039077376,8999923712,5242839040,0
200,1771659272573,12506.724670410156,2900,1,0.8875,12506.724670410156,2900,1,0.8875,11568.339584350586,2900,1,0.8875,11568.339584350586,2900,1,0.8875,11295.625762939453,2900,1,0.8875,11295.625762939453,2900,1,0.8875,11285.719680786133,2900,1,0.8875,11285.719680786133,2900,1,0.8875,2508.720489501953,2894,1113,2894,1113,2893,2894,1113,2894,2894,1113,2894,1113,1113,1113,2894,1113,31.57894515991211,0,0,0,0,0,9.523809432983398,100,0,0,0,0,0,0,5,0,33039077376,8999923712,5251039232,0
