Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771647668228,9559.349914550781,2900,1,0.8875,9559.349914550781,2900,1,0.8875,8982.551162719727,2900,1,0.8875,8982.551162719727,2900,1,0.8875,8669.20443725586,2900,1,0.8875,8669.20443725586,2900,1,0.8875,8726.508224487305,2900,1,0.8875,8726.508224487305,2900,1,0.8875,60719.55125427246,2894,2894,2889,2884,2894,2894,2894,2895,1113,1113,1113,2894,1113,1113,2872,2894,4.545454502105713,4.44444465637207,4.44444465637207,4.34782600402832,8.88888931274414,2.2727272510528564,4.545454502105713,4.44444465637207,2.2727272510528564,4.34782600402832,2.2727272510528564,0,2.222222328186035,2.222222328186035,4.44444465637207,2.2727272510528564,33039077376,8999923712,5198520320,0
199,1771647668228,9559.352249145508,2900,1,0.8875,9559.352249145508,2900,1,0.8875,8982.551177978516,2900,1,0.8875,8982.551177978516,2900,1,0.8875,8669.204452514648,2900,1,0.8875,8669.204452514648,2900,1,0.8875,8726.508239746094,2900,1,0.8875,8726.508239746094,2900,1,0.8875,60719.56578063965,2894,2894,2889,2884,2894,2894,2894,2895,1113,1113,1113,2894,1113,1113,2872,2894,4.545454502105713,4.44444465637207,4.44444465637207,4.34782600402832,8.88888931274414,2.2727272510528564,4.545454502105713,4.44444465637207,2.2727272510528564,4.34782600402832,2.2727272510528564,0,2.222222328186035,2.222222328186035,4.44444465637207,2.2727272510528564,33039077376,8999923712,5198520320,0
199,1771647668428,9559.483306884766,2900,1,0.8875,9559.483306884766,2900,1,0.8875,8982.568862915039,2900,1,0.8875,8982.568862915039,2900,1,0.8875,8669.207000732422,2900,1,0.8875,8669.207000732422,2900,1,0.8875,8726.59033203125,2900,1,0.8875,8726.59033203125,2900,1,0.8875,60721.500411987305,2894,2894,2889,2884,2894,2894,2894,2895,1113,1113,1113,2894,1113,1113,2872,2894,4.761904716491699,47.619049072265625,19.047618865966797,0,5,4.545454502105713,85,0,4.761904716491699,5,0,0,0,28.571430206298828,0,0,33039077376,8999923712,5454413824,0
199,1771647668628,9559.861755371094,2900,1,0.8875,9559.861755371094,2900,1,0.8875,8982.753982543945,2900,1,0.8875,8982.753982543945,2900,1,0.8875,8669.417953491211,2900,1,0.8875,8669.417953491211,2900,1,0.8875,8726.772323608398,2900,1,0.8875,8726.773376464844,2900,1,0.8875,60724.34115600586,2894,2894,2889,2884,2894,2894,2894,2895,1113,1113,1113,2894,1113,1113,2872,2894,0,95,36.842105865478516,0,65,0,100,0,0,70,30.000001907348633,47.619049072265625,5,75,21.052631378173828,4.761904716491699,33039077376,8999923712,5726965760,0
199,1771647668828,9560.216812133789,2900,1,0.8875,9560.216812133789,2900,1,0.8875,8982.933990478516,2900,1,0.8875,8982.933990478516,2900,1,0.8875,8669.790954589844,2900,1,0.8875,8669.790954589844,2900,1,0.8875,8726.97543334961,2900,1,0.8875,8726.97543334961,2900,1,0.8875,60727.90721130371,2894,2894,2889,2884,2894,2894,2894,2895,1113,1113,1113,2894,1113,1113,2872,2894,35,100,25,52.6315803527832,100,52.6315803527832,100,55,63.15789031982422,26.3157901763916,45,100,20,80.95238494873047,80,20,33039077376,8999923712,6010355712,0
199,1771647669028,9560.563720703125,2900,1,0.8875,9560.563720703125,2900,1,0.8875,8983.117004394531,2900,1,0.8875,8983.117004394531,2900,1,0.8875,8670.229278564453,2900,1,0.8875,8670.229278564453,2900,1,0.8875,8727.176742553711,2900,1,0.8875,8727.176742553711,2900,1,0.8875,60731.744369506836,2894,2894,2889,2884,2894,2894,2894,2895,1113,1113,1113,2894,1113,1113,2872,2894,57.894737243652344,100,80,80.95238494873047,100,65,100,100,71.42857360839844,35,100,100,57.894737243652344,63.15789031982422,60.000003814697266,50,33039077376,8999923712,6284275712,0
198,1771647669230,9560.901962280273,2900,1,0.8875,9560.90364074707,2900,1,0.8875,8983.341873168945,2900,1,0.8875,8983.341873168945,2900,1,0.8875,8670.637786865234,2900,1,0.8875,8670.637786865234,2900,1,0.8875,8727.522109985352,2900,1,0.8875,8727.522109985352,2900,1,0.8875,60735.63442993164,2894,2894,2889,2884,2894,2894,2894,2895,1113,1113,1113,2894,1113,1113,2872,2894,80,100,100,95,80.95238494873047,90.47618865966797,100,60.000003814697266,80,76.19047546386719,100,95,80.95238494873047,85,85.71428680419922,95,33039077376,8999923712,6343598080,0
200,1771647669429,9561.23649597168,2900,1,0.8875,9561.23649597168,2900,1,0.8875,8983.662475585938,2900,1,0.8875,8983.662475585938,2900,1,0.8875,8670.985076904297,2900,1,0.8875,8670.985076904297,2900,1,0.8875,8727.864379882813,2900,1,0.8875,8727.864379882813,2900,1,0.8875,60739.53935241699,2894,2894,2889,2884,2894,2894,2894,2895,1113,1113,1113,2894,1113,1113,2872,2894,80,100,100,95,80.95238494873047,90.47618865966797,100,60.000003814697266,80,76.19047546386719,100,95,80.95238494873047,85,85.71428680419922,95,33039077376,8999923712,6388666368,0
201,1771647669630,9561.46614074707,2900,1,0.8875,9561.468719482422,2900,1,0.8875,8984.055908203125,2900,1,0.8875,8984.060165405273,2900,1,0.8875,8671.359512329102,2900,1,0.8875,8671.359512329102,2900,1,0.8875,8728.263580322266,2900,1,0.8875,8728.263580322266,2900,1,0.8875,60743.51077270508,2894,2894,2889,2884,2894,2894,2894,2895,1113,1113,1113,2894,1113,1113,2872,2894,95.1219482421875,84.61538696289063,100,79.4871826171875,87.5,95,95,92.30769348144531,87.5,94.87179565429688,87.5,100,100,74.35897827148438,92.30769348144531,100,33039077376,8999923712,6453723136,0
200,1771647669832,9561.694122314453,2900,1,0.8875,9561.694122314453,2900,1,0.8875,8984.466857910156,2900,1,0.8875,8984.466857910156,2900,1,0.8875,8671.735427856445,2900,1,0.8875,8671.735427856445,2900,1,0.8875,8728.680847167969,2900,1,0.8875,8728.680847167969,2900,1,0.8875,60747.40266418457,2894,2894,2889,2884,2894,2894,2894,2895,1113,1113,1113,2894,1113,1113,2872,2894,80.95238494873047,90,100,85,84.21052551269531,85,95.23809814453125,85.71428680419922,95,100,90.47618865966797,100,100,100,90,100,33039077376,8999923712,6502809600,0
