Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771631339922,5567.951187133789,2900,1,0.8875,5567.951187133789,2900,1,0.8875,5392.854583740234,2900,1,0.8875,5392.854583740234,2900,1,0.8875,5003.336990356445,2900,1,0.8875,5003.336990356445,2900,1,0.8875,5137.647506713867,2900,1,0.8875,5137.647506713867,2900,1,0.8875,23444.71226501465,2891,1113,1113,1113,2894,1113,1113,2894,2893,1113,2894,1113,2894,1113,1113,1113,2.3809523582458496,4.761904716491699,2.3809523582458496,4.545454502105713,2.3809523582458496,2.3809523582458496,2.3809523582458496,2.3809523582458496,9.523809432983398,6.818181991577148,2.4390242099761963,2.3809523582458496,4.651162624359131,2.3809523582458496,2.3809523582458496,2.3809523582458496,33039077376,8999923712,5125496832,0
199,1771631339922,5567.951217651367,2900,1,0.8875,5567.951217651367,2900,1,0.8875,5392.857131958008,2900,1,0.8875,5392.857131958008,2900,1,0.8875,5003.337051391602,2900,1,0.8875,5003.337051391602,2900,1,0.8875,5137.648376464844,2900,1,0.8875,5137.648376464844,2900,1,0.8875,23444.72639465332,2891,1113,1113,1113,2894,1113,1113,2894,2893,1113,2894,1113,2894,1113,1113,1113,2.3809523582458496,4.761904716491699,2.3809523582458496,4.545454502105713,2.3809523582458496,2.3809523582458496,2.3809523582458496,2.3809523582458496,9.523809432983398,6.818181991577148,2.4390242099761963,2.3809523582458496,4.651162624359131,2.3809523582458496,2.3809523582458496,2.3809523582458496,33039077376,8999923712,5125496832,0
199,1771631340122,5567.968353271484,2900,1,0.8875,5567.968353271484,2900,1,0.8875,5393.150894165039,2900,1,0.8875,5393.150894165039,2900,1,0.8875,5003.380523681641,2900,1,0.8875,5003.380523681641,2900,1,0.8875,5137.697036743164,2900,1,0.8875,5137.697036743164,2900,1,0.8875,23446.69061279297,2891,1113,1113,1113,2894,1113,1113,2894,2893,1113,2894,1113,2894,1113,1113,1113,4.761904716491699,0,0,25,0,0,42.85714340209961,0,85.71428680419922,0,9.090909004211426,14.285715103149414,20,0,0,19.047618865966797,33039077376,8999923712,5357785088,0
199,1771631340322,5567.976470947266,2900,1,0.8875,5567.976470947266,2900,1,0.8875,5393.558288574219,2900,1,0.8875,5393.558288574219,2900,1,0.8875,5003.465301513672,2900,1,0.8875,5003.465301513672,2900,1,0.8875,5137.716491699219,2900,1,0.8875,5137.716491699219,2900,1,0.8875,23449.00245666504,2891,1113,1113,1113,2894,1113,1113,2894,2893,1113,2894,1113,2894,1113,1113,1113,0,0,0,57.142860412597656,0,0,100,0,100,0,0,26.3157901763916,10,0,0,15.000000953674316,33039077376,8999923712,5375561728,0
199,1771631340522,5568.031463623047,2900,1,0.8875,5568.031463623047,2900,1,0.8875,5393.958511352539,2900,1,0.8875,5393.958511352539,2900,1,0.8875,5003.566970825195,2900,1,0.8875,5003.566970825195,2900,1,0.8875,5137.759384155273,2900,1,0.8875,5137.759384155273,2900,1,0.8875,23451.44512939453,2891,1113,1113,1113,2894,1113,1113,2894,2893,1113,2894,1113,2894,1113,1113,1113,15.000000953674316,0,0,68.42105102539063,0,0,100,0,100,5,4.761904716491699,33.333335876464844,15.000000953674316,0,0,10.526315689086914,33039077376,8999923712,5392965632,0
199,1771631340722,5568.076797485352,2900,1,0.8875,5568.076797485352,2900,1,0.8875,5394.358673095703,2900,1,0.8875,5394.358673095703,2900,1,0.8875,5003.5872802734375,2900,1,0.8875,5003.5872802734375,2900,1,0.8875,5137.887512207031,2900,1,0.8875,5137.887512207031,2900,1,0.8875,23453.83367919922,2891,1113,1113,1113,2894,1113,1113,2894,2893,1113,2894,1113,2894,1113,1113,1113,15.000000953674316,5,5,65,0,0,100,0,100,5,0,0,50,0,5.263157844543457,0,33039077376,8999923712,5417648128,0
199,1771631340923,5568.086990356445,2900,1,0.8875,5568.088729858398,2900,1,0.8875,5394.756149291992,2900,1,0.8875,5394.756149291992,2900,1,0.8875,5003.608993530273,2900,1,0.8875,5003.608993530273,2900,1,0.8875,5138.028762817383,2900,1,0.8875,5138.028762817383,2900,1,0.8875,23456.198959350586,2891,1113,1113,1113,2894,1113,1113,2894,2893,1113,2894,1113,2894,1113,1113,1113,0,0,0,65,0,0,100,0,100,0,15.000000953674316,0,50,0,10,0,33039077376,8999923712,5442420736,0
199,1771631341123,5568.122665405273,2900,1,0.8875,5568.122665405273,2900,1,0.8875,5395.160202026367,2900,1,0.8875,5395.160202026367,2900,1,0.8875,5003.636489868164,2900,1,0.8875,5003.636489868164,2900,1,0.8875,5138.189636230469,2900,1,0.8875,5138.189636230469,2900,1,0.8875,23458.649017333984,2891,1113,1113,1113,2894,1113,1113,2894,2893,1113,2894,1113,2894,1113,1113,1113,10,5,0,66.66667175292969,0,0,100,0,10,90.47618865966797,10,5,60.000003814697266,0,4.761904716491699,15.000000953674316,33039077376,8999923712,5475651584,0
199,1771631341323,5568.155334472656,2900,1,0.8875,5568.155334472656,2900,1,0.8875,5395.563674926758,2900,1,0.8875,5395.563674926758,2900,1,0.8875,5003.639068603516,2900,1,0.8875,5003.639068603516,2900,1,0.8875,5138.353286743164,2900,1,0.8875,5138.353317260742,2900,1,0.8875,23461.03744506836,2891,1113,1113,1113,2894,1113,1113,2894,2893,1113,2894,1113,2894,1113,1113,1113,19.047618865966797,0,0,61.904762268066406,0,0,100,0,0,100,0,0,65,0,0,10,33039077376,8999923712,5501169664,0
199,1771631341523,5568.186248779297,2900,1,0.8875,5568.186248779297,2900,1,0.8875,5395.971115112305,2900,1,0.8875,5395.971115112305,2900,1,0.8875,5003.641677856445,2900,1,0.8875,5003.641677856445,2900,1,0.8875,5138.527603149414,2900,1,0.8875,5138.527603149414,2900,1,0.8875,23463.42236328125,2891,1113,1113,1113,2894,1113,1113,2894,2893,1113,2894,1113,2894,1113,1113,1113,10.526315689086914,0,0,57.894737243652344,0,0,100,0,0,100,0,0,70,0,0,10,33039077376,8999923712,5533876224,0
