Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771659192173,12476.682357788086,2900,1,0.8875,12476.682357788086,2900,1,0.8875,11539.865966796875,2900,1,0.8875,11539.865966796875,2900,1,0.8875,11260.110412597656,2900,1,0.8875,11260.110412597656,2900,1,0.8875,11244.97427368164,2900,1,0.8875,11244.97427368164,2900,1,0.8875,1842.2595825195313,2894,2894,1113,2894,2882,2894,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,4.651162624359131,2.4390242099761963,2.4390242099761963,4.878048419952393,2.4390242099761963,2.4390242099761963,4.878048419952393,9.756096839904785,12.195121765136719,7.142857551574707,4.878048419952393,2.4390242099761963,2.4390242099761963,2.4390242099761963,4.761904716491699,4.878048419952393,33039077376,8999923712,5198909440,0
199,1771659192173,12476.683364868164,2900,1,0.8875,12476.683364868164,2900,1,0.8875,11539.86865234375,2900,1,0.8875,11539.86865234375,2900,1,0.8875,11260.110427856445,2900,1,0.8875,11260.110427856445,2900,1,0.8875,11244.97494506836,2900,1,0.8875,11244.97494506836,2900,1,0.8875,1842.2769775390625,2894,2894,1113,2894,2882,2894,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,4.651162624359131,2.4390242099761963,2.4390242099761963,4.878048419952393,2.4390242099761963,2.4390242099761963,4.878048419952393,9.756096839904785,12.195121765136719,7.142857551574707,4.878048419952393,2.4390242099761963,2.4390242099761963,2.4390242099761963,4.761904716491699,4.878048419952393,33039077376,8999923712,5198909440,0
181,1771659192391,12476.699432373047,2900,1,0.8875,12476.699432373047,2900,1,0.8875,11539.874954223633,2900,1,0.8875,11539.874954223633,2900,1,0.8875,11260.45932006836,2900,1,0.8875,11260.45932006836,2900,1,0.8875,11245.043975830078,2900,1,0.8875,11245.043975830078,2900,1,0.8875,1844.5019989013672,2894,2894,1113,2894,2882,2894,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,4.545454502105713,0,52.173912048339844,0,0,13.636363983154297,0,0,0,0,86.36363983154297,0,22.72727394104004,0,47.826087951660156,0,33039077376,8999923712,5462396928,0
199,1771659192573,12476.897964477539,2900,1,0.89375,12476.897964477539,2900,1,0.89375,11539.929779052734,2900,1,0.89375,11539.929779052734,2900,1,0.89375,11260.80339050293,2900,1,0.89375,11260.80339050293,2900,1,0.89375,11245.212448120117,2900,1,0.8875,11245.212448120117,2900,1,0.8875,1847.3043518066406,2894,2894,1113,2894,2882,2894,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,4.545454502105713,0,52.173912048339844,0,0,13.636363983154297,0,0,0,0,86.36363983154297,0,22.72727394104004,0,47.826087951660156,0,33039077376,8999923712,5709090816,0
199,1771659192773,12477.121368408203,2900,1,0.8875,12477.121368408203,2900,1,0.8875,11540.17446899414,2900,1,0.8875,11540.17446899414,2900,1,0.8875,11261.244430541992,2900,1,0.8875,11261.244430541992,2900,1,0.8875,11245.526336669922,2900,1,0.8875,11245.526336669922,2900,1,0.8875,1851.0821533203125,2894,2894,1113,2894,2882,2894,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,91.89189147949219,18.91891860961914,100,8.108107566833496,57.894737243652344,46.153846740722656,28.205129623413086,78.94737243652344,52.6315803527832,20.512821197509766,86.84210968017578,44.73684310913086,74.35897827148438,44.73684310913086,71.05262756347656,28.947368621826172,33039077376,8999923712,5984886784,0
199,1771659192974,12477.387573242188,2900,1,0.8875,12477.387573242188,2900,1,0.8875,11540.471771240234,2900,1,0.8875,11540.472885131836,2900,1,0.8875,11261.565475463867,2900,1,0.8875,11261.565475463867,2900,1,0.8875,11245.896560668945,2900,1,0.8875,11245.896560668945,2900,1,0.8875,1854.9520263671875,2894,2894,1113,2894,2882,2894,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,65,80,100,68.42105102539063,85.71428680419922,80,70,100,95.23809814453125,63.15789031982422,100,90,100,100,100,75,33039077376,8999923712,6239977472,0
200,1771659193174,12477.680541992188,2900,1,0.8875,12477.680541992188,2900,1,0.8875,11540.799514770508,2900,1,0.8875,11540.799514770508,2900,1,0.8875,11261.895706176758,2900,1,0.8875,11261.895706176758,2900,1,0.8875,11246.21176147461,2900,1,0.8875,11246.21176147461,2900,1,0.8875,1858.8994140625,2894,2894,1113,2894,2882,2894,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,85,80,100,100,90,94.73684692382813,100,100,94.73684692382813,85,100,85,85,95,95,90,33039077376,8999923712,6331437056,0
200,1771659193375,12477.961349487305,2900,1,0.8875,12477.961349487305,2900,1,0.8875,11541.113220214844,2900,1,0.8875,11541.113220214844,2900,1,0.8875,11262.147003173828,2900,1,0.8875,11262.148254394531,2900,1,0.8875,11246.521759033203,2900,1,0.8875,11246.521759033203,2900,1,0.8875,1862.8258819580078,2894,2894,1113,2894,2882,2894,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,100,95,100,100,100,100,100,85.71428680419922,100,100,95,100,95,90,85,100,33039077376,8999923712,6414815232,0
199,1771659193576,12478.239456176758,2900,1,1.025,12478.239456176758,2900,1,1.025,11541.388381958008,2900,1,1.025,11541.388381958008,2900,1,1.025,11262.4443359375,2900,1,1.025,11262.4443359375,2900,1,1.025,11246.770065307617,2875,1,1.025,11246.770065307617,2900,1,0.8875,1866.796890258789,2894,2894,1113,2894,2882,2894,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,100,100,100,100,95,100,100,85,100,100,100,90.47618865966797,95.23809814453125,95,94.73684692382813,100,33039077376,8999923712,6481620992,0
199,1771659193776,12478.553482055664,2900,1,0.8875,12478.553482055664,2900,1,0.8875,11541.624649047852,2900,1,0.8875,11541.624649047852,2900,1,0.8875,11262.693466186523,2900,1,0.8875,11262.693466186523,2900,1,0.8875,11247.075653076172,2900,1,0.8875,11247.075653076172,2900,1,0.8875,1870.618637084961,2894,2894,1113,2894,2882,2894,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,100,100,100,100,100,100,90,90,100,100,100,100,100,100,100,100,33039077376,8999923712,6548500480,0
