Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771625780449,4295.569732666016,2900,1,0.8875,4295.569732666016,2900,1,0.8875,4152.798843383789,2900,1,0.8875,4152.798843383789,2900,1,0.8875,3760.290557861328,2900,1,0.8875,3760.290557861328,2900,1,0.8875,3948.607192993164,2900,1,0.8875,3948.607192993164,2900,1,0.8875,54502.2960357666,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,6.976744651794434,9.756096839904785,6.818181991577148,2.3809523582458496,2.3809523582458496,2.3809523582458496,2.3809523582458496,2.3809523582458496,2.4390242099761963,4.761904716491699,4.878048419952393,4.761904716491699,4.761904716491699,4.761904716491699,2.3809523582458496,4.651162624359131,33039077376,8999923712,5091188736,0
199,1771625780449,4295.5723876953125,2900,1,0.8875,4295.5723876953125,2900,1,0.8875,4152.799209594727,2900,1,0.8875,4152.799209594727,2900,1,0.8875,3760.2916717529297,2900,1,0.8875,3760.2916870117188,2900,1,0.8875,3948.6075134277344,2900,1,0.8875,3948.6075134277344,2900,1,0.8875,54502.31510925293,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,6.976744651794434,9.756096839904785,6.818181991577148,2.3809523582458496,2.3809523582458496,2.3809523582458496,2.3809523582458496,2.3809523582458496,2.4390242099761963,4.761904716491699,4.878048419952393,4.761904716491699,4.761904716491699,4.761904716491699,2.3809523582458496,4.651162624359131,33039077376,8999923712,5091188736,0
199,1771625780649,4295.89225769043,2900,1,0.8875,4295.89225769043,2900,1,0.8875,4152.813446044922,2900,1,0.8875,4152.813446044922,2900,1,0.8875,3760.299285888672,2900,1,0.8875,3760.299362182617,2900,1,0.8875,3948.7587127685547,2900,1,0.8875,3948.7587127685547,2900,1,0.8875,54504.35531616211,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,0,85,42.105262756347656,0,0,14.285715103149414,0,4.761904716491699,0,4.761904716491699,0,0,42.85714340209961,0,10,0,33039077376,8999923712,5315059712,0
199,1771625780849,4296.318649291992,2900,1,1.03125,4296.318649291992,2900,1,1.03125,4152.823394775391,2900,1,1.03125,4152.823394775391,2900,1,1.03125,3760.305953979492,2900,1,1.03125,3760.305953979492,2900,1,1.03125,3948.9703826904297,2900,1,1.03125,3948.9703826904297,2900,1,1.03125,54506.824310302734,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,35,71.42857360839844,100,0,0,21.052631378173828,5,70,0,5,4.761904716491699,0,68.42105102539063,0,20,0,33039077376,8999923712,5362769920,0
199,1771625781050,4296.721466064453,2900,1,0.8875,4296.721466064453,2900,1,0.8875,4152.871337890625,2900,1,0.8875,4152.871337890625,2900,1,0.8875,3760.3155517578125,2900,1,0.8875,3760.3155517578125,2900,1,0.8875,3949.2199096679688,2900,1,0.8875,3949.2199096679688,2900,1,0.8875,54509.3874206543,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,100,0,100,0,0,15.000000953674316,0,90,19.047618865966797,4.761904716491699,0,0,85,4.761904716491699,5,10,33039077376,8999923712,5401436160,0
199,1771625781250,4297.117111206055,2900,1,0.8875,4297.119216918945,2900,1,0.8875,4152.901916503906,2900,1,0.8875,4152.901916503906,2900,1,0.8875,3760.3366088867188,2900,1,0.8875,3760.3366088867188,2900,1,0.8875,3949.4951934814453,2900,1,0.8875,3949.4951934814453,2900,1,0.8875,54511.984603881836,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,100,0,100,0,10,4.761904716491699,0,100,5,0,5,0,100,0,5,25,33039077376,8999923712,5446422528,0
199,1771625781450,4297.509857177734,2900,1,1.0375,4297.509857177734,2900,1,1.0375,4152.907974243164,2900,1,1.0375,4152.907974243164,2900,1,1.0375,3760.3429107666016,2900,1,1.0375,3760.3429107666016,2900,1,1.0375,3949.760696411133,2900,1,0.89375,3949.760696411133,2900,1,0.89375,54514.46662902832,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,100,0,90,0,15.000000953674316,0,0,100,0,0,0,0,100,4.761904716491699,0,10.526315689086914,33039077376,8999923712,5475180544,0
199,1771625781650,4297.836273193359,2900,1,0.89375,4297.836273193359,2900,1,0.89375,4152.922393798828,2900,1,0.8875,4152.922393798828,2900,1,0.8875,3760.361099243164,2900,1,0.8875,3760.361099243164,2900,1,0.8875,3950.022674560547,2900,1,0.8875,3950.022674560547,2900,1,0.8875,54516.92352294922,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,85,0,76.19047546386719,0,14.285715103149414,0,0,100,0,0,0,9.090909004211426,100,0,0,10,33039077376,8999923712,5508370432,0
199,1771625781850,4298.13346862793,2900,1,0.8875,4298.13346862793,2900,1,0.8875,4152.928527832031,2900,1,0.8875,4152.928527832031,2900,1,0.8875,3760.3623046875,2900,1,0.8875,3760.3623046875,2900,1,0.8875,3950.277557373047,2900,1,0.8875,3950.277557373047,2900,1,0.8875,54519.315673828125,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,75,0,75,0,15.000000953674316,0,0,100,0,4.761904716491699,0,0,100,0,0,14.285715103149414,33039077376,8999923712,5525516288,0
199,1771625782050,4298.410598754883,2900,1,0.8875,4298.410598754883,2900,1,0.8875,4152.94026184082,2900,1,0.8875,4152.94026184082,2900,1,0.8875,3760.3709106445313,2900,1,0.8875,3760.3709106445313,2900,1,0.8875,3950.529083251953,2900,1,0.8875,3950.529083251953,2900,1,1.0375,54521.69737243652,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,73.68421173095703,0,72.22222137451172,0,10,0,0,100,0,0,5,0,100,0,0,10,33039077376,8999923712,5542088704,0
199,1771625782250,4298.696350097656,2900,1,0.8875,4298.696350097656,2900,1,0.8875,4152.965957641602,2900,1,0.8875,4152.965957641602,2900,1,0.8875,3760.392593383789,2900,1,0.8875,3760.392593383789,2900,1,0.8875,3950.785400390625,2900,1,0.8875,3950.785400390625,2900,1,0.8875,54524.14572143555,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,75,0,15.000000953674316,0,60.000003814697266,5,0,100,9.523809432983398,0,5,0,100,0,0,15.789472579956055,33039077376,8999923712,5584408576,0
199,1771625782450,4298.996490478516,2900,1,0.8875,4298.996490478516,2900,1,0.8875,4152.968536376953,2900,1,0.8875,4152.968536376953,2900,1,0.8875,3760.3953704833984,2900,1,0.8875,3760.3953704833984,2900,1,0.8875,3951.044219970703,2900,1,0.8875,3951.044219970703,2900,1,0.8875,54526.52326965332,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,75,4.761904716491699,0,0,70,10,0,100,0,0,0,0,100,0,0,15.000000953674316,33039077376,8999923712,5601554432,0
199,1771625782650,4299.287414550781,2900,1,0.8875,4299.287414550781,2900,1,0.8875,4152.980987548828,2900,1,0.8875,4152.981033325195,2900,1,0.8875,3760.4073638916016,2900,1,0.9,3760.4073638916016,2900,1,0.9,3951.3040924072266,2900,1,0.9,3951.3040924072266,2900,1,0.9,54528.92485046387,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,75,0,0,0,70,10.526315689086914,0,100,0,4.761904716491699,0,0,100,5,0,10,33039077376,8999923712,5612249088,0
181,1771625782868,4299.595947265625,2900,1,0.8875,4299.595947265625,2900,1,0.8875,4152.9869384765625,2900,1,0.8875,4152.9869384765625,2900,1,0.8875,3760.413299560547,2900,1,0.8875,3760.413299560547,2900,1,0.8875,3951.5794982910156,2900,1,0.8875,3951.5794982910156,2900,1,0.8875,54531.5158996582,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,72.7272720336914,4.545454502105713,0,0,66.66667175292969,13.043478012084961,0,100,0,0,4.545454502105713,0,100,0,0,13.636363983154297,33039077376,8999923712,5612244992,0
199,1771625783050,4299.848190307617,2900,1,0.8875,4299.848190307617,2900,1,0.8875,4153.004943847656,2900,1,0.8875,4153.004943847656,2900,1,0.8875,3760.420654296875,2900,1,0.8875,3760.420654296875,2900,1,1.03125,3951.805908203125,2900,1,1.03125,3951.805908203125,2900,1,1.03125,54533.67761230469,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,72.7272720336914,4.545454502105713,0,0,66.66667175292969,13.043478012084961,0,100,0,0,4.545454502105713,0,100,0,0,13.636363983154297,33039077376,8999923712,5616541696,0
199,1771625783251,4300.124221801758,2900,1,0.89375,4300.124221801758,2900,1,0.89375,4153.014007568359,2900,1,0.89375,4153.015762329102,2900,1,0.89375,3760.4337463378906,2900,1,0.89375,3760.4337463378906,2900,1,0.89375,3952.0584259033203,2900,1,0.89375,3952.0584259033203,2900,1,0.89375,54536.06968688965,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,18.421052932739258,52.6315803527832,0,0,71.05262756347656,10.526315689086914,0,100,2.6315789222717285,0,0,0,25.641027450561523,76.31578826904297,0,10.526315689086914,33039077376,8999923712,5616541696,0
199,1771625783451,4300.395278930664,2900,1,0.8875,4300.395278930664,2900,1,0.8875,4153.021087646484,2900,1,0.8875,4153.021087646484,2900,1,0.8875,3760.441680908203,2900,1,0.8875,3760.441680908203,2900,1,0.8875,3952.3055877685547,2900,1,0.8875,3952.3067932128906,2900,1,0.8875,54538.43618774414,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,0,73.68421173095703,47.619049072265625,0,20,10,0,100,0,4.761904716491699,0,0,0,100,0,10,33039077376,8999923712,5616541696,0
199,1771625783651,4300.666442871094,2900,1,0.8875,4300.666442871094,2900,1,0.8875,4153.029357910156,2900,1,0.8875,4153.029357910156,2900,1,0.8875,3760.461715698242,2900,1,0.8875,3760.461715698242,2900,1,0.8875,3952.5533599853516,2900,1,0.8875,3952.5533599853516,2900,1,0.8875,54540.82391357422,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,0,71.42857360839844,35,0,35,10.526315689086914,0,100,0,0,5,0,4.761904716491699,100,0,10,33039077376,8999923712,5616541696,0
199,1771625783851,4300.938735961914,2900,1,1.0375,4300.938735961914,2900,1,1.0375,4153.037521362305,2900,1,1.0375,4153.037643432617,2900,1,1.0375,3760.474334716797,2900,1,1.0375,3760.474334716797,2900,1,1.03125,3952.794967651367,2900,1,1.03125,3952.794967651367,2900,1,1.03125,54543.197021484375,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,0,70,0,0,75,10,0,100,0,4.761904716491699,0,9.090909004211426,0,100,0,10,33039077376,8999923712,5613002752,0
199,1771625784051,4301.209655761719,2900,1,1.0375,4301.209655761719,2900,1,1.0375,4153.044342041016,2900,1,1.0375,4153.044342041016,2900,1,1.0375,3760.4903106689453,2900,1,1.0375,3760.4903106689453,2900,1,1.0375,3953.0359649658203,2900,1,1.0375,3953.0359649658203,2900,1,1.0375,54545.57043457031,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,2894,2894,1113,0,73.68421173095703,0,0,70,15.000000953674316,0,100,4.761904716491699,0,5,0,0,100,0,10,33039077376,8999923712,5613441024,0
