Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771645053824,8993.343688964844,2900,1,0.8875,8993.343688964844,2900,1,0.8875,8406.957412719727,2900,1,0.8875,8406.957412719727,2900,1,0.8875,8078.169662475586,2900,1,0.8875,8078.169662475586,2900,1,0.8875,8125.390640258789,2900,1,0.8875,8125.390640258789,2900,1,0.8875,44529.943908691406,2893,2894,2893,2894,2894,2894,2894,1113,2893,2893,2894,2894,2894,2894,2894,2893,2.2727272510528564,2.3255813121795654,4.44444465637207,4.44444465637207,4.44444465637207,2.2727272510528564,2.222222328186035,2.2727272510528564,9.090909004211426,2.3255813121795654,6.6666669845581055,4.651162624359131,4.44444465637207,4.44444465637207,6.6666669845581055,2.2727272510528564,33039077376,8999923712,5178511360,0
199,1771645053824,8993.344177246094,2900,1,0.8875,8993.344177246094,2900,1,0.8875,8406.95864868164,2900,1,0.8875,8406.95864868164,2900,1,0.8875,8078.172180175781,2900,1,0.8875,8078.172180175781,2900,1,0.8875,8125.391265869141,2900,1,0.8875,8125.391265869141,2900,1,0.8875,44529.9612121582,2893,2894,2893,2894,2894,2894,2894,1113,2893,2893,2894,2894,2894,2894,2894,2893,2.2727272510528564,2.3255813121795654,4.44444465637207,4.44444465637207,4.44444465637207,2.2727272510528564,2.222222328186035,2.2727272510528564,9.090909004211426,2.3255813121795654,6.6666669845581055,4.651162624359131,4.44444465637207,4.44444465637207,6.6666669845581055,2.2727272510528564,33039077376,8999923712,5178511360,0
199,1771645054024,8993.36799621582,2900,1,0.8875,8993.36799621582,2900,1,0.8875,8406.962997436523,2900,1,0.8875,8406.962997436523,2900,1,0.8875,8078.298675537109,2900,1,0.8875,8078.298675537109,2900,1,0.8875,8125.4136962890625,2900,1,0.8875,8125.4136962890625,2900,1,0.8875,44531.85893249512,2893,2894,2893,2894,2894,2894,2894,1113,2893,2893,2894,2894,2894,2894,2894,2893,9.523809432983398,0,0,65,10,0,0,0,5,0,10,38.095237731933594,0,9.523809432983398,40,0,33039077376,8999923712,5413924864,0
199,1771645054224,8993.635482788086,2900,1,0.8875,8993.635482788086,2900,1,0.8875,8407.112564086914,2900,1,0.8875,8407.112564086914,2900,1,0.8875,8078.666534423828,2900,1,0.8875,8078.666534423828,2900,1,0.8875,8125.635986328125,2900,1,0.8875,8125.635986328125,2900,1,0.8875,44534.5576171875,2893,2894,2893,2894,2894,2894,2894,1113,2893,2893,2894,2894,2894,2894,2894,2893,73.68421173095703,5,0,50,23.809524536132813,0,10,0,47.36842346191406,5,95,35,5,63.15789031982422,100,0,33039077376,8999923712,5673402368,0
199,1771645054425,8993.960159301758,2900,1,0.8875,8993.960159301758,2900,1,0.8875,8407.378387451172,2900,1,0.8875,8407.378387451172,2900,1,0.8875,8078.994491577148,2900,1,0.8875,8078.994491577148,2900,1,0.8875,8125.964614868164,2900,1,0.8875,8125.964614868164,2900,1,0.8875,44538.01461791992,2893,2894,2893,2894,2894,2894,2894,1113,2893,2893,2894,2894,2894,2894,2894,2893,100,30.000001907348633,0,94.73684692382813,70,28.571430206298828,45,30.000001907348633,47.619049072265625,35,60.000003814697266,73.68421173095703,10.526315689086914,100,100,5,33039077376,8999923712,5953298432,0
199,1771645054625,8994.307739257813,2900,1,0.8875,8994.307739257813,2900,1,0.8875,8407.644836425781,2900,1,0.8875,8407.644836425781,2900,1,0.8875,8079.294860839844,2900,1,0.8875,8079.294860839844,2900,1,0.8875,8126.296615600586,2900,1,0.8875,8126.296615600586,2900,1,0.8875,44541.787368774414,2893,2894,2893,2894,2894,2894,2894,1113,2893,2893,2894,2894,2894,2894,2894,2893,100,65,75,60.000003814697266,40,100,66.66667175292969,66.66667175292969,52.6315803527832,35,26.3157901763916,100,47.619049072265625,100,100,42.105262756347656,33039077376,8999923712,6179213312,0
199,1771645054825,8994.621704101563,2900,1,0.8875,8994.621704101563,2900,1,0.8875,8407.983306884766,2900,1,0.8875,8407.983306884766,2900,1,0.8875,8079.611846923828,2900,1,0.8875,8079.611846923828,2900,1,0.8875,8126.615188598633,2900,1,0.8875,8126.615188598633,2900,1,0.8875,44545.63655090332,2893,2894,2893,2894,2894,2894,2894,1113,2893,2893,2894,2894,2894,2894,2894,2893,100,36.842105865478516,100,47.619049072265625,36.842105865478516,100,42.105262756347656,100,100,31.57894515991211,36.842105865478516,100,40,100,100,45,33039077376,8999923712,6220472320,0
200,1771645055025,8994.919921875,2900,1,0.8875,8994.919921875,2900,1,0.8875,8408.304626464844,2900,1,0.8875,8408.304626464844,2900,1,0.8875,8079.929901123047,2900,1,0.8875,8079.931594848633,2900,1,0.8875,8126.921737670898,2900,1,0.8875,8126.921737670898,2900,1,0.8875,44549.42393493652,2893,2894,2893,2894,2894,2894,2894,1113,2893,2893,2894,2894,2894,2894,2894,2893,100,30.000001907348633,100,36.842105865478516,38.095237731933594,100,35,100,100,36.842105865478516,52.38095474243164,100,33.333335876464844,100,100,36.842105865478516,33039077376,8999923712,6263447552,0
199,1771645055225,8995.227233886719,2900,1,0.8875,8995.227233886719,2900,1,0.8875,8408.629577636719,2900,1,0.8875,8408.629577636719,2900,1,0.8875,8080.245590209961,2900,1,0.8875,8080.247253417969,2900,1,0.8875,8127.232498168945,2900,1,0.8875,8127.232498168945,2900,1,0.8875,44553.25132751465,2893,2894,2893,2894,2894,2894,2894,1113,2893,2893,2894,2894,2894,2894,2894,2893,100,38.88888931274414,95,26.3157901763916,30.000001907348633,100,40,100,100,40,45,100,40,100,100,45,33039077376,8999923712,6288048128,0
200,1771645055425,8995.531478881836,2900,1,0.8875,8995.531478881836,2900,1,0.8875,8408.931701660156,2900,1,0.8875,8408.931701660156,2900,1,0.8875,8080.547912597656,2900,1,0.8875,8080.547912597656,2900,1,0.8875,8127.537872314453,2900,1,0.8875,8127.537872314453,2900,1,0.8875,44556.981216430664,2893,2894,2893,2894,2894,2894,2894,1113,2893,2893,2894,2894,2894,2894,2894,2893,100,36.842105865478516,100,35,31.57894515991211,100,40,100,100,31.57894515991211,36.842105865478516,100,45,100,100,31.57894515991211,33039077376,8999923712,6321106944,0
