Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771633632214,6140.47233581543,2900,1,0.8875,6140.47233581543,2900,1,0.8875,5950.360595703125,2900,1,0.8875,5950.360595703125,2900,1,0.8875,5503.988098144531,2900,1,0.8875,5503.988098144531,2900,1,0.8875,5715.51985168457,2900,1,0.8875,5715.51985168457,2900,1,0.8875,38174.61703491211,2894,1113,2894,2894,1113,2894,2894,2894,2894,2894,2894,2901,2894,2894,2894,2893,5,4.878048419952393,7.142857551574707,2.4390242099761963,10,2.5,4.878048419952393,2.4390242099761963,5,4.878048419952393,7.142857551574707,4.878048419952393,4.878048419952393,7.317072868347168,2.5,4.878048419952393,33039077376,8999923712,5147643904,0
199,1771633632214,6140.47297668457,2900,1,0.8875,6140.47297668457,2900,1,0.8875,5950.360610961914,2900,1,0.8875,5950.360610961914,2900,1,0.8875,5503.98811340332,2900,1,0.8875,5503.98811340332,2900,1,0.8875,5715.520294189453,2900,1,0.8875,5715.520294189453,2900,1,0.8875,38174.63459777832,2894,1113,2894,2894,1113,2894,2894,2894,2894,2894,2894,2901,2894,2894,2894,2893,5,4.878048419952393,7.142857551574707,2.4390242099761963,10,2.5,4.878048419952393,2.4390242099761963,5,4.878048419952393,7.142857551574707,4.878048419952393,4.878048419952393,7.317072868347168,2.5,4.878048419952393,33039077376,8999923712,5147643904,0
199,1771633632414,6140.51008605957,2900,1,0.8875,6140.5107421875,2900,1,0.8875,5950.606216430664,2900,1,0.8875,5950.606216430664,2900,1,0.8875,5504.021087646484,2900,1,0.8875,5504.021087646484,2900,1,0.8875,5715.557647705078,2900,1,0.8875,5715.557647705078,2900,1,0.8875,38176.5440826416,2894,1113,2894,2894,1113,2894,2894,2894,2894,2894,2894,2901,2894,2894,2894,2893,14.285715103149414,0,0,0,35,0,0,0,75,0,10,0,9.523809432983398,0,42.85714340209961,0,33039077376,8999923712,5344759808,0
199,1771633632615,6140.544967651367,2900,1,0.8875,6140.544967651367,2900,1,0.8875,5950.959365844727,2900,1,0.8875,5950.960983276367,2900,1,0.8875,5504.034454345703,2900,1,0.8875,5504.034454345703,2900,1,0.8875,5715.73844909668,2900,1,0.8875,5715.73844909668,2900,1,0.8875,38178.8180847168,2894,1113,2894,2894,1113,2894,2894,2894,2894,2894,2894,2901,2894,2894,2894,2893,0,5,0,0,0,0,45,0,100,0,5,0,42.105262756347656,0,100,0,33039077376,8999923712,5361672192,0
199,1771633632815,6140.570724487305,2900,1,0.8875,6140.570724487305,2900,1,0.8875,5951.280578613281,2900,1,0.8875,5951.280578613281,2900,1,0.8875,5504.046478271484,2900,1,0.8875,5504.046478271484,2900,1,0.8875,5715.890823364258,2900,1,0.8875,5715.890823364258,2900,1,0.8875,38181.044921875,2894,1113,2894,2894,1113,2894,2894,2894,2894,2894,2894,2901,2894,2894,2894,2893,5,5,0,0,9.523809432983398,0,36.842105865478516,0,100,0,5,0,40,0,100,0,33039077376,8999923712,5370503168,0
199,1771633633015,6140.695068359375,2900,1,0.8875,6140.695068359375,2900,1,0.8875,5951.592498779297,2900,1,0.8875,5951.592498779297,2900,1,0.8875,5504.064743041992,2900,1,0.8875,5504.064743041992,2900,1,0.8875,5715.925277709961,2900,1,0.8875,5715.925277709961,2900,1,0.8875,38183.247161865234,2894,1113,2894,2894,1113,2894,2894,2894,2894,2894,2894,2901,2894,2894,2894,2893,30.000001907348633,0,36.842105865478516,0,10,0,5,0,100,0,0,0,5,0,65,31.57894515991211,33039077376,8999923712,5390708736,0
199,1771633633215,6140.751602172852,2900,1,0.8875,6140.751617431641,2900,1,0.8875,5951.905242919922,2900,1,0.8875,5951.905242919922,2900,1,0.8875,5504.086624145508,2900,1,0.8875,5504.086624145508,2900,1,0.8875,5716.042098999023,2900,1,0.8875,5716.042098999023,2900,1,0.8875,38185.414321899414,2894,1113,2894,2894,1113,2894,2894,2894,2894,2894,2894,2901,2894,2894,2894,2893,5.263157844543457,5,20,0,0,0,15.000000953674316,0,94.73684692382813,5.263157844543457,5,0,0,26.3157901763916,0,100,33039077376,8999923712,5396787200,0
199,1771633633415,6140.759368896484,2900,1,0.8875,6140.759368896484,2900,1,0.8875,5952.207550048828,2900,1,0.8875,5952.207550048828,2900,1,0.8875,5504.098159790039,2900,1,0.8875,5504.098159790039,2900,1,0.8875,5716.172134399414,2900,1,0.8875,5716.172134399414,2900,1,0.8875,38187.6004486084,2894,1113,2894,2894,1113,2894,2894,2894,2894,2894,2894,2901,2894,2894,2894,2893,0,0,0,0,0,0,31.57894515991211,0,0,100,0,0,0,35,0,100,33039077376,8999923712,5412814848,0
199,1771633633615,6140.819396972656,2900,1,0.8875,6140.819396972656,2900,1,0.8875,5952.510696411133,2900,1,0.8875,5952.510696411133,2900,1,0.8875,5504.111862182617,2900,1,0.8875,5504.111862182617,2900,1,0.8875,5716.267120361328,2900,1,0.8875,5716.267120361328,2900,1,0.8875,38189.77951049805,2894,1113,2894,2894,1113,2894,2894,2894,2894,2894,2894,2901,2894,2894,2894,2893,0,10.526315689086914,0,0,0,0,30.000001907348633,0,0,100,5,4.761904716491699,4.761904716491699,27.272727966308594,0,100,33039077376,8999923712,5429211136,0
199,1771633633815,6140.855667114258,2900,1,0.8875,6140.855682373047,2900,1,0.8875,5952.812774658203,2900,1,0.8875,5952.812774658203,2900,1,0.8875,5504.1231689453125,2900,1,0.8875,5504.1231689453125,2900,1,0.8875,5716.3712158203125,2900,1,0.8875,5716.3712158203125,2900,1,0.8875,38191.90818786621,2894,1113,2894,2894,1113,2894,2894,2894,2894,2894,2894,2901,2894,2894,2894,2893,5,9.523809432983398,0,0,0,0,33.333335876464844,0,0,100,0,0,0,26.3157901763916,0,100,33039077376,8999923712,5429211136,0
