Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771636175436,6733.930557250977,2900,1,0.8875,6733.930557250977,2900,1,0.8875,6466.532211303711,2900,1,0.8875,6466.532211303711,2900,1,0.8875,6088.755783081055,2900,1,0.8875,6088.755783081055,2900,1,0.8875,6292.058151245117,2900,1,0.8875,6292.058151245117,2900,1,0.8875,54038.21836853027,2894,1113,2894,1113,2894,1113,2894,1113,2895,1113,1113,1113,2894,1113,2894,1113,4.878048419952393,2.5641026496887207,4.878048419952393,2.5,5,5,5,4.878048419952393,12.195121765136719,2.5,2.5641026496887207,2.5,5,7.142857551574707,5,2.5641026496887207,33039077376,8999923712,5147078656,0
200,1771636175437,6733.930587768555,2900,1,0.8875,6733.930587768555,2900,1,0.8875,6466.534866333008,2900,1,0.8875,6466.534866333008,2900,1,0.8875,6088.756149291992,2900,1,0.8875,6088.756149291992,2900,1,0.8875,6292.058181762695,2900,1,0.8875,6292.058181762695,2900,1,0.8875,54038.235290527344,2894,1113,2894,1113,2894,1113,2894,1113,2895,1113,1113,1113,2894,1113,2894,1113,4.878048419952393,2.5641026496887207,4.878048419952393,2.5,5,5,5,4.878048419952393,12.195121765136719,2.5,2.5641026496887207,2.5,5,7.142857551574707,5,2.5641026496887207,33039077376,8999923712,5147451392,0
199,1771636175637,6734.159866333008,2900,1,0.8875,6734.159866333008,2900,1,0.8875,6466.579513549805,2900,1,0.8875,6466.579513549805,2900,1,0.8875,6088.756805419922,2900,1,0.8875,6088.756805419922,2900,1,0.8875,6292.059906005859,2900,1,0.8875,6292.059906005859,2900,1,0.8875,54040.08641052246,2894,1113,2894,1113,2894,1113,2894,1113,2895,1113,1113,1113,2894,1113,2894,1113,60.000003814697266,0,0,0,0,0,0,45,10.526315689086914,0,0,0,4.761904716491699,0,0,23.809524536132813,33039077376,8999923712,5204762624,0
199,1771636175837,6734.495452880859,2900,1,0.8875,6734.495452880859,2900,1,0.8875,6466.590957641602,2900,1,0.8875,6466.590957641602,2900,1,0.8875,6088.7591552734375,2900,1,0.8875,6088.7591552734375,2900,1,0.8875,6292.064834594727,2900,1,0.8875,6292.064834594727,2900,1,0.8875,54041.89813232422,2894,1113,2894,1113,2894,1113,2894,1113,2895,1113,1113,1113,2894,1113,2894,1113,100,0,0,0,0,0,0,40,5,0,0,0,0,0,0,0,33039077376,8999923712,5213335552,0
200,1771636176037,6734.804016113281,2900,1,0.8875,6734.805770874023,2900,1,0.8875,6466.60237121582,2900,1,0.8875,6466.60237121582,2900,1,0.8875,6088.769073486328,2900,1,0.8875,6088.769073486328,2900,1,0.8875,6292.07112121582,2900,1,0.8875,6292.07112121582,2900,1,0.8875,54043.68083190918,2894,1113,2894,1113,2894,1113,2894,1113,2895,1113,1113,1113,2894,1113,2894,1113,95,0,4.761904716491699,0,0,0,0,38.095237731933594,0,0,5,0,0,0,5,0,33039077376,8999923712,5233102848,0
200,1771636176237,6734.858291625977,2900,1,0.8875,6734.858291625977,2900,1,0.8875,6466.622222900391,2900,1,0.8875,6466.622222900391,2900,1,0.8875,6088.784454345703,2900,1,0.8875,6088.784454345703,2900,1,0.8875,6292.086853027344,2900,1,0.8875,6292.086853027344,2900,1,0.8875,54045.57391357422,2894,1113,2894,1113,2894,1113,2894,1113,2895,1113,1113,1113,2894,1113,2894,1113,19.047618865966797,0,26.3157901763916,0,4.761904716491699,0,0,5.263157844543457,9.523809432983398,0,0,0,5,0,100,0,33039077376,8999923712,5238362112,0
199,1771636176438,6734.863540649414,2900,1,0.8875,6734.863540649414,2900,1,0.8875,6466.629501342773,2900,1,0.8875,6466.629501342773,2900,1,0.8875,6088.785446166992,2900,1,0.8875,6088.785446166992,2900,1,0.8875,6292.092086791992,2900,1,0.8875,6292.092086791992,2900,1,0.8875,54047.34907531738,2894,1113,2894,1113,2894,1113,2894,1113,2895,1113,1113,1113,2894,1113,2894,1113,0,0,30.000001907348633,0,0,0,0,0,0,0,0,0,0,0,100,0,33039077376,8999923712,5250662400,0
199,1771636176638,6735.054244995117,2900,1,0.8875,6735.054244995117,2900,1,0.8875,6466.635025024414,2900,1,0.8875,6466.635025024414,2900,1,0.8875,6088.786346435547,2900,1,0.8875,6088.786346435547,2900,1,0.8875,6292.097518920898,2900,1,0.8875,6292.097518920898,2900,1,0.8875,54049.16143798828,2894,1113,2894,1113,2894,1113,2894,1113,2895,1113,1113,1113,2894,1113,2894,1113,63.15789031982422,0,5,0,0,0,5,30.000001907348633,0,0,4.761904716491699,0,0,0,40,4.761904716491699,33039077376,8999923712,5250891776,0
199,1771636176838,6735.35612487793,2900,1,0.8875,6735.35612487793,2900,1,0.8875,6466.642730712891,2900,1,0.8875,6466.642730712891,2900,1,0.8875,6088.801376342773,2900,1,0.8875,6088.801376342773,2900,1,0.8875,6292.10237121582,2900,1,0.8875,6292.10237121582,2900,1,0.8875,54050.913970947266,2894,1113,2894,1113,2894,1113,2894,1113,2895,1113,1113,1113,2894,1113,2894,1113,100,0,0,0,0,0,0,30.000001907348633,0,0,0,5,0,0,0,0,33039077376,8999923712,5254750208,0
199,1771636177038,6735.4041748046875,2900,1,0.8875,6735.4041748046875,2900,1,0.8875,6466.649932861328,2900,1,0.8875,6466.649932861328,2900,1,0.8875,6088.802795410156,2900,1,0.8875,6088.802795410156,2900,1,0.8875,6292.108306884766,2900,1,0.8875,6292.108306884766,2900,1,0.8875,54052.68064880371,2894,1113,2894,1113,2894,1113,2894,1113,2895,1113,1113,1113,2894,1113,2894,1113,19.047618865966797,0,0,0,0,0,0,30.000001907348633,4.761904716491699,0,0,0,0,0,85,0,33039077376,8999923712,5254766592,0
