Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771641290165,8053.597518920898,2900,1,0.8875,8053.597518920898,2900,1,0.8875,7501.160293579102,2900,1,0.8875,7501.160293579102,2900,1,0.8875,7261.460250854492,2900,1,0.8875,7261.460250854492,2900,1,0.8875,7379.606185913086,2900,1,0.8875,7379.606185913086,2900,1,0.8875,20646.80177307129,1113,2894,1113,1113,1113,2889,2894,1113,2894,1113,2893,2894,2894,1113,2883,1113,2.5,2.4390242099761963,2.4390242099761963,2.4390242099761963,4.761904716491699,2.4390242099761963,4.761904716491699,4.761904716491699,4.761904716491699,4.878048419952393,12.5,4.878048419952393,7.142857551574707,2.5,2.4390242099761963,4.761904716491699,33039077376,8999923712,5194944512,0
199,1771641290165,8053.5975341796875,2900,1,0.8875,8053.5975341796875,2900,1,0.8875,7501.160308837891,2900,1,0.8875,7501.160308837891,2900,1,0.8875,7261.462844848633,2900,1,0.8875,7261.462844848633,2900,1,0.8875,7379.606246948242,2900,1,0.8875,7379.606246948242,2900,1,0.8875,20646.818634033203,1113,2894,1113,1113,1113,2889,2894,1113,2894,1113,2893,2894,2894,1113,2883,1113,2.5,2.4390242099761963,2.4390242099761963,2.4390242099761963,4.761904716491699,2.4390242099761963,4.761904716491699,4.761904716491699,4.761904716491699,4.878048419952393,12.5,4.878048419952393,7.142857551574707,2.5,2.4390242099761963,4.761904716491699,33039077376,8999923712,5194944512,0
199,1771641290365,8053.902770996094,2900,1,0.8875,8053.902770996094,2900,1,0.8875,7501.461685180664,2900,1,0.8875,7501.461685180664,2900,1,0.8875,7261.776428222656,2900,1,0.8875,7261.776428222656,2900,1,0.8875,7379.905487060547,2900,1,0.8875,7379.905487060547,2900,1,0.8875,20650.764724731445,1113,2894,1113,1113,1113,2889,2894,1113,2894,1113,2893,2894,2894,1113,2883,1113,86.36363983154297,95.23809814453125,95.45454406738281,85,95,85,95,90,95,85,100,80.95238494873047,95,90,95,90,33039077376,8999923712,5257297920,0
199,1771641290565,8054.207183837891,2900,1,0.8875,8054.207183837891,2900,1,0.8875,7501.767623901367,2900,1,0.8875,7501.767623901367,2900,1,0.8875,7262.07014465332,2900,1,0.8875,7262.07014465332,2900,1,0.8875,7380.205703735352,2900,1,0.8875,7380.205703735352,2900,1,0.8875,20654.587829589844,1113,2894,1113,1113,1113,2889,2894,1113,2894,1113,2893,2894,2894,1113,2883,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5260967936,0
199,1771641290765,8054.515640258789,2900,1,0.8875,8054.521392822266,2900,1,0.8875,7502.085556030273,2900,1,0.8875,7502.085556030273,2900,1,0.8875,7262.380676269531,2900,1,0.8875,7262.380676269531,2900,1,0.8875,7380.520324707031,2900,1,0.8875,7380.520324707031,2900,1,0.8875,20658.633819580078,1113,2894,1113,1113,1113,2889,2894,1113,2894,1113,2893,2894,2894,1113,2883,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5261094912,0
199,1771641290966,8054.821975708008,2900,1,0.8875,8054.821975708008,2900,1,0.8875,7502.389144897461,2900,1,0.8875,7502.389144897461,2900,1,0.8875,7262.675384521484,2900,1,0.8875,7262.675384521484,2900,1,0.8875,7380.821716308594,2900,1,0.8875,7380.821716308594,2900,1,0.8875,20662.48338317871,1113,2894,1113,1113,1113,2889,2894,1113,2894,1113,2893,2894,2894,1113,2883,1113,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,33039077376,8999923712,5258280960,0
199,1771641291166,8055.13151550293,2900,1,0.8875,8055.13151550293,2900,1,0.8875,7502.702178955078,2900,1,0.8875,7502.703643798828,2900,1,0.8875,7262.985443115234,2900,1,0.8875,7262.985443115234,2900,1,0.8875,7381.127182006836,2900,1,0.8875,7381.127182006836,2900,1,0.8875,20666.37956237793,1113,2894,1113,1113,1113,2889,2894,1113,2894,1113,2893,2894,2894,1113,2883,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5258792960,0
199,1771641291366,8055.4410400390625,2900,1,0.8875,8055.4410400390625,2900,1,0.8875,7503.015167236328,2900,1,0.8875,7503.015167236328,2900,1,0.8875,7263.291351318359,2900,1,0.8875,7263.291351318359,2900,1,0.8875,7381.434814453125,2900,1,0.8875,7381.434814453125,2900,1,0.8875,20670.314239501953,1113,2894,1113,1113,1113,2889,2894,1113,2894,1113,2893,2894,2894,1113,2883,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5255811072,0
199,1771641291566,8055.7464599609375,2900,1,1.025,8055.7464599609375,2900,1,1.025,7503.326034545898,2900,1,0.8875,7503.329025268555,2900,1,0.8875,7263.601913452148,2900,1,0.8875,7263.601913452148,2900,1,0.8875,7381.739456176758,2900,1,0.8875,7381.739456176758,2900,1,0.8875,20674.268035888672,1113,2894,1113,1113,1113,2889,2894,1113,2894,1113,2893,2894,2894,1113,2883,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5258047488,0
199,1771641291766,8056.054260253906,2900,1,0.8875,8056.054260253906,2900,1,0.8875,7503.639297485352,2900,1,0.8875,7503.639297485352,2900,1,0.8875,7263.906555175781,2900,1,0.8875,7263.906555175781,2900,1,0.8875,7382.047164916992,2900,1,0.8875,7382.047164916992,2900,1,0.8875,20678.17266845703,1113,2894,1113,1113,1113,2889,2894,1113,2894,1113,2893,2894,2894,1113,2883,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5255999488,0
199,1771641291966,8056.359237670898,2900,1,0.8875,8056.359237670898,2900,1,0.8875,7503.942886352539,2900,1,0.8875,7503.942886352539,2900,1,0.8875,7264.204986572266,2900,1,0.8875,7264.204986572266,2900,1,0.8875,7382.347015380859,2900,1,0.8875,7382.347015380859,2900,1,0.8875,20682.011322021484,1113,2894,1113,1113,1113,2889,2894,1113,2894,1113,2893,2894,2894,1113,2883,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5255094272,0
199,1771641292166,8056.671722412109,2900,1,0.8875,8056.671722412109,2900,1,0.8875,7504.259262084961,2900,1,0.8875,7504.259262084961,2900,1,0.8875,7264.515533447266,2900,1,0.8875,7264.515533447266,2900,1,0.8875,7382.657440185547,2900,1,0.8875,7382.657440185547,2900,1,0.8875,20685.98960876465,1113,2894,1113,1113,1113,2889,2894,1113,2894,1113,2893,2894,2894,1113,2883,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5252235264,0
199,1771641292366,8056.975433349609,2900,1,0.8875,8056.975433349609,2900,1,0.8875,7504.56330871582,2900,1,0.8875,7504.56330871582,2900,1,0.8875,7264.815567016602,2900,1,0.8875,7264.815567016602,2900,1,0.8875,7382.962448120117,2900,1,0.8875,7382.962448120117,2900,1,0.8875,20689.86344909668,1113,2894,1113,1113,1113,2889,2894,1113,2894,1113,2893,2894,2894,1113,2883,1113,100,100,100,100,100,100,100,100,100,95.23809814453125,100,100,100,100,100,100,33039077376,8999923712,5249568768,0
199,1771641292566,8057.28239440918,2900,1,0.8875,8057.28239440918,2900,1,0.8875,7504.873275756836,2900,1,0.8875,7504.873275756836,2900,1,0.8875,7265.120452880859,2900,1,0.8875,7265.120452880859,2900,1,0.8875,7383.261764526367,2900,1,0.8875,7383.261764526367,2900,1,0.8875,20693.72297668457,1113,2894,1113,1113,1113,2889,2894,1113,2894,1113,2893,2894,2894,1113,2883,1113,100,100,100,100,100,95.23809814453125,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5247696896,0
