Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771630837124,5463.995712280273,2900,1,0.8875,5463.995712280273,2900,1,0.8875,5268.233062744141,2900,1,0.8875,5268.233062744141,2900,1,0.8875,4920.722839355469,2900,1,0.8875,4920.722839355469,2900,1,0.8875,5068.965927124023,2900,1,0.8875,5068.965927124023,2900,1,0.8875,20535.868911743164,2894,1113,2894,1113,1113,2894,1113,1113,1113,2894,2894,1113,2881,1113,2894,1113,2.2727272510528564,2.3255813121795654,4.545454502105713,2.3255813121795654,2.3255813121795654,4.545454502105713,4.651162624359131,4.545454502105713,2.2727272510528564,2.2727272510528564,4.651162624359131,6.976744651794434,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,33039077376,8999923712,5157945344,0
200,1771630837124,5463.996536254883,2900,1,0.8875,5463.996627807617,2900,1,0.8875,5268.234161376953,2900,1,0.8875,5268.234161376953,2900,1,0.8875,4920.725616455078,2900,1,0.8875,4920.725616455078,2900,1,0.8875,5068.966003417969,2900,1,0.8875,5068.966003417969,2900,1,0.8875,20535.88314819336,2894,1113,2894,1113,1113,2894,1113,1113,1113,2894,2894,1113,2881,1113,2894,1113,2.2727272510528564,2.3255813121795654,4.545454502105713,2.3255813121795654,2.3255813121795654,4.545454502105713,4.651162624359131,4.545454502105713,2.2727272510528564,2.2727272510528564,4.651162624359131,6.976744651794434,4.545454502105713,4.545454502105713,4.545454502105713,4.545454502105713,33039077376,8999923712,5158920192,0
199,1771630837325,5464.268966674805,2900,1,0.8875,5464.268966674805,2900,1,0.8875,5268.504013061523,2900,1,0.8875,5268.504013061523,2900,1,0.8875,4921.002944946289,2900,1,0.8875,4921.006942749023,2900,1,0.8875,5069.234588623047,2900,1,0.8875,5069.234588623047,2900,1,0.8875,20539.70782470703,2894,1113,2894,1113,1113,2894,1113,1113,1113,2894,2894,1113,2881,1113,2894,1113,95.23809814453125,86.36363983154297,95,81.81818389892578,90,90.47618865966797,95.23809814453125,85,85,95,80.95238494873047,100,90.47618865966797,90,90,90,33039077376,8999923712,5221912576,0
199,1771630837525,5464.5413818359375,2900,1,0.8875,5464.5413818359375,2900,1,0.8875,5268.777084350586,2900,1,0.8875,5268.777084350586,2900,1,0.8875,4921.273208618164,2900,1,0.8875,4921.273208618164,2900,1,0.8875,5069.501617431641,2900,1,0.8875,5069.501617431641,2900,1,0.8875,20543.382293701172,2894,1113,2894,1113,1113,2894,1113,1113,1113,2894,2894,1113,2881,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5237338112,0
199,1771630837725,5464.820236206055,2900,1,0.8875,5464.820236206055,2900,1,0.8875,5269.0576171875,2900,1,0.8875,5269.0576171875,2900,1,0.8875,4921.548828125,2900,1,0.8875,4921.548828125,2900,1,0.8875,5069.777847290039,2900,1,0.8875,5069.777847290039,2900,1,0.8875,20547.26954650879,2894,1113,2894,1113,1113,2894,1113,1113,1113,2894,2894,1113,2881,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5238456320,0
199,1771630837925,5465.084213256836,2900,1,0.8875,5465.084213256836,2900,1,0.8875,5269.3212890625,2900,1,0.8875,5269.3212890625,2900,1,0.8875,4921.810577392578,2900,1,0.8875,4921.810577392578,2900,1,0.8875,5070.04345703125,2900,1,0.8875,5070.04345703125,2900,1,0.8875,20551.014602661133,2894,1113,2894,1113,1113,2894,1113,1113,1113,2894,2894,1113,2881,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5239201792,0
199,1771630838125,5465.355606079102,2900,1,0.8875,5465.355606079102,2900,1,0.8875,5269.58935546875,2900,1,0.8875,5269.58935546875,2900,1,0.8875,4922.075042724609,2900,1,0.8875,4922.075042724609,2900,1,0.8875,5070.310531616211,2900,1,0.8875,5070.313217163086,2900,1,0.8875,20554.797805786133,2894,1113,2894,1113,1113,2894,1113,1113,1113,2894,2894,1113,2881,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5233139712,0
199,1771630838325,5465.622543334961,2900,1,0.8875,5465.622543334961,2900,1,0.8875,5269.863235473633,2900,1,0.8875,5269.863235473633,2900,1,0.8875,4922.343414306641,2900,1,0.8875,4922.343414306641,2900,1,0.8875,5070.578842163086,2900,1,0.8875,5070.578842163086,2900,1,0.8875,20558.6153717041,2894,1113,2894,1113,1113,2894,1113,1113,1113,2894,2894,1113,2881,1113,2894,1113,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5233262592,0
199,1771630838525,5465.888488769531,2900,1,0.8875,5465.892227172852,2900,1,0.8875,5270.128280639648,2900,1,0.8875,5270.128280639648,2900,1,0.8875,4922.604843139648,2900,1,0.8875,4922.606262207031,2900,1,0.8875,5070.846298217773,2900,1,0.8875,5070.846298217773,2900,1,0.8875,20562.399475097656,2894,1113,2894,1113,1113,2894,1113,1113,1113,2894,2894,1113,2881,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5232517120,0
199,1771630838725,5466.162353515625,2900,1,0.8875,5466.162353515625,2900,1,0.8875,5270.396682739258,2900,1,0.8875,5270.396682739258,2900,1,0.8875,4922.867935180664,2900,1,0.8875,4922.867935180664,2900,1,0.8875,5071.111083984375,2900,1,0.8875,5071.111083984375,2900,1,0.8875,20566.17709350586,2894,1113,2894,1113,1113,2894,1113,1113,1113,2894,2894,1113,2881,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5227741184,0
199,1771630838925,5466.430862426758,2900,1,0.8875,5466.432342529297,2900,1,0.8875,5270.67317199707,2900,1,0.8875,5270.67317199707,2900,1,0.89375,4923.139556884766,2900,1,0.89375,4923.139556884766,2900,1,0.89375,5071.382583618164,2900,1,0.89375,5071.382583618164,2900,1,0.89375,20570.035705566406,2894,1113,2894,1113,1113,2894,1113,1113,1113,2894,2894,1113,2881,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5226909696,0
199,1771630839126,5466.693771362305,2900,1,0.8875,5466.693771362305,2900,1,0.8875,5270.936981201172,2900,1,0.8875,5270.936981201172,2900,1,0.8875,4923.398468017578,2900,1,0.8875,4923.398468017578,2900,1,0.8875,5071.642044067383,2900,1,0.8875,5071.642044067383,2900,1,0.8875,20573.745010375977,2894,1113,2894,1113,1113,2894,1113,1113,1113,2894,2894,1113,2881,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5226086400,0
199,1771630839326,5466.967010498047,2900,1,0.8875,5466.967010498047,2900,1,0.8875,5271.207260131836,2900,1,0.8875,5271.207260131836,2900,1,0.8875,4923.665267944336,2900,1,0.8875,4923.665267944336,2900,1,0.8875,5071.913345336914,2900,1,0.8875,5071.913345336914,2900,1,0.8875,20577.637420654297,2894,1113,2894,1113,1113,2894,1113,1113,1113,2894,2894,1113,2881,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5227503616,0
