Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771637325708,7070.049346923828,2900,1,0.8875,7070.049346923828,2900,1,0.8875,6707.990020751953,2900,1,0.8875,6707.990020751953,2900,1,0.8875,6347.761505126953,2900,1,0.8875,6347.761505126953,2900,1,0.8875,6516.01513671875,2900,1,0.8875,6516.01513671875,2900,1,0.8875,61413.36672973633,1113,2891,1113,1113,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,2.3809523582458496,2.4390242099761963,4.878048419952393,4.878048419952393,5,2.4390242099761963,4.878048419952393,4.878048419952393,0,2.4390242099761963,4.878048419952393,2.4390242099761963,2.4390242099761963,2.3809523582458496,7.500000476837158,4.761904716491699,33039077376,8999923712,5132001280,0
200,1771637325708,7070.049362182617,2900,1,0.8875,7070.049362182617,2900,1,0.8875,6707.9920654296875,2900,1,0.8875,6707.9920654296875,2900,1,0.8875,6347.763488769531,2900,1,0.8875,6347.763488769531,2900,1,0.8875,6516.015151977539,2900,1,0.8875,6516.015151977539,2900,1,0.8875,61413.38414001465,1113,2891,1113,1113,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,2.3809523582458496,2.4390242099761963,4.878048419952393,4.878048419952393,5,2.4390242099761963,4.878048419952393,4.878048419952393,0,2.4390242099761963,4.878048419952393,2.4390242099761963,2.4390242099761963,2.3809523582458496,7.500000476837158,4.761904716491699,33039077376,8999923712,5132001280,0
199,1771637325910,7070.317626953125,2900,1,0.8875,7070.317626953125,2900,1,0.8875,6708.265121459961,2900,1,0.8875,6708.265121459961,2900,1,0.8875,6348.018844604492,2900,1,0.8875,6348.018844604492,2900,1,0.8875,6516.271987915039,2900,1,0.8875,6516.271987915039,2900,1,0.8875,61417.09371948242,1113,2891,1113,1113,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,95,90.47618865966797,100,85,90.47618865966797,90,85,95.23809814453125,100,85.71428680419922,85,95.23809814453125,81.81818389892578,95,90.47618865966797,90,33039077376,8999923712,5186048000,0
201,1771637326110,7070.586135864258,2900,1,0.8875,7070.586135864258,2900,1,0.8875,6708.537857055664,2900,1,0.8875,6708.537857055664,2900,1,0.8875,6348.289688110352,2900,1,0.8875,6348.289688110352,2900,1,0.8875,6516.540435791016,2900,1,0.8875,6516.540435791016,2900,1,0.8875,61420.829650878906,1113,2891,1113,1113,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5200367616,0
199,1771637326312,7070.842361450195,2900,1,0.8875,7070.842361450195,2900,1,0.8875,6708.797012329102,2900,1,0.8875,6708.797012329102,2900,1,0.8875,6348.543838500977,2900,1,0.8875,6348.543838500977,2900,1,0.8875,6516.794692993164,2900,1,0.8875,6516.794692993164,2900,1,0.8875,61424.510482788086,1113,2891,1113,1113,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5201113088,0
199,1771637326512,7071.109344482422,2900,1,0.8875,7071.109344482422,2900,1,0.8875,6709.063491821289,2900,1,0.8875,6709.063491821289,2900,1,0.8875,6348.811553955078,2900,1,0.8875,6348.811553955078,2900,1,0.8875,6517.063751220703,2900,1,0.8875,6517.063751220703,2900,1,0.8875,61428.32557678223,1113,2891,1113,1113,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5201485824,0
199,1771637326712,7071.379623413086,2900,1,0.8875,7071.379623413086,2900,1,0.8875,6709.336944580078,2900,1,0.8875,6709.336944580078,2900,1,0.8875,6349.084426879883,2900,1,0.8875,6349.085708618164,2900,1,0.8875,6517.334747314453,2900,1,0.8875,6517.334747314453,2900,1,0.8875,61432.06790161133,1113,2891,1113,1113,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5202149376,0
199,1771637326912,7071.632019042969,2900,1,0.8875,7071.632019042969,2900,1,0.8875,6709.593688964844,2900,1,0.8875,6709.593688964844,2900,1,0.8875,6349.335098266602,2900,1,0.8875,6349.335098266602,2900,1,0.8875,6517.584060668945,2900,1,0.8875,6517.584060668945,2900,1,0.8875,61435.72254943848,1113,2891,1113,1113,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5203615744,0
199,1771637327112,7071.901962280273,2900,1,0.8875,7071.903228759766,2900,1,0.8875,6709.865936279297,2900,1,0.8875,6709.865936279297,2900,1,0.8875,6349.607391357422,2900,1,0.8875,6349.607391357422,2900,1,0.8875,6517.857223510742,2900,1,0.8875,6517.857223510742,2900,1,0.8875,61439.5838470459,1113,2891,1113,1113,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5204205568,0
199,1771637327312,7072.166000366211,2900,1,0.8875,7072.166000366211,2900,1,0.8875,6710.131774902344,2900,1,0.8875,6710.131774902344,2900,1,0.8875,6349.868988037109,2900,1,0.8875,6349.868988037109,2900,1,0.8875,6518.11865234375,2900,1,0.8875,6518.11865234375,2900,1,0.8875,61443.26942443848,1113,2891,1113,1113,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5201969152,0
