Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771634602041,6354.112854003906,2900,1,0.8875,6354.112854003906,2900,1,0.8875,6168.999710083008,2900,1,0.8875,6168.999710083008,2900,1,0.8875,5731.730484008789,2900,1,0.8875,5731.730484008789,2900,1,0.8875,5977.095855712891,2900,1,0.8875,5977.095855712891,2900,1,0.8875,44279.367416381836,2894,1113,2895,2894,2894,2896,2895,1113,1113,1113,2892,1113,2892,1113,2891,2894,6.5217390060424805,2.222222328186035,2.17391300201416,2.222222328186035,4.34782600402832,2.222222328186035,2.222222328186035,2.222222328186035,4.34782600402832,6.5217390060424805,2.17391300201416,2.222222328186035,4.34782600402832,2.17391300201416,4.34782600402832,4.34782600402832,33039077376,8999923712,5141807104,0
200,1771634602041,6354.112884521484,2900,1,0.8875,6354.112884521484,2900,1,0.8875,6169.002227783203,2900,1,0.8875,6169.002227783203,2900,1,0.8875,5731.730499267578,2900,1,0.8875,5731.730499267578,2900,1,0.8875,5977.09587097168,2900,1,0.8875,5977.09587097168,2900,1,0.8875,44279.38473510742,2894,1113,2895,2894,2894,2896,2895,1113,1113,1113,2892,1113,2892,1113,2891,2894,6.5217390060424805,2.222222328186035,2.17391300201416,2.222222328186035,4.34782600402832,2.222222328186035,2.222222328186035,2.222222328186035,4.34782600402832,6.5217390060424805,2.17391300201416,2.222222328186035,4.34782600402832,2.17391300201416,4.34782600402832,4.34782600402832,33039077376,8999923712,5141807104,0
199,1771634602242,6354.399124145508,2900,1,0.8875,6354.399124145508,2900,1,0.8875,6169.285125732422,2900,1,0.8875,6169.285125732422,2900,1,0.8875,5731.991683959961,2900,1,0.8875,5731.991683959961,2900,1,0.8875,5977.365921020508,2900,1,0.8875,5977.365921020508,2900,1,0.8875,44283.15498352051,2894,1113,2895,2894,2894,2896,2895,1113,1113,1113,2892,1113,2892,1113,2891,2894,85,95.23809814453125,95.23809814453125,85.71428680419922,91.30435180664063,86.36363983154297,85.71428680419922,95.23809814453125,90.47618865966797,89.47368621826172,90.47618865966797,90.47618865966797,95,90.47618865966797,95,85,33039077376,8999923712,5206159360,0
199,1771634602442,6354.660400390625,2900,1,0.8875,6354.660400390625,2900,1,0.8875,6169.543670654297,2900,1,0.8875,6169.543670654297,2900,1,0.8875,5732.249588012695,2900,1,0.8875,5732.249588012695,2900,1,0.8875,5977.630264282227,2900,1,0.8875,5977.630264282227,2900,1,0.8875,44286.87341308594,2894,1113,2895,2894,2894,2896,2895,1113,1113,1113,2892,1113,2892,1113,2891,2894,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5205585920,0
199,1771634602642,6354.924774169922,2900,1,0.8875,6354.924774169922,2900,1,0.8875,6169.812973022461,2900,1,0.8875,6169.812973022461,2900,1,0.8875,5732.507431030273,2900,1,0.8875,5732.507431030273,2900,1,0.8875,5977.888931274414,2900,1,0.8875,5977.888931274414,2900,1,0.8875,44290.608459472656,2894,1113,2895,2894,2894,2896,2895,1113,1113,1113,2892,1113,2892,1113,2891,2894,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5205585920,0
199,1771634602842,6355.198959350586,2900,1,0.8875,6355.198959350586,2900,1,0.8875,6170.086608886719,2900,1,0.8875,6170.086608886719,2900,1,0.8875,5732.7734375,2900,1,0.8875,5732.7734375,2900,1,0.8875,5978.159866333008,2900,1,0.8875,5978.159866333008,2900,1,0.8875,44294.37161254883,2894,1113,2895,2894,2894,2896,2895,1113,1113,1113,2892,1113,2892,1113,2891,2894,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5210058752,0
199,1771634603042,6355.468795776367,2900,1,0.8875,6355.468795776367,2900,1,0.8875,6170.353332519531,2900,1,0.8875,6170.353332519531,2900,1,0.8875,5733.038101196289,2900,1,0.8875,5733.038101196289,2900,1,0.8875,5978.427444458008,2900,1,0.8875,5978.427444458008,2900,1,0.8875,44298.177993774414,2894,1113,2895,2894,2894,2896,2895,1113,1113,1113,2892,1113,2892,1113,2891,2894,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5202636800,0
199,1771634603242,6355.730209350586,2900,1,0.8875,6355.731536865234,2900,1,0.8875,6170.622344970703,2900,1,0.8875,6170.622344970703,2900,1,0.8875,5733.3006591796875,2900,1,0.8875,5733.3006591796875,2900,1,0.8875,5978.691253662109,2900,1,0.8875,5978.691253662109,2900,1,0.8875,44301.91844177246,2894,1113,2895,2894,2894,2896,2895,1113,1113,1113,2892,1113,2892,1113,2891,2894,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5211582464,0
199,1771634603442,6355.997756958008,2900,1,0.8875,6355.997756958008,2900,1,0.8875,6170.896575927734,2900,1,0.8875,6170.896575927734,2900,1,0.8875,5733.560546875,2900,1,0.8875,5733.560546875,2900,1,0.8875,5978.957672119141,2900,1,0.8875,5978.958953857422,2900,1,0.8875,44305.661209106445,2894,1113,2895,2894,2894,2896,2895,1113,1113,1113,2892,1113,2892,1113,2891,2894,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5210836992,0
199,1771634603642,6356.267639160156,2900,1,0.8875,6356.267639160156,2900,1,0.8875,6171.168060302734,2900,1,0.8875,6171.168060302734,2900,1,0.8875,5733.828170776367,2900,1,0.8875,5733.828170776367,2900,1,0.8875,5979.228515625,2900,1,0.8875,5979.228515625,2900,1,0.8875,44309.459411621094,2894,1113,2895,2894,2894,2896,2895,1113,1113,1113,2892,1113,2892,1113,2891,2894,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5211582464,0
