Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771638398146,7300.7490234375,2900,1,0.8875,7300.7490234375,2900,1,0.8875,6916.8768310546875,2900,1,0.8875,6916.8768310546875,2900,1,0.8875,6640.545028686523,2900,1,0.8875,6640.545028686523,2900,1,0.8875,6730.20198059082,2900,1,0.8875,6730.20198059082,2900,1,0.8875,2519.240936279297,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,2893,1113,2894,1113,2.5,4.878048419952393,2.5,5,2.4390242099761963,2.5,4.761904716491699,2.5,5,2.5641026496887207,2.5641026496887207,5,5,7.317072868347168,7.692307949066162,4.878048419952393,33039077376,8999923712,5136777216,0
200,1771638398147,7300.749038696289,2900,1,0.8875,7300.749038696289,2900,1,0.8875,6916.879013061523,2900,1,0.8875,6916.879013061523,2900,1,0.8875,6640.546661376953,2900,1,0.8875,6640.547897338867,2900,1,0.8875,6730.201995849609,2900,1,0.8875,6730.201995849609,2900,1,0.8875,2519.257095336914,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,2893,1113,2894,1113,2.5,4.878048419952393,2.5,5,2.4390242099761963,2.5,4.761904716491699,2.5,5,2.5641026496887207,2.5641026496887207,5,5,7.317072868347168,7.692307949066162,4.878048419952393,33039077376,8999923712,5136777216,0
199,1771638398348,7301.017730712891,2900,1,0.8875,7301.017730712891,2900,1,0.8875,6917.138687133789,2900,1,0.8875,6917.138687133789,2900,1,0.8875,6640.815216064453,2900,1,0.8875,6640.815216064453,2900,1,0.8875,6730.462158203125,2900,1,0.8875,6730.462158203125,2900,1,0.8875,2522.9370727539063,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,2893,1113,2894,1113,95.45454406738281,85,90.47618865966797,90,95.23809814453125,80.95238494873047,95,85,90.47618865966797,90.47618865966797,85,95.45454406738281,94.73684692382813,90.47618865966797,95.45454406738281,85,33039077376,8999923712,5229215744,0
199,1771638398548,7301.280014038086,2900,1,0.8875,7301.280014038086,2900,1,0.8875,6917.406814575195,2900,1,0.8875,6917.406814575195,2900,1,0.8875,6641.081985473633,2900,1,0.8875,6641.081985473633,2900,1,0.8875,6730.730316162109,2900,1,0.8875,6730.730316162109,2900,1,0.8875,2526.6509552001953,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,2893,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5236154368,0
199,1771638398748,7301.539627075195,2900,1,0.8875,7301.539627075195,2900,1,0.8875,6917.666564941406,2900,1,0.8875,6917.666564941406,2900,1,0.8875,6641.33869934082,2900,1,0.8875,6641.342849731445,2900,1,0.8875,6730.988800048828,2900,1,0.8875,6730.988800048828,2900,1,0.8875,2530.3569946289063,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,2893,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5238763520,0
199,1771638398948,7301.803497314453,2900,1,0.8875,7301.803497314453,2900,1,0.8875,6917.940399169922,2900,1,0.8875,6917.940399169922,2900,1,0.8875,6641.6029052734375,2900,1,0.8875,6641.604187011719,2900,1,0.8875,6731.251708984375,2900,1,0.8875,6731.251708984375,2900,1,0.8875,2534.0908203125,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,2893,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5242621952,0
199,1771638399148,7302.074508666992,2900,1,0.8875,7302.074508666992,2900,1,0.8875,6918.215744018555,2900,1,0.8875,6918.215744018555,2900,1,0.8875,6641.872634887695,2900,1,0.8875,6641.872634887695,2900,1,0.8875,6731.523880004883,2900,1,0.8875,6731.525131225586,2900,1,0.8875,2537.8797302246094,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,2893,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5240098816,0
199,1771638399348,7302.331893920898,2900,1,0.8875,7302.331893920898,2900,1,0.8875,6918.474182128906,2900,1,0.8875,6918.474182128906,2900,1,0.8875,6642.125915527344,2900,1,0.8875,6642.125915527344,2900,1,0.8875,6731.78044128418,2900,1,0.8875,6731.78044128418,2900,1,0.8875,2541.5459747314453,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,2893,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5239726080,0
199,1771638399548,7302.599090576172,2900,1,0.8875,7302.599090576172,2900,1,0.8875,6918.746444702148,2900,1,0.8875,6918.746444702148,2900,1,0.8875,6642.393035888672,2900,1,0.8875,6642.393035888672,2900,1,0.8875,6732.0537109375,2900,1,0.8875,6732.0537109375,2900,1,0.8875,2545.29052734375,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,2893,1113,2894,1113,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5235630080,0
199,1771638399748,7302.867660522461,2900,1,0.8875,7302.867660522461,2900,1,0.8875,6919.019256591797,2900,1,0.8875,6919.019256591797,2900,1,0.8875,6642.6578369140625,2900,1,0.8875,6642.6578369140625,2900,1,0.8875,6732.324798583984,2900,1,0.8875,6732.324798583984,2900,1,0.8875,2549.1034393310547,2894,1113,1113,1113,2894,1113,2894,1113,2894,1113,2894,1113,2893,1113,2894,1113,100,100,100,100,100,100,100,100,95.23809814453125,100,100,100,100,100,100,100,33039077376,8999923712,5236228096,0
