Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771651484803,10514.252487182617,2900,1,0.8875,10514.252502441406,2900,1,0.8875,9875.058090209961,2900,1,0.8875,9875.058090209961,2900,1,0.8875,9623.336776733398,2900,1,0.8875,9623.336776733398,2900,1,0.8875,9647.341094970703,2900,1,0.8875,9647.341094970703,2900,1,0.8875,19418.574142456055,2894,1113,2892,1113,2875,1113,2893,1113,1113,2894,1113,1113,2894,1113,1113,2884,2.5641026496887207,2.5641026496887207,4.878048419952393,5,2.5,5,2.5641026496887207,2.5,5,5,2.5,7.317072868347168,5,2.5,2.5,11.904762268066406,33039077376,8999923712,5157117952,0
200,1771651484804,10514.252517700195,2900,1,0.8875,10514.252517700195,2900,1,0.8875,9875.058181762695,2900,1,0.8875,9875.058181762695,2900,1,0.8875,9623.338775634766,2900,1,0.8875,9623.338775634766,2900,1,0.8875,9647.341094970703,2900,1,0.8875,9647.341094970703,2900,1,0.8875,19418.595413208008,2894,1113,2892,1113,2875,1113,2893,1113,1113,2894,1113,1113,2894,1113,1113,2884,2.5641026496887207,2.5641026496887207,4.878048419952393,5,2.5,5,2.5641026496887207,2.5,5,5,2.5,7.317072868347168,5,2.5,2.5,11.904762268066406,33039077376,8999923712,5157117952,0
199,1771651485005,10514.538604736328,2900,1,0.8875,10514.538604736328,2900,1,0.8875,9875.342208862305,2900,1,0.8875,9875.342208862305,2900,1,0.8875,9623.628067016602,2900,1,0.8875,9623.628067016602,2900,1,0.8875,9647.631103515625,2900,1,0.8875,9647.631103515625,2900,1,0.8875,19422.468475341797,2894,1113,2892,1113,2875,1113,2893,1113,1113,2894,1113,1113,2894,1113,1113,2884,90.90909576416016,86.36363983154297,100,85.71428680419922,90.47618865966797,90.47618865966797,95,90.47618865966797,90.47618865966797,90,100,85,95.23809814453125,85.71428680419922,86.36363983154297,100,33039077376,8999923712,5212303360,0
199,1771651485205,10514.835830688477,2900,1,0.8875,10514.835830688477,2900,1,0.8875,9875.638320922852,2900,1,0.8875,9875.638320922852,2900,1,0.8875,9623.921905517578,2900,1,0.8875,9623.923278808594,2900,1,0.8875,9647.929214477539,2900,1,0.8875,9647.929214477539,2900,1,0.8875,19426.418243408203,2894,1113,2892,1113,2875,1113,2893,1113,1113,2894,1113,1113,2894,1113,1113,2884,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5209575424,0
199,1771651485405,10515.123718261719,2900,1,0.8875,10515.123718261719,2900,1,0.8875,9875.929656982422,2900,1,0.8875,9875.929656982422,2900,1,0.8875,9624.206771850586,2900,1,0.8875,9624.206771850586,2900,1,0.8875,9648.216979980469,2900,1,0.8875,9648.216979980469,2900,1,0.8875,19430.294647216797,2894,1113,2892,1113,2875,1113,2893,1113,1113,2894,1113,1113,2894,1113,1113,2884,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5222440960,0
199,1771651485605,10515.413162231445,2900,1,0.8875,10515.413162231445,2900,1,0.8875,9876.226791381836,2900,1,0.8875,9876.226791381836,2900,1,0.8875,9624.499450683594,2900,1,0.8875,9624.499450683594,2900,1,0.8875,9648.510055541992,2900,1,0.8875,9648.510055541992,2900,1,0.8875,19434.29981994629,2894,1113,2892,1113,2875,1113,2893,1113,1113,2894,1113,1113,2894,1113,1113,2884,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5221265408,0
199,1771651485805,10515.702651977539,2900,1,0.8875,10515.702651977539,2900,1,0.8875,9876.516708374023,2900,1,0.8875,9876.516708374023,2900,1,0.8875,9624.786560058594,2900,1,0.8875,9624.786560058594,2900,1,0.8875,9648.799621582031,2900,1,0.8875,9648.799621582031,2900,1,0.8875,19438.140075683594,2894,1113,2892,1113,2875,1113,2893,1113,1113,2894,1113,1113,2894,1113,1113,2884,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5218697216,0
199,1771651486005,10515.996978759766,2900,1,0.8875,10515.996978759766,2900,1,0.8875,9876.80923461914,2900,1,0.8875,9876.80923461914,2900,1,0.8875,9625.077041625977,2900,1,0.8875,9625.077041625977,2900,1,0.8875,9649.090896606445,2900,1,0.8875,9649.090896606445,2900,1,0.8875,19442.09700012207,2894,1113,2892,1113,2875,1113,2893,1113,1113,2894,1113,1113,2894,1113,1113,2884,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.23809814453125,33039077376,8999923712,5218250752,0
199,1771651486205,10516.291519165039,2900,1,0.8875,10516.291519165039,2900,1,0.8875,9877.111022949219,2900,1,0.8875,9877.111022949219,2900,1,0.8875,9625.372924804688,2900,1,0.8875,9625.374282836914,2900,1,0.8875,9649.39128112793,2900,1,0.8875,9649.39128112793,2900,1,0.8875,19446.067428588867,2894,1113,2892,1113,2875,1113,2893,1113,1113,2894,1113,1113,2894,1113,1113,2884,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5216555008,0
199,1771651486405,10516.585632324219,2900,1,0.8875,10516.585632324219,2900,1,0.8875,9877.406799316406,2900,1,0.8875,9877.406799316406,2900,1,0.8875,9625.663009643555,2900,1,0.8875,9625.663009643555,2900,1,0.8875,9649.684020996094,2900,1,0.8875,9649.684020996094,2900,1,0.8875,19450.00555419922,2894,1113,2892,1113,2875,1113,2893,1113,1113,2894,1113,1113,2894,1113,1113,2884,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33039077376,8999923712,5215809536,0
