Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771648130934,9737.798355102539,2900,1,0.8875,9737.798355102539,2900,1,0.8875,9140.849563598633,2900,1,0.8875,9140.849563598633,2900,1,0.8875,8843.559341430664,2900,1,0.8875,8843.559341430664,2900,1,0.8875,8873.090286254883,2900,1,0.8875,8873.090286254883,2900,1,0.8875,64103.020568847656,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,2.4390242099761963,4.761904716491699,2.4390242099761963,4.651162624359131,2.4390242099761963,4.761904716491699,4.761904716491699,2.4390242099761963,2.3809523582458496,9.523809432983398,4.878048419952393,4.651162624359131,2.4390242099761963,2.3809523582458496,6.976744651794434,4.761904716491699,33039077376,8999923712,5153136640,0
199,1771648130934,9737.80014038086,2900,1,0.8875,9737.80014038086,2900,1,0.8875,9140.852722167969,2900,1,0.8875,9140.852722167969,2900,1,0.8875,8843.559356689453,2900,1,0.8875,8843.559356689453,2900,1,0.8875,8873.090301513672,2900,1,0.8875,8873.090301513672,2900,1,0.8875,64103.03663635254,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,2.4390242099761963,4.761904716491699,2.4390242099761963,4.651162624359131,2.4390242099761963,4.761904716491699,4.761904716491699,2.4390242099761963,2.3809523582458496,9.523809432983398,4.878048419952393,4.651162624359131,2.4390242099761963,2.3809523582458496,6.976744651794434,4.761904716491699,33039077376,8999923712,5153136640,0
199,1771648131134,9737.833404541016,2900,1,0.8875,9737.833404541016,2900,1,0.8875,9140.870071411133,2900,1,0.8875,9140.870071411133,2900,1,0.8875,8843.618377685547,2900,1,0.8875,8843.618377685547,2900,1,0.8875,8873.101104736328,2900,1,0.8875,8873.101104736328,2900,1,0.8875,64104.797607421875,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,0,5,0,0,4.761904716491699,0,95.23809814453125,4.545454502105713,0,4.761904716491699,15.000000953674316,0,0,0,0,0,33039077376,8999923712,5155426304,0
199,1771648131334,9737.834701538086,2900,1,0.8875,9737.834701538086,2900,1,0.8875,9140.873428344727,2900,1,0.8875,9140.873428344727,2900,1,0.8875,8843.620010375977,2900,1,0.8875,8843.620010375977,2900,1,0.8875,8873.101440429688,2900,1,0.8875,8873.101440429688,2900,1,0.8875,64106.45796203613,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,0,0,0,0,0,0,100,0,0,0,4.761904716491699,0,0,0,0,0,33039077376,8999923712,5156171776,0
199,1771648131534,9737.836990356445,2900,1,0.8875,9737.836990356445,2900,1,0.8875,9140.879257202148,2900,1,0.8875,9140.879257202148,2900,1,0.8875,8843.622360229492,2900,1,0.8875,8843.622360229492,2900,1,0.8875,8873.102066040039,2900,1,0.8875,8873.102066040039,2900,1,0.8875,64108.13803100586,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,0,0,0,0,0,0,100,0,5,0,0,0,0,0,0,0,33039077376,8999923712,5159411712,0
199,1771648131734,9737.838943481445,2900,1,0.8875,9737.838943481445,2900,1,0.8875,9140.88542175293,2900,1,0.8875,9140.88542175293,2900,1,0.8875,8843.625228881836,2900,1,0.8875,8843.625228881836,2900,1,0.8875,8873.102127075195,2900,1,0.8875,8873.102127075195,2900,1,0.8875,64109.78175354004,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,0,0,0,0,0,0,100,4.761904716491699,0,4.761904716491699,0,0,0,0,4.761904716491699,0,33039077376,8999923712,5158174720,0
199,1771648131935,9737.83950805664,2900,1,0.8875,9737.83950805664,2900,1,0.8875,9140.890090942383,2900,1,0.8875,9140.890090942383,2900,1,0.8875,8843.626571655273,2900,1,0.8875,8843.626571655273,2900,1,0.8875,8873.103073120117,2900,1,0.8875,8873.103073120117,2900,1,0.8875,64111.43699645996,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5157036032,0
199,1771648132135,9737.857620239258,2900,1,0.8875,9737.857620239258,2900,1,0.8875,9140.902481079102,2900,1,0.8875,9140.902481079102,2900,1,0.8875,8843.645141601563,2900,1,0.8875,8843.64517211914,2900,1,0.8875,8873.112258911133,2900,1,0.8875,8873.112258911133,2900,1,0.8875,64113.19483947754,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,4.761904716491699,5,0,0,4.761904716491699,0,100,0,0,0,5,5,9.523809432983398,0,4.761904716491699,0,33039077376,8999923712,5163618304,0
199,1771648132335,9737.85824584961,2900,1,0.8875,9737.85824584961,2900,1,0.8875,9140.907196044922,2900,1,0.8875,9140.907196044922,2900,1,0.8875,8843.646881103516,2900,1,0.8875,8843.646881103516,2900,1,0.8875,8873.112289428711,2900,1,0.8875,8873.112289428711,2900,1,0.8875,64114.827224731445,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5162500096,0
199,1771648132535,9737.858322143555,2900,1,0.8875,9737.858322143555,2900,1,0.8875,9140.912094116211,2900,1,0.8875,9140.912094116211,2900,1,0.8875,8843.64811706543,2900,1,0.8875,8843.64811706543,2900,1,0.8875,8873.112319946289,2900,1,0.8875,8873.112319946289,2900,1,0.8875,64116.479553222656,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5159370752,0
199,1771648132735,9737.863876342773,2900,1,0.8875,9737.863876342773,2900,1,0.8875,9140.918319702148,2900,1,0.8875,9140.918319702148,2900,1,0.8875,8843.652603149414,2900,1,0.8875,8843.652603149414,2900,1,0.8875,8873.115280151367,2900,1,0.8875,8873.115280151367,2900,1,0.8875,64118.16098022461,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,0,0,0,0,5,0,100,5,0,0,0,0,0,0,0,0,33039077376,8999923712,5158760448,0
199,1771648132935,9737.86587524414,2900,1,0.8875,9737.86587524414,2900,1,0.8875,9140.922790527344,2900,1,0.8875,9140.922790527344,2900,1,0.8875,8843.653823852539,2900,1,0.8875,8843.653823852539,2900,1,0.8875,8873.115310668945,2900,1,0.8875,8873.115310668945,2900,1,0.8875,64119.81330871582,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,0,0,0,0,0,0,100,0,0,4.761904716491699,0,0,0,0,0,0,33039077376,8999923712,5157392384,0
199,1771648133135,9737.877838134766,2900,1,0.8875,9737.877838134766,2900,1,0.8875,9140.930709838867,2900,1,0.8875,9140.930709838867,2900,1,0.8875,8843.656784057617,2900,1,0.8875,8843.656784057617,2900,1,0.8875,8873.116561889648,2900,1,0.8875,8873.116561889648,2900,1,0.8875,64121.50834655762,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,5,0,0,0,4.761904716491699,0,100,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5156065280,0
199,1771648133335,9737.883224487305,2900,1,0.8875,9737.883224487305,2900,1,0.8875,9140.935897827148,2900,1,0.8875,9140.937042236328,2900,1,0.8875,8843.6591796875,2900,1,0.8875,8843.6591796875,2900,1,0.8875,8873.116592407227,2900,1,0.8875,8873.116592407227,2900,1,0.8875,64123.16798400879,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,0,0,9.523809432983398,0,0,0,100,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5154947072,0
199,1771648133535,9737.884811401367,2900,1,0.8875,9737.884811401367,2900,1,0.8875,9140.940490722656,2900,1,0.8875,9140.940490722656,2900,1,0.8875,8843.660247802734,2900,1,0.8875,8843.660247802734,2900,1,0.8875,8873.11752319336,2900,1,0.8875,8873.11752319336,2900,1,0.8875,64124.815673828125,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5162287104,0
199,1771648133735,9737.895385742188,2900,1,0.8875,9737.895385742188,2900,1,0.8875,9140.947677612305,2900,1,0.8875,9140.947677612305,2900,1,0.8875,8843.661056518555,2900,1,0.8875,8843.661056518555,2900,1,0.8875,8873.117538452148,2900,1,0.8875,8873.117538452148,2900,1,0.8875,64126.48013305664,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5160796160,0
199,1771648133935,9737.900344848633,2900,1,0.8875,9737.900344848633,2900,1,0.8875,9140.953964233398,2900,1,0.8875,9140.953964233398,2900,1,0.8875,8843.662841796875,2900,1,0.8875,8843.662841796875,2900,1,0.8875,8873.117919921875,2900,1,0.8875,8873.117919921875,2900,1,0.8875,64128.16539001465,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,0,0,5,0,0,0,100,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5159677952,0
199,1771648134136,9737.910690307617,2900,1,0.8875,9737.910690307617,2900,1,0.8875,9140.959396362305,2900,1,0.8875,9140.959396362305,2900,1,0.8875,8843.664764404297,2900,1,0.8875,8843.664764404297,2900,1,0.8875,8873.117950439453,2900,1,0.8875,8873.117950439453,2900,1,0.8875,64129.85313415527,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,0,0,0,4.761904716491699,0,0,100,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5166383104,0
199,1771648134336,9737.912841796875,2900,1,0.8875,9737.912841796875,2900,1,0.8875,9140.96403503418,2900,1,0.8875,9140.96403503418,2900,1,0.8875,8843.665451049805,2900,1,0.8875,8843.665451049805,2900,1,0.8875,8873.117980957031,2900,1,0.8875,8873.117980957031,2900,1,0.8875,64131.49549865723,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5165146112,0
199,1771648134536,9737.915939331055,2900,1,0.8875,9737.915939331055,2900,1,0.8875,9140.97006225586,2900,1,0.8875,9140.97006225586,2900,1,0.8875,8843.665542602539,2900,1,0.8875,8843.665542602539,2900,1,0.8875,8873.119262695313,2900,1,0.8875,8873.119262695313,2900,1,0.8875,64133.15531921387,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,0,0,0,0,9.090909004211426,4.761904716491699,100,0,0,4.761904716491699,0,0,0,0,0,0,33039077376,8999923712,5164027904,0
199,1771648134736,9737.927947998047,2900,1,0.8875,9737.927947998047,2900,1,0.8875,9140.975051879883,2900,1,0.8875,9140.975051879883,2900,1,0.8875,8843.66879272461,2900,1,0.8875,8843.66879272461,2875,1,0.8875,8873.119277954102,2900,1,0.8875,8873.119277954102,2900,1,0.8875,64134.82629394531,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,4.761904716491699,0,4.761904716491699,0,0,0,100,4.761904716491699,0,0,0,0,0,0,0,4.761904716491699,33039077376,8999923712,5162852352,0
199,1771648134936,9737.929901123047,2900,1,0.8875,9737.929901123047,2900,1,0.8875,9140.979431152344,2900,1,0.8875,9140.979431152344,2900,1,0.8875,8843.669845581055,2900,1,0.8875,8843.669845581055,2900,1,0.8875,8873.119888305664,2900,1,0.8875,8873.119888305664,2900,1,0.8875,64136.46173095703,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,4.761904716491699,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5152989184,0
199,1771648135136,9737.940155029297,2900,1,0.8875,9737.940155029297,2900,1,0.8875,9140.987762451172,2900,1,0.8875,9140.987762451172,2900,1,0.8875,8843.67155456543,2900,1,0.8875,8843.67155456543,2900,1,0.8875,8873.120574951172,2900,1,0.8875,8873.120574951172,2900,1,0.8875,64138.16130065918,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5152579584,0
199,1771648135336,9737.944427490234,2900,1,0.8875,9737.944427490234,2900,1,0.8875,9140.992477416992,2900,1,0.8875,9140.992477416992,2900,1,0.8875,8843.672485351563,2900,1,0.8875,8843.672485351563,2900,1,0.8875,8873.121185302734,2900,1,0.8875,8873.121185302734,2900,1,0.8875,64139.81001281738,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5151461376,0
199,1771648135536,9737.946670532227,2900,1,0.8875,9737.946670532227,2900,1,0.8875,9140.996047973633,2900,1,0.8875,9140.996047973633,2900,1,0.8875,8843.673873901367,2900,1,0.8875,8843.673873901367,2900,1,0.8875,8873.121276855469,2900,1,0.8875,8873.121276855469,2900,1,0.8875,64141.454025268555,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,0,0,0,0,0,0,100,0,4.761904716491699,0,0,0,0,0,0,0,33039077376,8999923712,5149970432,0
199,1771648135736,9737.957534790039,2900,1,0.8875,9737.957534790039,2900,1,0.8875,9141.003662109375,2900,1,0.8875,9141.003662109375,2900,1,0.8875,8843.67643737793,2900,1,0.8875,8843.67643737793,2900,1,0.8875,8873.121322631836,2900,1,0.8875,8873.121322631836,2900,1,0.8875,64143.14520263672,1113,2894,1113,2894,2894,1113,1113,2894,1113,2894,2894,1113,2889,1113,2894,1113,5,0,0,0,5,0,100,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5148852224,0
