Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771646864318,9400.064758300781,2900,1,0.8875,9400.064758300781,2900,1,0.8875,8784.200164794922,2900,1,0.8875,8784.200164794922,2900,1,0.8875,8478.979858398438,2900,1,0.8875,8478.979858398438,2900,1,0.8875,8532.651397705078,2900,1,0.8875,8532.651397705078,2900,1,0.8875,55715.97422790527,1113,2894,2894,1113,2893,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,2894,2.3809523582458496,6.976744651794434,4.545454502105713,2.3255813121795654,11.36363697052002,2.3809523582458496,4.761904716491699,2.3809523582458496,2.3255813121795654,2.3809523582458496,4.545454502105713,4.545454502105713,2.3255813121795654,2.3255813121795654,2.3255813121795654,4.545454502105713,33039077376,8999923712,5187194880,0
199,1771646864318,9400.064804077148,2900,1,0.8875,9400.064804077148,2900,1,0.8875,8784.200180053711,2900,1,0.8875,8784.200180053711,2900,1,0.8875,8478.980361938477,2900,1,0.8875,8478.980361938477,2900,1,0.8875,8532.651412963867,2900,1,0.8875,8532.651412963867,2900,1,0.8875,55715.9914855957,1113,2894,2894,1113,2893,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,2894,2.3809523582458496,6.976744651794434,4.545454502105713,2.3255813121795654,11.36363697052002,2.3809523582458496,4.761904716491699,2.3809523582458496,2.3255813121795654,2.3809523582458496,4.545454502105713,4.545454502105713,2.3255813121795654,2.3255813121795654,2.3255813121795654,4.545454502105713,33039077376,8999923712,5187940352,0
199,1771646864519,9400.067672729492,2900,1,0.8875,9400.067672729492,2900,1,0.8875,8784.20132446289,2900,1,0.8875,8784.20132446289,2900,1,0.8875,8478.982284545898,2900,1,0.8875,8478.982284545898,2900,1,0.8875,8532.652038574219,2900,1,0.8875,8532.652038574219,2900,1,0.8875,55717.627868652344,1113,2894,2894,1113,2893,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,2894,0,0,0,0,0,0,100,0,0,0,0,0,4.761904716491699,0,0,0,33039077376,8999923712,5188313088,0
199,1771646864719,9400.076873779297,2900,1,0.8875,9400.076873779297,2900,1,0.8875,8784.204605102539,2900,1,0.8875,8784.204605102539,2900,1,0.8875,8478.99382019043,2900,1,0.8875,8478.99382019043,2900,1,0.8875,8532.658508300781,2900,1,0.8875,8532.658508300781,2900,1,0.8875,55719.29165649414,1113,2894,2894,1113,2893,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,2894,0,0,0,0,0,0,100,0,4.761904716491699,0,5,0,0,0,4.761904716491699,0,33039077376,8999923712,5186957312,0
199,1771646864919,9400.096984863281,2900,1,0.8875,9400.096984863281,2900,1,0.8875,8784.253860473633,2900,1,0.8875,8784.253860473633,2900,1,0.8875,8479.012283325195,2900,1,0.8875,8479.012283325195,2900,1,0.8875,8532.681579589844,2900,1,0.8875,8532.681579589844,2900,1,0.8875,55721.08743286133,1113,2894,2894,1113,2893,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,2894,0,5,4.761904716491699,0,0,0,100,0,15.789472579956055,0,0,0,0,4.761904716491699,0,5,33039077376,8999923712,5189128192,0
199,1771646865119,9400.103286743164,2900,1,0.8875,9400.103286743164,2900,1,0.8875,8784.260162353516,2900,1,0.8875,8784.260162353516,2900,1,0.8875,8479.024490356445,2900,1,0.8875,8479.024490356445,2900,1,0.8875,8532.689208984375,2900,1,0.8875,8532.689208984375,2900,1,0.8875,55722.7571105957,1113,2894,2894,1113,2893,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,2894,4.761904716491699,0,0,0,0,0,100,0,0,0,0,5,5,4.761904716491699,0,0,33039077376,8999923712,5191991296,0
199,1771646865319,9400.105422973633,2900,1,0.8875,9400.105422973633,2900,1,0.8875,8784.260223388672,2900,1,0.8875,8784.260223388672,2900,1,0.8875,8479.025161743164,2900,1,0.8875,8479.025161743164,2900,1,0.8875,8532.689819335938,2900,1,0.8875,8532.689819335938,2900,1,0.8875,55724.40460205078,1113,2894,2894,1113,2893,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,2894,0,4.761904716491699,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5190873088,0
199,1771646865519,9400.110473632813,2900,1,0.8875,9400.110473632813,2900,1,0.8875,8784.266571044922,2900,1,0.8875,8784.266571044922,2900,1,0.8875,8479.031723022461,2900,1,0.8875,8479.031723022461,2900,1,0.8875,8532.695129394531,2900,1,0.8875,8532.695129394531,2900,1,0.8875,55726.052505493164,1113,2894,2894,1113,2893,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,2894,0,0,0,0,0,0,100,0,0,0,0,0,4.761904716491699,0,0,0,33039077376,8999923712,5189382144,0
199,1771646865719,9400.116394042969,2900,1,0.8875,9400.116394042969,2900,1,0.8875,8784.273422241211,2900,1,0.8875,8784.273422241211,2900,1,0.8875,8479.044219970703,2900,1,0.8875,8479.044219970703,2900,1,0.8875,8532.701171875,2900,1,0.8875,8532.701171875,2900,1,0.8875,55727.71467590332,1113,2894,2894,1113,2893,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,2894,0,0,0,0,0,0,100,0,5,0,0,0,0,0,0,0,33039077376,8999923712,5196722176,0
199,1771646865919,9400.12857055664,2900,1,0.8875,9400.12857055664,2900,1,0.8875,8784.284881591797,2900,1,0.8875,8784.284881591797,2900,1,0.8875,8479.052062988281,2900,1,0.8875,8479.052062988281,2900,1,0.8875,8532.712936401367,2900,1,0.8875,8532.712936401367,2900,1,0.8875,55729.42102050781,1113,2894,2894,1113,2893,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,2894,0,0,0,0,0,0,100,0,4.761904716491699,0,0,5,0,0,0,0,33039077376,8999923712,5195685888,0
