Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771635707712,6633.847106933594,2900,1,0.8875,6633.847106933594,2900,1,0.8875,6400.894302368164,2900,1,0.8875,6400.894302368164,2900,1,0.8875,6007.453399658203,2900,1,0.8875,6007.453399658203,2900,1,0.8875,6198.628189086914,2900,1,0.8875,6198.628189086914,2900,1,0.8875,51324.24598693848,2894,2894,1113,1113,1113,1113,2894,1113,2899,2796,2895,1113,1113,2893,1113,2894,2.2727272510528564,2.2727272510528564,2.2727272510528564,4.34782600402832,4.44444465637207,4.44444465637207,9.090909004211426,2.2727272510528564,2.2727272510528564,4.44444465637207,2.2727272510528564,2.222222328186035,4.44444465637207,4.44444465637207,6.6666669845581055,2.2727272510528564,33039077376,8999923712,5125533696,0
199,1771635707713,6633.84716796875,2900,1,0.8875,6633.84716796875,2900,1,0.8875,6400.894317626953,2900,1,0.8875,6400.894317626953,2900,1,0.8875,6007.454116821289,2900,1,0.8875,6007.454116821289,2900,1,0.8875,6198.629409790039,2900,1,0.8875,6198.629409790039,2900,1,0.8875,51324.266342163086,2894,2894,1113,1113,1113,1113,2894,1113,2899,2796,2895,1113,1113,2893,1113,2894,2.2727272510528564,2.2727272510528564,2.2727272510528564,4.34782600402832,4.44444465637207,4.44444465637207,9.090909004211426,2.2727272510528564,2.2727272510528564,4.44444465637207,2.2727272510528564,2.222222328186035,4.44444465637207,4.44444465637207,6.6666669845581055,2.2727272510528564,33039077376,8999923712,5125906432,0
199,1771635707913,6633.90185546875,2900,1,0.89375,6633.90185546875,2900,1,0.89375,6400.917404174805,2900,1,0.89375,6400.917404174805,2900,1,0.89375,6007.471481323242,2900,1,0.89375,6007.471481323242,2900,1,0.89375,6198.653289794922,2900,1,0.89375,6198.653289794922,2900,1,0.89375,51326.020935058594,2894,2894,1113,1113,1113,1113,2894,1113,2899,2796,2895,1113,1113,2893,1113,2894,15.000000953674316,0,95.23809814453125,0,0,0,0,0,0,9.523809432983398,4.761904716491699,0,5,0,0,4.761904716491699,33039077376,8999923712,5130735616,0
199,1771635708113,6633.914688110352,2900,1,0.89375,6633.914688110352,2900,1,0.89375,6400.922607421875,2900,1,0.89375,6400.922607421875,2900,1,0.89375,6007.474838256836,2900,1,0.89375,6007.474838256836,2900,1,0.89375,6198.66242980957,2900,1,0.89375,6198.66242980957,2900,1,0.8875,51327.73271179199,2894,2894,1113,1113,1113,1113,2894,1113,2899,2796,2895,1113,1113,2893,1113,2894,0,5,100,0,5,0,0,0,4.761904716491699,0,0,0,4.761904716491699,5,0,0,33039077376,8999923712,5133045760,0
199,1771635708313,6633.914825439453,2900,1,0.8875,6633.914825439453,2900,1,0.8875,6400.92268371582,2900,1,0.89375,6400.92268371582,2900,1,0.89375,6007.475646972656,2900,1,0.89375,6007.475646972656,2900,1,0.89375,6198.6641845703125,2900,1,0.89375,6198.6641845703125,2900,1,0.89375,51329.37643432617,2894,2894,1113,1113,1113,1113,2894,1113,2899,2796,2895,1113,1113,2893,1113,2894,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5137891328,0
199,1771635708513,6633.923400878906,2900,1,0.8875,6633.923400878906,2900,1,0.8875,6400.929000854492,2900,1,0.8875,6400.929000854492,2900,1,0.89375,6007.477630615234,2900,1,0.89375,6007.477630615234,2900,1,0.89375,6198.673782348633,2900,1,0.89375,6198.673782348633,2900,1,0.89375,51331.07237243652,2894,2894,1113,1113,1113,1113,2894,1113,2899,2796,2895,1113,1113,2893,1113,2894,0,0,100,0,0,0,0,0,5,0,0,0,0,0,0,0,33039077376,8999923712,5143728128,0
199,1771635708713,6633.935684204102,2900,1,0.8875,6633.935684204102,2900,1,0.8875,6400.935028076172,2900,1,0.8875,6400.935028076172,2900,1,0.8875,6007.4813232421875,2900,1,0.8875,6007.4813232421875,2900,1,0.8875,6198.6807861328125,2900,1,0.8875,6198.6807861328125,2900,1,0.8875,51332.7889251709,2894,2894,1113,1113,1113,1113,2894,1113,2899,2796,2895,1113,1113,2893,1113,2894,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5140631552,0
199,1771635708913,6633.948913574219,2900,1,0.89375,6633.948913574219,2900,1,0.89375,6400.950500488281,2900,1,0.89375,6400.950500488281,2900,1,0.89375,6007.491989135742,2900,1,0.89375,6007.491989135742,2900,1,0.89375,6198.690673828125,2900,1,0.89375,6198.690673828125,2900,1,0.89375,51334.47178649902,2894,2894,1113,1113,1113,1113,2894,1113,2899,2796,2895,1113,1113,2893,1113,2894,5,0,100,0,0,0,0,4.761904716491699,0,0,5,0,5,0,0,0,33039077376,8999923712,5146136576,0
199,1771635709113,6633.966461181641,2900,1,0.8875,6633.966461181641,2900,1,0.8875,6400.960525512695,2900,1,0.8875,6400.960525512695,2900,1,0.8875,6007.498031616211,2900,1,0.8875,6007.498031616211,2900,1,0.8875,6198.699234008789,2900,1,0.8875,6198.699234008789,2900,1,0.8875,51336.2274017334,2894,2894,1113,1113,1113,1113,2894,1113,2899,2796,2895,1113,1113,2893,1113,2894,0,4.761904716491699,100,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,33039077376,8999923712,5141733376,0
199,1771635709313,6633.967483520508,2900,1,0.89375,6633.967483520508,2900,1,0.89375,6400.961349487305,2900,1,0.89375,6400.961349487305,2900,1,0.89375,6007.498687744141,2900,1,0.89375,6007.498687744141,2900,1,0.89375,6198.700637817383,2900,1,0.89375,6198.700637817383,2900,1,0.8875,51337.894622802734,2894,2894,1113,1113,1113,1113,2894,1113,2899,2796,2895,1113,1113,2893,1113,2894,0,0,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5146570752,0
200,1771635709514,6633.969039916992,2900,1,0.89375,6633.969039916992,2900,1,0.89375,6400.96240234375,2900,1,0.89375,6400.96240234375,2900,1,0.89375,6007.499252319336,2900,1,0.89375,6007.499252319336,2900,1,0.89375,6198.701934814453,2900,1,0.89375,6198.701934814453,2900,1,0.89375,51339.55601501465,2894,2894,1113,1113,1113,1113,2894,1113,2899,2796,2895,1113,1113,2893,1113,2894,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5143207936,0
199,1771635709714,6633.989486694336,2900,1,0.8875,6633.989486694336,2900,1,0.8875,6400.973648071289,2900,1,0.89375,6400.973648071289,2900,1,0.89375,6007.506149291992,2900,1,0.89375,6007.506149291992,2900,1,0.89375,6198.710693359375,2900,1,0.89375,6198.710693359375,2900,1,0.89375,51341.26121520996,2894,2894,1113,1113,1113,1113,2894,1113,2899,2796,2895,1113,1113,2893,1113,2894,0,0,100,0,0,0,0,0,0,4.761904716491699,0,5,0,0,0,0,33039077376,8999923712,5139472384,0
199,1771635709914,6633.9903564453125,2900,1,0.8875,6633.9903564453125,2900,1,0.8875,6400.974472045898,2900,1,0.8875,6400.974472045898,2900,1,0.8875,6007.50617980957,2900,1,0.8875,6007.50617980957,2900,1,0.89375,6198.712860107422,2900,1,0.89375,6198.712860107422,2900,1,0.89375,51342.92547607422,2894,2894,1113,1113,1113,1113,2894,1113,2899,2796,2895,1113,1113,2893,1113,2894,0,0,100,0,0,0,0,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,33039077376,8999923712,5143564288,0
199,1771635710114,6634.392501831055,2900,1,0.8875,6634.392501831055,2900,1,0.8875,6400.981231689453,2900,1,0.8875,6400.981231689453,2900,1,0.8875,6007.512756347656,2900,1,0.8875,6007.512756347656,2900,1,0.8875,6198.719665527344,2900,1,0.8875,6198.719665527344,2900,1,0.8875,51344.60823059082,2894,2894,1113,1113,1113,1113,2894,1113,2899,2796,2895,1113,1113,2893,1113,2894,100,9.523809432983398,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5147848704,0
199,1771635710314,6634.791549682617,2900,1,0.89375,6634.791549682617,2900,1,0.89375,6400.987823486328,2900,1,0.8875,6400.987823486328,2900,1,0.8875,6007.518341064453,2900,1,0.8875,6007.518341064453,2900,1,0.8875,6198.72412109375,2900,1,0.8875,6198.72412109375,2900,1,0.8875,51346.27230834961,2894,2894,1113,1113,1113,1113,2894,1113,2899,2796,2895,1113,1113,2893,1113,2894,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5144375296,0
