Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771634586876,6352.772750854492,2900,1,0.8875,6352.772750854492,2900,1,0.8875,6168.730377197266,2900,1,0.8875,6168.730377197266,2900,1,0.8875,5731.414627075195,2900,1,0.8875,5731.414627075195,2900,1,0.8875,5976.739486694336,2900,1,0.8875,5976.739486694336,2900,1,0.8875,44206.647521972656,2894,1113,2887,1113,1113,2894,2894,2894,2894,1113,1113,2892,1113,2894,1113,2894,5,5.128205299377441,5.263157844543457,12.820513725280762,5.128205299377441,2.5641026496887207,5,2.6315789222717285,2.6315789222717285,2.5641026496887207,2.5641026496887207,5.128205299377441,2.5641026496887207,2.5641026496887207,2.5641026496887207,5.128205299377441,33039077376,8999923712,5132492800,0
199,1771634586877,6352.772796630859,2900,1,0.8875,6352.772796630859,2900,1,0.8875,6168.730407714844,2900,1,0.8875,6168.730407714844,2900,1,0.8875,5731.415237426758,2900,1,0.8875,5731.415237426758,2900,1,0.8875,5976.739501953125,2900,1,0.8875,5976.739501953125,2900,1,0.8875,44206.66815185547,2894,1113,2887,1113,1113,2894,2894,2894,2894,1113,1113,2892,1113,2894,1113,2894,5,5.128205299377441,5.263157844543457,12.820513725280762,5.128205299377441,2.5641026496887207,5,2.6315789222717285,2.6315789222717285,2.5641026496887207,2.5641026496887207,5.128205299377441,2.5641026496887207,2.5641026496887207,2.5641026496887207,5.128205299377441,33039077376,8999923712,5133238272,0
199,1771634587077,6352.786529541016,2900,1,0.8875,6352.786529541016,2900,1,0.8875,6168.732116699219,2900,1,0.8875,6168.732116699219,2900,1,0.8875,5731.416702270508,2900,1,0.8875,5731.416702270508,2900,1,0.8875,5976.744186401367,2900,1,0.8875,5976.744186401367,2900,1,0.8875,44208.36672973633,2894,1113,2887,1113,1113,2894,2894,2894,2894,1113,1113,2892,1113,2894,1113,2894,0,4.761904716491699,0,95.23809814453125,0,4.761904716491699,0,4.761904716491699,0,0,0,0,0,0,0,0,33039077376,8999923712,5136666624,0
199,1771634587277,6352.7886962890625,2900,1,0.8875,6352.7886962890625,2900,1,0.8875,6168.733352661133,2900,1,0.8875,6168.733352661133,2900,1,0.8875,5731.418563842773,2900,1,0.8875,5731.418563842773,2900,1,0.8875,5976.745269775391,2900,1,0.8875,5976.745269775391,2900,1,0.8875,44210.03137207031,2894,1113,2887,1113,1113,2894,2894,2894,2894,1113,1113,2892,1113,2894,1113,2894,0,0,0,100,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5137412096,0
199,1771634587477,6352.810882568359,2900,1,0.8875,6352.810882568359,2900,1,0.8875,6168.780670166016,2900,1,0.8875,6168.780670166016,2900,1,0.8875,5731.44352722168,2900,1,0.8875,5731.44352722168,2900,1,0.8875,5976.7630615234375,2900,1,0.8875,5976.7630615234375,2900,1,0.8875,44211.75114440918,2894,1113,2887,1113,1113,2894,2894,2894,2894,1113,1113,2892,1113,2894,1113,2894,5,4.761904716491699,0,100,0,0,0,0,15.000000953674316,0,5,0,5,0,0,0,33039077376,8999923712,5138395136,0
199,1771634587677,6352.823165893555,2900,1,0.8875,6352.823165893555,2900,1,0.8875,6168.781005859375,2900,1,0.8875,6168.781005859375,2900,1,0.8875,5731.445022583008,2900,1,0.8875,5731.445022583008,2900,1,0.8875,5976.766204833984,2900,1,0.8875,5976.766204833984,2900,1,0.8875,44213.436447143555,2894,1113,2887,1113,1113,2894,2894,2894,2894,1113,1113,2892,1113,2894,1113,2894,4.761904716491699,0,0,100,0,0,0,0,0,0,0,0,0,4.761904716491699,5,0,33039077376,8999923712,5133414400,0
200,1771634587877,6352.824066162109,2900,1,0.8875,6352.824066162109,2900,1,0.8875,6168.781021118164,2900,1,0.8875,6168.781021118164,2900,1,0.8875,5731.445816040039,2900,1,0.8875,5731.445816040039,2900,1,0.8875,5976.769073486328,2900,1,0.8875,5976.769073486328,2900,1,0.89375,44215.097412109375,2894,1113,2887,1113,1113,2894,2894,2894,2894,1113,1113,2892,1113,2894,1113,2894,0,0,4.761904716491699,100,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,33039077376,8999923712,5138235392,0
199,1771634588077,6352.835372924805,2900,1,0.8875,6352.835372924805,2900,1,0.8875,6168.781600952148,2900,1,0.8875,6168.781600952148,2900,1,0.8875,5731.445938110352,2900,1,0.8875,5731.445938110352,2900,1,0.8875,5976.771087646484,2900,1,0.8875,5976.771087646484,2900,1,0.8875,44216.77658081055,2894,1113,2887,1113,1113,2894,2894,2894,2894,1113,1113,2892,1113,2894,1113,2894,0,0,0,100,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,33039077376,8999923712,5135048704,0
199,1771634588278,6352.839920043945,2900,1,0.89375,6352.839920043945,2900,1,0.89375,6168.781677246094,2900,1,0.89375,6168.781677246094,2900,1,0.8875,5731.449569702148,2900,1,0.8875,5731.449569702148,2900,1,0.8875,5976.772430419922,2900,1,0.8875,5976.772430419922,2900,1,0.8875,44218.476165771484,2894,1113,2887,1113,1113,2894,2894,2894,2894,1113,1113,2892,1113,2894,1113,2894,0,4.761904716491699,0,100,0,0,0,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5147721728,0
199,1771634588478,6352.847427368164,2900,1,0.8875,6352.847427368164,2900,1,0.8875,6168.791152954102,2900,1,0.8875,6168.791152954102,2900,1,0.8875,5731.467254638672,2900,1,0.8875,5731.467254638672,2900,1,0.8875,5976.786651611328,2900,1,0.8875,5976.786651611328,2900,1,0.8875,44220.187088012695,2894,1113,2887,1113,1113,2894,2894,2894,2894,1113,1113,2892,1113,2894,1113,2894,0,0,0,100,0,0,5,0,0,0,4.761904716491699,0,4.761904716491699,0,0,0,33039077376,8999923712,5144653824,0
