Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771648783314,9861.823532104492,2900,1,0.8875,9861.823532104492,2900,1,0.8875,9234.184677124023,2900,1,0.8875,9234.18588256836,2900,1,0.8875,9000.90707397461,2900,1,0.8875,9000.90707397461,2900,1,0.8875,9046.972213745117,2900,1,0.8875,9046.972213745117,2900,1,0.8875,2495.536911010742,1113,2894,2891,2894,2894,2894,2893,2894,2894,2894,2894,1113,1113,2894,2894,2894,2.3255813121795654,2.2727272510528564,6.818181991577148,2.2727272510528564,13.043478012084961,4.44444465637207,4.44444465637207,4.44444465637207,4.44444465637207,6.5217390060424805,6.6666669845581055,2.2727272510528564,4.44444465637207,4.44444465637207,6.818181991577148,9.090909004211426,33039077376,8999923712,5143232512,0
199,1771648783314,9861.823822021484,2900,1,0.8875,9861.823822021484,2900,1,0.8875,9234.187438964844,2900,1,0.8875,9234.187438964844,2900,1,0.8875,9000.907241821289,2900,1,0.8875,9000.907348632813,2900,1,0.8875,9046.97248840332,2900,1,0.8875,9046.97248840332,2900,1,0.8875,2495.5592041015625,1113,2894,2891,2894,2894,2894,2893,2894,2894,2894,2894,1113,1113,2894,2894,2894,2.3255813121795654,2.2727272510528564,6.818181991577148,2.2727272510528564,13.043478012084961,4.44444465637207,4.44444465637207,4.44444465637207,4.44444465637207,6.5217390060424805,6.6666669845581055,2.2727272510528564,4.44444465637207,4.44444465637207,6.818181991577148,9.090909004211426,33039077376,8999923712,5143375872,0
199,1771648783514,9861.824417114258,2900,1,0.8875,9861.824417114258,2900,1,0.8875,9234.554672241211,2900,1,0.8875,9234.554672241211,2900,1,0.8875,9000.907958984375,2900,1,0.8875,9000.907958984375,2900,1,0.8875,9046.973190307617,2900,1,0.8875,9046.973190307617,2900,1,0.8875,2497.207504272461,1113,2894,2891,2894,2894,2894,2893,2894,2894,2894,2894,1113,1113,2894,2894,2894,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,33039077376,8999923712,5142274048,0
199,1771648783715,9861.834579467773,2900,1,0.8875,9861.834579467773,2900,1,0.8875,9234.959091186523,2900,1,0.8875,9234.959091186523,2900,1,0.8875,9000.92025756836,2900,1,0.8875,9000.92025756836,2900,1,0.8875,9046.98518371582,2900,1,0.8875,9046.98518371582,2900,1,0.8875,2498.8981018066406,1113,2894,2891,2894,2894,2894,2893,2894,2894,2894,2894,1113,1113,2894,2894,2894,4.761904716491699,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,33039077376,8999923712,5142892544,0
199,1771648783915,9861.836288452148,2900,1,0.8875,9861.836288452148,2900,1,0.8875,9235.35806274414,2900,1,0.8875,9235.35806274414,2900,1,0.8875,9000.921081542969,2900,1,0.8875,9000.921081542969,2900,1,0.8875,9046.98519897461,2900,1,0.8875,9046.98519897461,2900,1,0.8875,2500.5430603027344,1113,2894,2891,2894,2894,2894,2893,2894,2894,2894,2894,1113,1113,2894,2894,2894,0,0,0,0,0,0,0,0,100,0,0,4.761904716491699,0,0,0,0,33039077376,8999923712,5154439168,0
199,1771648784115,9861.843551635742,2900,1,0.8875,9861.843551635742,2900,1,0.8875,9235.755325317383,2900,1,0.8875,9235.757141113281,2900,1,0.8875,9000.925872802734,2900,1,0.8875,9000.925872802734,2900,1,0.8875,9046.993423461914,2900,1,0.8875,9046.993423461914,2900,1,0.8875,2502.242691040039,1113,2894,2891,2894,2894,2894,2893,2894,2894,2894,2894,1113,1113,2894,2894,2894,0,0,0,0,0,0,0,0,100,0,0,4.761904716491699,4.761904716491699,0,4.761904716491699,0,33039077376,8999923712,5149495296,0
199,1771648784315,9861.848175048828,2900,1,0.8875,9861.848175048828,2900,1,0.8875,9236.157485961914,2900,1,0.8875,9236.157485961914,2900,1,0.8875,9000.936599731445,2900,1,0.8875,9000.936599731445,2900,1,0.8875,9047.001266479492,2900,1,0.8875,9047.002090454102,2900,1,0.8875,2503.945281982422,1113,2894,2891,2894,2894,2894,2893,2894,2894,2894,2894,1113,1113,2894,2894,2894,0,0,4.761904716491699,0,5,0,0,0,100,0,4.761904716491699,0,0,0,5,0,33039077376,8999923712,5153193984,0
199,1771648784515,9861.850402832031,2900,1,0.8875,9861.850402832031,2900,1,0.8875,9236.554458618164,2900,1,0.8875,9236.554458618164,2900,1,0.8875,9000.939178466797,2900,1,0.8875,9000.939178466797,2900,1,0.8875,9047.003646850586,2900,1,0.8875,9047.003646850586,2900,1,0.8875,2505.603546142578,1113,2894,2891,2894,2894,2894,2893,2894,2894,2894,2894,1113,1113,2894,2894,2894,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,33039077376,8999923712,5155909632,0
199,1771648784715,9861.856567382813,2900,1,0.8875,9861.856567382813,2900,1,0.8875,9236.953186035156,2900,1,0.8875,9236.955123901367,2900,1,0.8875,9000.945816040039,2900,1,0.8875,9000.945816040039,2900,1,0.8875,9047.010070800781,2900,1,0.8875,9047.010070800781,2900,1,0.8875,2507.3244018554688,1113,2894,2891,2894,2894,2894,2893,2894,2894,2894,2894,1113,1113,2894,2894,2894,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,33039077376,8999923712,5150302208,0
199,1771648784915,9861.862350463867,2900,1,0.8875,9861.862350463867,2900,1,0.8875,9237.353973388672,2900,1,0.8875,9237.353973388672,2900,1,0.8875,9000.9501953125,2900,1,0.8875,9000.9501953125,2900,1,0.8875,9047.017929077148,2900,1,0.8875,9047.017929077148,2900,1,0.8875,2509.0174102783203,1113,2894,2891,2894,2894,2894,2893,2894,2894,2894,2894,1113,1113,2894,2894,2894,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,33039077376,8999923712,5153329152,0
