Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771626851031,4510.490203857422,2900,1,0.8875,4510.490203857422,2900,1,0.8875,4309.859817504883,2900,1,0.8875,4309.859817504883,2900,1,0.8875,3935.4292602539063,2900,1,0.8875,3935.4292602539063,2900,1,0.8875,4106.139007568359,2900,1,0.8875,4106.139007568359,2900,1,0.8875,60619.003662109375,1113,1113,1113,2893,1113,2893,2894,1113,2894,1113,2894,1113,1113,1113,1113,2894,4.878048419952393,2.5,4.878048419952393,2.5,2.5,4.878048419952393,4.761904716491699,4.761904716491699,4.878048419952393,4.761904716491699,2.4390242099761963,10,4.761904716491699,2.4390242099761963,2.4390242099761963,5,33039077376,8999923712,5097369600,0
199,1771626851031,4510.490219116211,2900,1,0.8875,4510.491134643555,2900,1,0.8875,4309.860107421875,2900,1,0.8875,4309.860107421875,2900,1,0.8875,3935.4307556152344,2900,1,0.8875,3935.4307556152344,2900,1,0.8875,4106.141845703125,2900,1,0.8875,4106.141845703125,2900,1,0.8875,60619.02262878418,1113,1113,1113,2893,1113,2893,2894,1113,2894,1113,2894,1113,1113,1113,1113,2894,4.878048419952393,2.5,4.878048419952393,2.5,2.5,4.878048419952393,4.761904716491699,4.761904716491699,4.878048419952393,4.761904716491699,2.4390242099761963,10,4.761904716491699,2.4390242099761963,2.4390242099761963,5,33039077376,8999923712,5097369600,0
199,1771626851231,4510.493743896484,2900,1,0.89375,4510.493743896484,2900,1,0.89375,4309.862808227539,2900,1,0.89375,4309.862808227539,2900,1,0.8875,3935.4344329833984,2900,1,0.8875,3935.4344329833984,2900,1,0.8875,4106.148590087891,2900,1,0.8875,4106.148590087891,2900,1,0.8875,60620.69657897949,1113,1113,1113,2893,1113,2893,2894,1113,2894,1113,2894,1113,1113,1113,1113,2894,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,4.545454502105713,33039077376,8999923712,5102096384,0
199,1771626851432,4510.495681762695,2900,1,0.89375,4510.495681762695,2900,1,0.89375,4309.863967895508,2900,1,0.89375,4309.863967895508,2900,1,0.89375,3935.4359283447266,2900,1,0.89375,3935.4359283447266,2900,1,0.89375,4106.154357910156,2900,1,0.8875,4106.154357910156,2900,1,0.8875,60622.39974975586,1113,1113,1113,2893,1113,2893,2894,1113,2894,1113,2894,1113,1113,1113,1113,2894,0,4.761904716491699,0,5,0,0,100,0,0,0,0,0,0,4.761904716491699,0,0,33039077376,8999923712,5105078272,0
199,1771626851632,4510.554534912109,2900,1,0.89375,4510.554534912109,2900,1,0.89375,4309.879623413086,2900,1,0.89375,4309.879623413086,2900,1,0.89375,3935.4483337402344,2900,1,0.89375,3935.4483337402344,2900,1,0.89375,4106.169281005859,2900,1,0.89375,4106.169281005859,2900,1,0.89375,60624.187591552734,1113,1113,1113,2893,1113,2893,2894,1113,2894,1113,2894,1113,1113,1113,1113,2894,10,5.263157844543457,4.761904716491699,0,0,0,100,5,0,5,0,0,5,0,4.761904716491699,0,33039077376,8999923712,5103120384,0
199,1771626851832,4510.555236816406,2900,1,0.8875,4510.555236816406,2900,1,0.8875,4309.879653930664,2900,1,0.8875,4309.879653930664,2900,1,0.8875,3935.450225830078,2900,1,0.8875,3935.450225830078,2900,1,0.8875,4106.173583984375,2900,1,0.8875,4106.173583984375,2900,1,0.8875,60625.83474731445,1113,1113,1113,2893,1113,2893,2894,1113,2894,1113,2894,1113,1113,1113,1113,2894,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5106102272,0
199,1771626852032,4510.558059692383,2900,1,0.8875,4510.558059692383,2900,1,0.8875,4309.88117980957,2900,1,0.8875,4309.88117980957,2900,1,0.8875,3935.4514770507813,2900,1,0.8875,3935.4514770507813,2900,1,0.8875,4106.178283691406,2900,1,0.8875,4106.178283691406,2900,1,0.8875,60627.496658325195,1113,1113,1113,2893,1113,2893,2894,1113,2894,1113,2894,1113,1113,1113,1113,2894,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5101367296,0
199,1771626852232,4510.560745239258,2900,1,0.8875,4510.560745239258,2900,1,0.8875,4309.881362915039,2900,1,0.8875,4309.881362915039,2900,1,0.8875,3935.4534912109375,2900,1,0.8875,3935.4534912109375,2900,1,0.8875,4106.183349609375,2900,1,0.8875,4106.183349609375,2900,1,0.8875,60629.18142700195,1113,1113,1113,2893,1113,2893,2894,1113,2894,1113,2894,1113,1113,1113,1113,2894,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5104295936,0
199,1771626852432,4510.561874389648,2900,1,0.8875,4510.561874389648,2900,1,0.8875,4309.882431030273,2900,1,0.8875,4309.882431030273,2900,1,0.8875,3935.455337524414,2900,1,0.8875,3935.455337524414,2900,1,0.8875,4106.187393188477,2900,1,0.8875,4106.187393188477,2900,1,0.8875,60630.8053894043,1113,1113,1113,2893,1113,2893,2894,1113,2894,1113,2894,1113,1113,1113,1113,2894,0,0,0,0,4.761904716491699,0,95,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5108047872,0
199,1771626852632,4510.573303222656,2900,1,0.8875,4510.573303222656,2900,1,0.8875,4309.896148681641,2900,1,0.8875,4309.896148681641,2900,1,0.8875,3935.4757690429688,2900,1,0.8875,3935.4757690429688,2900,1,0.89375,4106.202362060547,2900,1,0.89375,4106.202362060547,2900,1,0.89375,60632.57164001465,1113,1113,1113,2893,1113,2893,2894,1113,2894,1113,2894,1113,1113,1113,1113,2894,0,4.761904716491699,4.761904716491699,4.761904716491699,0,0,100,0,0,0,5,0,4.761904716491699,4.761904716491699,0,0,33039077376,8999923712,5103964160,0
