Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771640225119,7801.766937255859,2900,1,0.8875,7801.766937255859,2900,1,0.8875,7308.386688232422,2900,1,0.8875,7308.386688232422,2900,1,0.8875,7067.539825439453,2900,1,0.8875,7067.539825439453,2900,1,0.8875,7176.822082519531,2900,1,0.8875,7176.822082519531,2900,1,0.8875,14189.19465637207,1113,2893,2894,1113,1113,2880,2894,2894,1113,2894,2893,2889,2894,2894,1113,2894,2.5,4.878048419952393,2.5,4.878048419952393,2.5,4.761904716491699,4.878048419952393,2.4390242099761963,7.142857551574707,4.878048419952393,2.5,2.4390242099761963,4.761904716491699,4.761904716491699,9.756096839904785,4.878048419952393,33039077376,8999923712,5166030848,0
199,1771640225120,7801.7669677734375,2900,1,0.8875,7801.7669677734375,2900,1,0.8875,7308.388534545898,2900,1,0.8875,7308.388534545898,2900,1,0.8875,7067.539840698242,2900,1,0.8875,7067.539840698242,2900,1,0.8875,7176.82209777832,2900,1,0.8875,7176.82209777832,2900,1,0.8875,14189.214889526367,1113,2893,2894,1113,1113,2880,2894,2894,1113,2894,2893,2889,2894,2894,1113,2894,2.5,4.878048419952393,2.5,4.878048419952393,2.5,4.761904716491699,4.878048419952393,2.4390242099761963,7.142857551574707,4.878048419952393,2.5,2.4390242099761963,4.761904716491699,4.761904716491699,9.756096839904785,4.878048419952393,33039077376,8999923712,5166030848,0
199,1771640225320,7801.78385925293,2900,1,0.89375,7801.78385925293,2900,1,0.89375,7308.414306640625,2900,1,0.89375,7308.414306640625,2900,1,0.89375,7067.593292236328,2900,1,0.89375,7067.593292236328,2900,1,0.89375,7176.841461181641,2900,1,0.89375,7176.841461181641,2900,1,0.8875,14190.959182739258,1113,2893,2894,1113,1113,2880,2894,2894,1113,2894,2893,2889,2894,2894,1113,2894,4.761904716491699,0,100,0,0,0,4.761904716491699,0,0,5,14.285715103149414,0,5,0,0,0,33039077376,8999923712,5166907392,0
199,1771640225520,7801.787490844727,2900,1,0.89375,7801.787490844727,2900,1,0.89375,7308.416717529297,2900,1,0.89375,7308.416717529297,2900,1,0.89375,7067.596343994141,2900,1,0.89375,7067.596343994141,2900,1,0.89375,7176.843643188477,2900,1,0.89375,7176.843643188477,2900,1,0.89375,14192.625778198242,1113,2893,2894,1113,1113,2880,2894,2894,1113,2894,2893,2889,2894,2894,1113,2894,0,0,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5165797376,0
199,1771640225720,7802.082870483398,2900,1,0.8875,7802.082870483398,2900,1,0.8875,7308.418731689453,2900,1,0.8875,7308.418731689453,2900,1,0.8875,7067.597930908203,2900,1,0.8875,7067.597930908203,2900,1,0.8875,7176.846038818359,2900,1,0.8875,7176.846038818359,2900,1,0.8875,14194.343811035156,1113,2893,2894,1113,1113,2880,2894,2894,1113,2894,2893,2889,2894,2894,1113,2894,90,0,15.000000953674316,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,33039077376,8999923712,5165903872,0
199,1771640225920,7802.415435791016,2900,1,0.8875,7802.415435791016,2900,1,0.8875,7308.420669555664,2900,1,0.8875,7308.420669555664,2900,1,0.8875,7067.598983764648,2900,1,0.8875,7067.598983764648,2900,1,0.8875,7176.849212646484,2900,1,0.8875,7176.849212646484,2900,1,0.8875,14196.017471313477,1113,2893,2894,1113,1113,2880,2894,2894,1113,2894,2893,2889,2894,2894,1113,2894,100,0,4.761904716491699,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,5,33039077376,8999923712,5164199936,0
199,1771640226120,7802.75114440918,2900,1,0.89375,7802.75114440918,2900,1,0.8875,7308.422897338867,2900,1,0.8875,7308.422897338867,2900,1,0.8875,7067.600677490234,2900,1,0.8875,7067.600677490234,2900,1,0.8875,7176.851043701172,2900,1,0.8875,7176.8514404296875,2900,1,0.8875,14197.732666015625,1113,2893,2894,1113,1113,2880,2894,2894,1113,2894,2893,2889,2894,2894,1113,2894,100,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,33039077376,8999923712,5162549248,0
199,1771640226320,7803.079284667969,2900,1,0.8875,7803.079284667969,2900,1,0.8875,7308.430999755859,2900,1,0.8875,7308.431015014648,2900,1,0.89375,7067.60432434082,2900,1,0.89375,7067.60432434082,2900,1,0.89375,7176.852249145508,2900,1,0.89375,7176.852249145508,2900,1,0.89375,14199.41098022461,1113,2893,2894,1113,1113,2880,2894,2894,1113,2894,2893,2889,2894,2894,1113,2894,100,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,33039077376,8999923712,5163597824,0
199,1771640226520,7803.411575317383,2900,1,0.8875,7803.411575317383,2900,1,0.8875,7308.434005737305,2900,1,0.8875,7308.434005737305,2900,1,0.8875,7067.604354858398,2900,1,0.8875,7067.604354858398,2900,1,0.8875,7176.853866577148,2900,1,0.8875,7176.853866577148,2900,1,0.8875,14201.072006225586,1113,2893,2894,1113,1113,2880,2894,2894,1113,2894,2893,2889,2894,2894,1113,2894,100,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5157949440,0
199,1771640226720,7803.747970581055,2900,1,0.8875,7803.747970581055,2900,1,0.8875,7308.435546875,2900,1,0.8875,7308.435546875,2900,1,0.8875,7067.606536865234,2900,1,0.8875,7067.606536865234,2900,1,0.8875,7176.855728149414,2900,1,0.8875,7176.855728149414,2900,1,0.8875,14202.78256225586,1113,2893,2894,1113,1113,2880,2894,2894,1113,2894,2893,2889,2894,2894,1113,2894,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5158293504,0
