Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771636400569,6828.689697265625,2900,1,0.89375,6828.689697265625,2900,1,0.89375,6534.01155090332,2900,1,0.89375,6534.01155090332,2900,1,0.89375,6141.960632324219,2900,1,0.89375,6141.960632324219,2900,1,0.89375,6344.745681762695,2900,1,0.89375,6344.745681762695,2900,1,0.89375,55604.614654541016,2894,1113,2893,1113,2894,1113,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,2.5,2.5641026496887207,5,5,5.128205299377441,5,7.317072868347168,2.5641026496887207,2.5641026496887207,2.5,4.878048419952393,5,2.5,4.878048419952393,12.195121765136719,5,33039077376,8999923712,5146812416,0
199,1771636400570,6828.6900634765625,2900,1,0.8875,6828.6900634765625,2900,1,0.8875,6534.011581420898,2900,1,0.8875,6534.011581420898,2900,1,0.8875,6141.960693359375,2900,1,0.8875,6141.960693359375,2900,1,0.8875,6344.745834350586,2900,1,0.8875,6344.745834350586,2900,1,0.8875,55604.642517089844,2894,1113,2893,1113,2894,1113,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,2.5,2.5641026496887207,5,5,5.128205299377441,5,7.317072868347168,2.5641026496887207,2.5641026496887207,2.5,4.878048419952393,5,2.5,4.878048419952393,12.195121765136719,5,33039077376,8999923712,5146812416,0
199,1771636400770,6828.692443847656,2900,1,0.89375,6828.692443847656,2900,1,0.89375,6534.012710571289,2900,1,0.89375,6534.012710571289,2900,1,0.89375,6141.960723876953,2900,1,0.89375,6141.960723876953,2900,1,0.89375,6344.7474365234375,2900,1,0.89375,6344.7474365234375,2900,1,0.89375,55606.282302856445,2894,1113,2893,1113,2894,1113,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,0,0,95.23809814453125,0,0,0,0,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5146812416,0
199,1771636400970,6828.6966552734375,2900,1,0.8875,6828.6966552734375,2900,1,0.8875,6534.014068603516,2900,1,0.8875,6534.014068603516,2900,1,0.8875,6141.966018676758,2900,1,0.8875,6141.966018676758,2900,1,0.8875,6344.75129699707,2900,1,0.8875,6344.75129699707,2900,1,0.8875,55607.95167541504,2894,1113,2893,1113,2894,1113,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,0,0,100,0,0,0,0,0,0,4.761904716491699,0,0,0,0,4.761904716491699,0,33039077376,8999923712,5146894336,0
199,1771636401170,6828.724624633789,2900,1,0.8875,6828.724624633789,2900,1,0.8875,6534.061920166016,2900,1,0.8875,6534.061920166016,2900,1,0.8875,6141.977294921875,2900,1,0.8875,6141.977294921875,2900,1,0.8875,6344.760559082031,2900,1,0.8875,6344.760559082031,2900,1,0.8875,55609.7013092041,2894,1113,2893,1113,2894,1113,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,4.761904716491699,5.263157844543457,100,5,4.761904716491699,0,0,0,18.18181800842285,0,0,0,4.761904716491699,0,0,0,33039077376,8999923712,5150658560,0
199,1771636401370,6828.726516723633,2900,1,0.8875,6828.726516723633,2900,1,0.8875,6534.061965942383,2900,1,0.8875,6534.061965942383,2900,1,0.8875,6141.977355957031,2900,1,0.8875,6141.977355957031,2900,1,0.8875,6344.762466430664,2900,1,0.8875,6344.762466430664,2900,1,0.89375,55611.33891296387,2894,1113,2893,1113,2894,1113,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5144236032,0
199,1771636401570,6828.737365722656,2900,1,0.8875,6828.737365722656,2900,1,0.8875,6534.062789916992,2900,1,0.8875,6534.062789916992,2900,1,0.89375,6141.980072021484,2900,1,0.89375,6141.980072021484,2900,1,0.89375,6344.763381958008,2900,1,0.89375,6344.763381958008,2900,1,0.89375,55613.016525268555,2894,1113,2893,1113,2894,1113,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,0,0,100,0,0,5,0,0,0,0,0,0,0,0,4.761904716491699,0,33039077376,8999923712,5147467776,0
199,1771636401770,6828.739120483398,2900,1,0.8875,6828.739120483398,2900,1,0.8875,6534.064025878906,2900,1,0.8875,6534.064025878906,2900,1,0.8875,6141.981063842773,2900,1,0.8875,6141.981063842773,2900,1,0.8875,6344.766296386719,2900,1,0.8875,6344.766296386719,2900,1,0.8875,55614.67411804199,2894,1113,2893,1113,2894,1113,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,0,0,100,0,0,0,0,0,0,0,0,0,0,0,5,0,33039077376,8999923712,5146349568,0
199,1771636401970,6828.741424560547,2900,1,0.89375,6828.741424560547,2900,1,0.89375,6534.065933227539,2900,1,0.89375,6534.065933227539,2900,1,0.89375,6141.982421875,2900,1,0.89375,6141.982467651367,2900,1,0.89375,6344.768524169922,2900,1,0.8875,6344.768524169922,2900,1,0.8875,55616.318115234375,2894,1113,2893,1113,2894,1113,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5145464832,0
199,1771636402170,6828.758102416992,2900,1,0.89375,6828.758102416992,2900,1,0.89375,6534.08381652832,2900,1,0.8875,6534.08381652832,2900,1,0.8875,6141.995330810547,2900,1,0.8875,6141.995330810547,2900,1,0.8875,6344.782501220703,2900,1,0.8875,6344.782501220703,2900,1,0.8875,55618.05078125,2894,1113,2893,1113,2894,1113,2894,1113,1113,1113,2894,1113,2894,1113,1113,2894,0,0,100,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,0,5,0,0,33039077376,8999923712,5152919552,0
