Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771653387430,10982.373641967773,2900,1,0.8875,10982.373641967773,2900,1,0.8875,10262.058868408203,2900,1,0.8875,10262.058868408203,2900,1,0.8875,9990.061874389648,2900,1,0.8875,9990.061874389648,2900,1,0.8875,10074.170135498047,2900,1,0.8875,10074.170135498047,2900,1,0.8875,30919.746002197266,2894,1113,1113,2883,1113,1113,2883,2872,2894,1113,1113,2894,2894,2894,2894,1113,2.2727272510528564,4.545454502105713,2.2727272510528564,2.2727272510528564,4.545454502105713,2.2727272510528564,2.222222328186035,2.3255813121795654,4.44444465637207,9.090909004211426,4.545454502105713,2.2727272510528564,2.3255813121795654,2.2727272510528564,2.2727272510528564,2.2727272510528564,33039077376,8999923712,5137453056,0
199,1771653387430,10982.373748779297,2900,1,0.8875,10982.373748779297,2900,1,0.8875,10262.061416625977,2900,1,0.8875,10262.061416625977,2900,1,0.8875,9990.062393188477,2900,1,0.8875,9990.062393188477,2900,1,0.8875,10074.170196533203,2900,1,0.8875,10074.170196533203,2900,1,0.8875,30919.7608795166,2894,1113,1113,2883,1113,1113,2883,2872,2894,1113,1113,2894,2894,2894,2894,1113,2.2727272510528564,4.545454502105713,2.2727272510528564,2.2727272510528564,4.545454502105713,2.2727272510528564,2.222222328186035,2.3255813121795654,4.44444465637207,9.090909004211426,4.545454502105713,2.2727272510528564,2.3255813121795654,2.2727272510528564,2.2727272510528564,2.2727272510528564,33039077376,8999923712,5137453056,0
199,1771653387630,10982.415786743164,2900,1,0.8875,10982.415786743164,2900,1,0.8875,10262.122512817383,2900,1,0.8875,10262.122512817383,2900,1,0.8875,9990.08837890625,2900,1,0.8875,9990.08837890625,2900,1,0.8875,10074.199478149414,2900,1,0.8875,10074.199600219727,2900,1,0.8875,30921.631713867188,2894,1113,1113,2883,1113,1113,2883,2872,2894,1113,1113,2894,2894,2894,2894,1113,5.263157844543457,4.761904716491699,0,0,0,0,0,100,5.263157844543457,10,4.761904716491699,4.761904716491699,5,0,0,0,33039077376,8999923712,5144764416,0
199,1771653387830,10982.417907714844,2900,1,0.8875,10982.417907714844,2900,1,0.8875,10262.12631225586,2900,1,0.8875,10262.12631225586,2900,1,0.8875,9990.090057373047,2900,1,0.8875,9990.090057373047,2900,1,0.8875,10074.201782226563,2900,1,0.8875,10074.201782226563,2900,1,0.8875,30923.25389099121,2894,1113,1113,2883,1113,1113,2883,2872,2894,1113,1113,2894,2894,2894,2894,1113,0,0,0,0,0,0,0,100,0,0,0,0,4.761904716491699,0,0,0,33039077376,8999923712,5148491776,0
199,1771653388030,10982.422409057617,2900,1,0.8875,10982.422409057617,2900,1,0.8875,10262.129379272461,2900,1,0.8875,10262.129379272461,2900,1,0.8875,9990.09194946289,2900,1,0.8875,9990.09194946289,2900,1,0.8875,10074.202758789063,2900,1,0.8875,10074.202758789063,2900,1,0.8875,30924.88739013672,2894,1113,1113,2883,1113,1113,2883,2872,2894,1113,1113,2894,2894,2894,2894,1113,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,33039077376,8999923712,5143793664,0
199,1771653388230,10982.441390991211,2900,1,0.8875,10982.441390991211,2900,1,0.8875,10262.141799926758,2900,1,0.8875,10262.141799926758,2900,1,0.8875,9990.102127075195,2900,1,0.8875,9990.102127075195,2900,1,0.8875,10074.20883178711,2900,1,0.8875,10074.20883178711,2900,1,0.8875,30926.622604370117,2894,1113,1113,2883,1113,1113,2883,2872,2894,1113,1113,2894,2894,2894,2894,1113,4.761904716491699,5,0,0,0,4.761904716491699,0,100,9.523809432983398,0,0,0,0,0,0,0,33039077376,8999923712,5148004352,0
199,1771653388430,10982.447723388672,2900,1,0.8875,10982.447723388672,2900,1,0.8875,10262.141860961914,2900,1,0.8875,10262.141860961914,2900,1,0.8875,9990.10221862793,2900,1,0.8875,9990.10221862793,2900,1,0.8875,10074.208892822266,2900,1,0.8875,10074.208892822266,2900,1,0.8875,30928.24546813965,2894,1113,1113,2883,1113,1113,2883,2872,2894,1113,1113,2894,2894,2894,2894,1113,0,0,0,0,0,0,0,100,0,0,0,4.761904716491699,0,0,0,0,33039077376,8999923712,5143531520,0
199,1771653388631,10982.462966918945,2900,1,0.8875,10982.462966918945,2900,1,0.8875,10262.163604736328,2900,1,0.8875,10262.163604736328,2900,1,0.8875,9990.122009277344,2900,1,0.8875,9990.122009277344,2900,1,0.8875,10074.222213745117,2900,1,0.8875,10074.222213745117,2900,1,0.8875,30930.00161743164,2894,1113,1113,2883,1113,1113,2883,2872,2894,1113,1113,2894,2894,2894,2894,1113,4.761904716491699,0,5,0,5,0,0,100,0,0,0,4.761904716491699,0,0,0,0,33039077376,8999923712,5147500544,0
199,1771653388831,10982.47346496582,2900,1,0.8875,10982.47346496582,2900,1,0.8875,10262.167739868164,2900,1,0.8875,10262.167739868164,2900,1,0.8875,9990.129425048828,2900,1,0.8875,9990.129425048828,2900,1,0.8875,10074.226196289063,2900,1,0.8875,10074.226196289063,2900,1,0.8875,30931.651931762695,2894,1113,1113,2883,1113,1113,2883,2872,2894,1113,1113,2894,2894,2894,2894,1113,5,0,0,0,0,0,0,100,0,0,4.761904716491699,0,0,0,0,0,33039077376,8999923712,5143281664,0
199,1771653389031,10982.480728149414,2900,1,0.8875,10982.480728149414,2900,1,0.8875,10262.169036865234,2900,1,0.8875,10262.169036865234,2900,1,0.8875,9990.13117980957,2900,1,0.8875,9990.13117980957,2900,1,0.8875,10074.227844238281,2900,1,0.8875,10074.227844238281,2900,1,0.8875,30933.272171020508,2894,1113,1113,2883,1113,1113,2883,2872,2894,1113,1113,2894,2894,2894,2894,1113,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,33039077376,8999923712,5147222016,0
