Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771658476451,12336.589431762695,2900,1,0.8875,12336.589431762695,2900,1,0.8875,11425.429122924805,2900,1,0.8875,11425.429122924805,2900,1,0.8875,11135.571105957031,2900,1,0.8875,11135.571105957031,2900,1,0.8875,11138.372329711914,2900,1,0.8875,11138.372329711914,2900,1,0.8875,63149.75848388672,1113,2894,2894,1113,1113,2894,1113,1113,2894,2894,2894,1113,2894,1113,1113,1113,2.3809523582458496,2.3255813121795654,4.44444465637207,4.44444465637207,2.3255813121795654,2.3255813121795654,9.302325248718262,2.3255813121795654,4.545454502105713,6.6666669845581055,4.545454502105713,4.545454502105713,2.2727272510528564,2.3255813121795654,2.3255813121795654,4.545454502105713,33039077376,8999923712,5185302528,0
199,1771658476451,12336.589736938477,2900,1,0.8875,12336.589736938477,2900,1,0.8875,11425.429718017578,2900,1,0.8875,11425.429718017578,2900,1,0.8875,11135.572769165039,2900,1,0.8875,11135.572769165039,2900,1,0.8875,11138.372848510742,2900,1,0.8875,11138.372848510742,2900,1,0.8875,63149.776947021484,1113,2894,2894,1113,1113,2894,1113,1113,2894,2894,2894,1113,2894,1113,1113,1113,2.3809523582458496,2.3255813121795654,4.44444465637207,4.44444465637207,2.3255813121795654,2.3255813121795654,9.302325248718262,2.3255813121795654,4.545454502105713,6.6666669845581055,4.545454502105713,4.545454502105713,2.2727272510528564,2.3255813121795654,2.3255813121795654,4.545454502105713,33039077376,8999923712,5185302528,0
199,1771658476651,12336.61669921875,2900,1,0.89375,12336.61669921875,2900,1,0.89375,11425.491928100586,2900,1,0.89375,11425.491928100586,2900,1,0.89375,11135.596115112305,2900,1,0.89375,11135.596115112305,2900,1,0.89375,11138.399810791016,2900,1,0.8875,11138.399810791016,2900,1,0.8875,63151.5969543457,1113,2894,2894,1113,1113,2894,1113,1113,2894,2894,2894,1113,2894,1113,1113,1113,5,0,0,0,0,0,0,0,0,15.000000953674316,5,0,9.523809432983398,0,0,100,33039077376,8999923712,5191036928,0
199,1771658476851,12336.621368408203,2900,1,0.8875,12336.621368408203,2900,1,0.8875,11425.494735717773,2900,1,0.8875,11425.494735717773,2900,1,0.8875,11135.600051879883,2900,1,0.8875,11135.600051879883,2900,1,0.8875,11138.403244018555,2900,1,0.8875,11138.403244018555,2900,1,0.8875,63153.24142456055,1113,2894,2894,1113,1113,2894,1113,1113,2894,2894,2894,1113,2894,1113,1113,1113,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,100,33039077376,8999923712,5191663616,0
199,1771658477052,12336.627807617188,2900,1,1.0375,12336.627807617188,2900,1,1.03125,11425.497421264648,2900,1,1.03125,11425.497421264648,2900,1,1.03125,11135.603927612305,2900,1,1.03125,11135.603927612305,2900,1,1.03125,11138.414367675781,2900,1,1.03125,11138.414367675781,2900,1,1.03125,63154.90281677246,1113,2894,2894,1113,1113,2894,1113,1113,2894,2894,2894,1113,2894,1113,1113,1113,4.761904716491699,4.761904716491699,0,0,0,0,4.761904716491699,0,0,0,0,0,5,0,0,100,33039077376,8999923712,5195841536,0
199,1771658477252,12336.637573242188,2900,1,0.8875,12336.637573242188,2900,1,0.8875,11425.504745483398,2900,1,0.8875,11425.505493164063,2900,1,0.8875,11135.610794067383,2900,1,0.8875,11135.610794067383,2900,1,1.0375,11138.420394897461,2900,1,1.0375,11138.420394897461,2900,1,1.0375,63156.57092285156,1113,2894,2894,1113,1113,2894,1113,1113,2894,2894,2894,1113,2894,1113,1113,1113,0,0,0,0,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,0,0,100,33039077376,8999923712,5191626752,0
199,1771658477452,12336.642105102539,2900,1,0.8875,12336.642105102539,2900,1,0.8875,11425.506790161133,2900,1,0.8875,11425.506790161133,2900,1,0.8875,11135.613418579102,2900,1,0.8875,11135.613555908203,2900,1,0.8875,11138.421813964844,2900,1,0.8875,11138.421813964844,2900,1,0.8875,63158.20570373535,1113,2894,2894,1113,1113,2894,1113,1113,2894,2894,2894,1113,2894,1113,1113,1113,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,100,33039077376,8999923712,5195726848,0
199,1771658477652,12336.65705871582,2900,1,0.8875,12336.65705871582,2900,1,0.8875,11425.522018432617,2900,1,0.8875,11425.522018432617,2900,1,0.8875,11135.629302978516,2900,1,0.8875,11135.629302978516,2900,1,0.8875,11138.442779541016,2900,1,0.8875,11138.442779541016,2900,1,0.8875,63159.93338012695,1113,2894,2894,1113,1113,2894,1113,1113,2894,2894,2894,1113,2894,1113,1113,1113,5,4.761904716491699,0,0,0,0,0,0,0,0,0,0,5,4.761904716491699,0,100,33039077376,8999923712,5191376896,0
199,1771658477852,12336.659606933594,2900,1,0.8875,12336.659606933594,2900,1,0.8875,11425.524948120117,2900,1,0.8875,11425.524948120117,2900,1,0.8875,11135.6376953125,2900,1,0.8875,11135.6376953125,2900,1,0.8875,11138.447799682617,2900,1,0.8875,11138.447799682617,2900,1,0.8875,63161.58592224121,1113,2894,2894,1113,1113,2894,1113,1113,2894,2894,2894,1113,2894,1113,1113,1113,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,100,33039077376,8999923712,5195104256,0
199,1771658478052,12336.666793823242,2900,1,1.0375,12336.666793823242,2900,1,1.0375,11425.526947021484,2900,1,1.0375,11425.526947021484,2900,1,1.0375,11135.650680541992,2900,1,1.0375,11135.650680541992,2900,1,1.0375,11138.451721191406,2900,1,0.8875,11138.451721191406,2900,1,0.8875,63163.258880615234,1113,2894,2894,1113,1113,2894,1113,1113,2894,2894,2894,1113,2894,1113,1113,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,33039077376,8999923712,5199171584,0
