Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771633594793,6136.614074707031,2900,1,0.8875,6136.614074707031,2900,1,0.8875,5946.660751342773,2900,1,0.8875,5946.660751342773,2900,1,0.8875,5500.43913269043,2900,1,0.8875,5500.43913269043,2900,1,0.8875,5712.139511108398,2900,1,0.8875,5712.139511108398,2900,1,0.8875,38000.669662475586,1113,1113,1113,1113,2894,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,1113,4.44444465637207,4.34782600402832,4.34782600402832,2.222222328186035,2.222222328186035,4.34782600402832,4.34782600402832,2.222222328186035,2.2727272510528564,10.8695650100708,4.44444465637207,2.222222328186035,2.222222328186035,2.2727272510528564,2.222222328186035,0,33039077376,8999923712,5136384000,0
199,1771633594793,6136.61408996582,2900,1,0.8875,6136.61408996582,2900,1,0.8875,5946.66389465332,2900,1,0.8875,5946.66389465332,2900,1,0.8875,5500.439147949219,2900,1,0.8875,5500.439147949219,2900,1,0.8875,5712.139709472656,2900,1,0.8875,5712.139709472656,2900,1,0.8875,38000.69287109375,1113,1113,1113,1113,2894,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,1113,4.44444465637207,4.34782600402832,4.34782600402832,2.222222328186035,2.222222328186035,4.34782600402832,4.34782600402832,2.222222328186035,2.2727272510528564,10.8695650100708,4.44444465637207,2.222222328186035,2.222222328186035,2.2727272510528564,2.222222328186035,0,33039077376,8999923712,5136384000,0
199,1771633594994,6136.614837646484,2900,1,0.8875,6136.614837646484,2900,1,0.8875,5946.669723510742,2900,1,0.8875,5946.669723510742,2900,1,0.8875,5500.440322875977,2900,1,0.8875,5500.440322875977,2900,1,0.8875,5712.139739990234,2900,1,0.8875,5712.139739990234,2900,1,0.8875,38002.335372924805,1113,1113,1113,1113,2894,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,1113,0,0,100,0,0,0,0,0,8.69565200805664,0,0,0,0,0,0,0,33039077376,8999923712,5136384000,0
199,1771633595194,6136.624908447266,2900,1,0.8875,6136.624908447266,2900,1,0.8875,5946.677429199219,2900,1,0.8875,5946.677429199219,2900,1,0.8875,5500.444381713867,2900,1,0.8875,5500.444381713867,2900,1,0.8875,5712.144073486328,2900,1,0.8875,5712.144073486328,2900,1,0.8875,38004.00811767578,1113,1113,1113,1113,2894,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,1113,0,0,100,0,5,0,0,0,0,4.761904716491699,0,0,0,0,4.761904716491699,0,33039077376,8999923712,5137887232,0
199,1771633595394,6136.648666381836,2900,1,0.8875,6136.648666381836,2900,1,0.8875,5946.696792602539,2900,1,0.8875,5946.696792602539,2900,1,0.8875,5500.47119140625,2900,1,0.8875,5500.47119140625,2900,1,0.8875,5712.203598022461,2900,1,0.89375,5712.203598022461,2900,1,0.89375,38005.796951293945,1113,1113,1113,1113,2894,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,1113,5,0,100,0,0,0,0,0,0,0,5,4.761904716491699,20,0,0,0,33039077376,8999923712,5145731072,0
199,1771633595594,6136.657867431641,2900,1,0.8875,6136.657867431641,2900,1,0.8875,5946.706024169922,2900,1,0.8875,5946.706024169922,2900,1,0.8875,5500.476867675781,2900,1,0.8875,5500.476867675781,2900,1,0.8875,5712.203643798828,2900,1,0.8875,5712.203643798828,2900,1,0.8875,38007.4948425293,1113,1113,1113,1113,2894,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,1113,0,0,100,0,0,0,0,0,0,5,0,0,0,0,0,0,33039077376,8999923712,5141512192,0
199,1771633595794,6136.66130065918,2900,1,0.89375,6136.66130065918,2900,1,0.89375,5946.7078857421875,2900,1,0.89375,5946.7078857421875,2900,1,0.8875,5500.477462768555,2900,1,0.8875,5500.477462768555,2900,1,0.8875,5712.204925537109,2900,1,0.8875,5712.204925537109,2900,1,0.8875,38009.14514160156,1113,1113,1113,1113,2894,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,1113,0,0,100,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,33039077376,8999923712,5153439744,0
199,1771633595994,6136.670303344727,2900,1,0.8875,6136.670303344727,2900,1,0.8875,5946.714630126953,2900,1,0.8875,5946.714630126953,2900,1,0.8875,5500.4830322265625,2900,1,0.8875,5500.4830322265625,2900,1,0.8875,5712.207412719727,2900,1,0.8875,5712.207412719727,2900,1,0.8875,38010.82441711426,1113,1113,1113,1113,2894,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,1113,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5148958720,0
199,1771633596194,6136.6796875,2900,1,0.89375,6136.6796875,2900,1,0.89375,5946.720520019531,2900,1,0.89375,5946.720520019531,2900,1,0.89375,5500.487777709961,2900,1,0.89375,5500.487777709961,2900,1,0.89375,5712.210861206055,2900,1,0.89375,5712.210861206055,2900,1,0.89375,38012.50151062012,1113,1113,1113,1113,2894,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,1113,5,5,100,0,0,0,5,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5148585984,0
199,1771633596394,6136.696960449219,2900,1,0.89375,6136.696960449219,2900,1,0.89375,5946.735122680664,2900,1,0.89375,5946.735122680664,2900,1,0.89375,5500.501449584961,2900,1,0.89375,5500.501449584961,2900,1,0.89375,5712.219161987305,2900,1,0.89375,5712.219161987305,2900,1,0.89375,38014.209396362305,1113,1113,1113,1113,2894,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,1113,5,0,100,0,0,0,5,0,0,0,0,0,0,5,0,0,33039077376,8999923712,5154951168,0
