Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771630265562,5301.486846923828,2900,1,0.8875,5301.486846923828,2900,1,0.8875,5108.106887817383,2900,1,0.8875,5108.106887817383,2900,1,0.8875,4729.230514526367,2900,1,0.8875,4729.230514526367,2900,1,0.8875,4910.47135925293,2900,1,0.8875,4910.47135925293,2900,1,0.8875,16498.424423217773,2894,1113,2894,1113,2894,1113,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,7.317072868347168,5,9.756096839904785,2.5641026496887207,10,2.5,7.317072868347168,2.5,2.5641026496887207,2.5641026496887207,2.5641026496887207,7.317072868347168,2.5641026496887207,2.5,5,5,33039077376,8999923712,5111652352,0
199,1771630265562,5301.486923217773,2900,1,0.8875,5301.486923217773,2900,1,0.8875,5108.107070922852,2900,1,0.8875,5108.107070922852,2900,1,0.8875,4729.231155395508,2900,1,0.8875,4729.231155395508,2900,1,0.8875,4910.471710205078,2900,1,0.8875,4910.471710205078,2900,1,0.8875,16498.4481048584,2894,1113,2894,1113,2894,1113,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,7.317072868347168,5,9.756096839904785,2.5641026496887207,10,2.5,7.317072868347168,2.5,2.5641026496887207,2.5641026496887207,2.5641026496887207,7.317072868347168,2.5641026496887207,2.5,5,5,33039077376,8999923712,5111652352,0
199,1771630265762,5301.499328613281,2900,1,0.8875,5301.499328613281,2900,1,0.8875,5108.115371704102,2900,1,0.89375,5108.115371704102,2900,1,0.89375,4729.239303588867,2900,1,0.89375,4729.239303588867,2900,1,0.89375,4910.484237670898,2900,1,0.89375,4910.484237670898,2900,1,0.89375,16500.1923828125,2894,1113,2894,1113,2894,1113,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,0,0,0,100,4.761904716491699,0,4.761904716491699,0,0,4.761904716491699,0,0,4.761904716491699,0,0,5,33039077376,8999923712,5116829696,0
199,1771630265962,5301.5048828125,2900,1,0.8875,5301.5048828125,2900,1,0.8875,5108.121353149414,2900,1,0.8875,5108.121353149414,2900,1,0.8875,4729.2459716796875,2900,1,0.8875,4729.2459716796875,2900,1,0.8875,4910.4901123046875,2900,1,0.8875,4910.4901123046875,2900,1,0.8875,16501.89176940918,2894,1113,2894,1113,2894,1113,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5127266304,0
199,1771630266162,5301.511154174805,2900,1,0.89375,5301.511154174805,2900,1,0.89375,5108.130020141602,2900,1,0.89375,5108.130020141602,2900,1,0.89375,4729.251373291016,2900,1,0.89375,4729.251373291016,2900,1,0.89375,4910.50080871582,2900,1,0.8875,4910.50080871582,2900,1,0.8875,16503.58416748047,2894,1113,2894,1113,2894,1113,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,0,0,0,100,0,0,0,0,0,0,0,0,5,0,0,0,33039077376,8999923712,5129773056,0
199,1771630266362,5301.514755249023,2900,1,0.89375,5301.514755249023,2900,1,0.8875,5108.13005065918,2900,1,0.8875,5108.13005065918,2900,1,0.8875,4729.251937866211,2900,1,0.8875,4729.251937866211,2900,1,0.8875,4910.500823974609,2900,1,0.8875,4910.500823974609,2900,1,0.8875,16505.243225097656,2894,1113,2894,1113,2894,1113,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5124440064,0
199,1771630266562,5301.530700683594,2900,1,0.8875,5301.530700683594,2900,1,0.8875,5108.143753051758,2900,1,0.8875,5108.143844604492,2900,1,0.8875,4729.264205932617,2900,1,0.8875,4729.264205932617,2900,1,0.8875,4910.5045166015625,2900,1,0.8875,4910.5045166015625,2900,1,0.8875,16506.955001831055,2894,1113,2894,1113,2894,1113,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,0,0,0,100,0,0,0,0,4.761904716491699,5,9.090909004211426,0,0,0,0,0,33039077376,8999923712,5126676480,0
199,1771630266762,5301.546630859375,2900,1,0.8875,5301.546630859375,2900,1,0.8875,5108.152053833008,2900,1,0.8875,5108.152053833008,2900,1,0.8875,4729.274459838867,2900,1,0.8875,4729.274459838867,2900,1,0.8875,4910.51969909668,2900,1,0.8875,4910.51969909668,2900,1,0.8875,16508.739166259766,2894,1113,2894,1113,2894,1113,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,5,0,0,100,0,0,5,0,0,0,0,4.761904716491699,5,0,0,0,33039077376,8999923712,5130166272,0
199,1771630266962,5301.549423217773,2900,1,0.8875,5301.549423217773,2900,1,0.8875,5108.152633666992,2900,1,0.8875,5108.152633666992,2900,1,0.8875,4729.274505615234,2900,1,0.8875,4729.274505615234,2900,1,0.8875,4910.520278930664,2900,1,0.8875,4910.520278930664,2900,1,0.8875,16510.40151977539,2894,1113,2894,1113,2894,1113,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5122641920,0
199,1771630267163,5301.569107055664,2900,1,0.8875,5301.569107055664,2900,1,0.8875,5108.163757324219,2900,1,0.8875,5108.163757324219,2900,1,0.8875,4729.2862548828125,2900,1,0.8875,4729.2862548828125,2900,1,0.8875,4910.526107788086,2900,1,0.8875,4910.526107788086,2900,1,0.8875,16512.097137451172,2894,1113,2894,1113,2894,1113,1113,1113,1113,1113,1113,1113,2894,1113,1113,1113,5,0,0,100,0,0,0,0,0,5,0,5,0,0,0,0,33039077376,8999923712,5124886528,0
