Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771654540168,11319.306335449219,2900,1,0.8875,11319.306335449219,2900,1,0.8875,10600.757873535156,2900,1,0.8875,10600.757873535156,2900,1,0.8875,10278.394668579102,2900,1,0.8875,10278.394668579102,2900,1,0.8875,10359.791961669922,2900,1,0.8875,10359.791961669922,2900,1,0.8875,38689.14956665039,2894,1113,1113,2894,2891,2892,1113,2895,1113,2894,2894,1113,2894,2894,1113,2894,5,2.5,2.5,5,2.5641026496887207,0,2.5641026496887207,0,10.256410598754883,5,5,2.5641026496887207,2.5641026496887207,5.128205299377441,2.5641026496887207,7.317072868347168,33039077376,8999923712,5152038912,0
199,1771654540168,11319.306427001953,2900,1,0.8875,11319.306427001953,2900,1,0.8875,10600.76042175293,2900,1,0.8875,10600.76042175293,2900,1,0.8875,10278.394744873047,2900,1,0.8875,10278.394744873047,2900,1,0.8875,10359.792083740234,2900,1,0.8875,10359.792083740234,2900,1,0.8875,38689.16485595703,2894,1113,1113,2894,2891,2892,1113,2895,1113,2894,2894,1113,2894,2894,1113,2894,5,2.5,2.5,5,2.5641026496887207,0,2.5641026496887207,0,10.256410598754883,5,5,2.5641026496887207,2.5641026496887207,5.128205299377441,2.5641026496887207,7.317072868347168,33039077376,8999923712,5152411648,0
199,1771654540368,11319.308349609375,2900,1,0.8875,11319.308349609375,2900,1,0.8875,10600.765014648438,2900,1,0.8875,10600.765014648438,2900,1,0.8875,10278.39485168457,2900,1,0.8875,10278.39485168457,2900,1,0.8875,10359.79231262207,2900,1,0.8875,10359.79231262207,2900,1,0.8875,38690.80921936035,2894,1113,1113,2894,2891,2892,1113,2895,1113,2894,2894,1113,2894,2894,1113,2894,0,0,0,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,0,0,0,100,33039077376,8999923712,5155766272,0
199,1771654540568,11319.322525024414,2900,1,0.89375,11319.322525024414,2900,1,0.89375,10600.773941040039,2900,1,0.89375,10600.77572631836,2900,1,0.89375,10278.405487060547,2900,1,0.89375,10278.405487060547,2900,1,0.8875,10359.798156738281,2900,1,0.8875,10359.798156738281,2900,1,0.8875,38692.476654052734,2894,1113,1113,2894,2891,2892,1113,2895,1113,2894,2894,1113,2894,2894,1113,2894,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,100,33039077376,8999923712,5158002688,0
199,1771654540768,11319.341491699219,2900,1,0.8875,11319.341491699219,2900,1,0.8875,10600.803588867188,2900,1,0.8875,10600.803588867188,2900,1,0.8875,10278.432586669922,2900,1,0.8875,10278.432586669922,2900,1,0.8875,10359.819305419922,2900,1,0.8875,10359.819305419922,2900,1,0.8875,38694.3200378418,2894,1113,1113,2894,2891,2892,1113,2895,1113,2894,2894,1113,2894,2894,1113,2894,5,0,0,0,0,0,0,10,5,0,5,0,0,0,0,100,33039077376,8999923712,5162053632,0
199,1771654540968,11319.343475341797,2900,1,0.8875,11319.343475341797,2900,1,0.8875,10600.80859375,2900,1,0.8875,10600.80859375,2900,1,0.8875,10278.434448242188,2900,1,0.8875,10278.434448242188,2900,1,0.8875,10359.819320678711,2900,1,0.8875,10359.819320678711,2900,1,0.8875,38695.97023010254,2894,1113,1113,2894,2891,2892,1113,2895,1113,2894,2894,1113,2894,2894,1113,2894,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,100,33039077376,8999923712,5156945920,0
199,1771654541169,11319.359481811523,2900,1,0.8875,11319.359481811523,2900,1,0.8875,10600.818466186523,2900,1,0.8875,10600.818466186523,2900,1,0.8875,10278.43960571289,2900,1,0.8875,10278.43960571289,2900,1,0.8875,10359.827606201172,2900,1,0.8875,10359.827606201172,2900,1,0.8875,38697.640625,2894,1113,1113,2894,2891,2892,1113,2895,1113,2894,2894,1113,2894,2894,1113,2894,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,100,33039077376,8999923712,5159182336,0
199,1771654541369,11319.366241455078,2900,1,0.8875,11319.366241455078,2900,1,0.8875,10600.827987670898,2900,1,0.8875,10600.82925415039,2900,1,0.8875,10278.444778442383,2900,1,0.8875,10278.444778442383,2900,1,0.8875,10359.834075927734,2900,1,0.8875,10359.834075927734,2900,1,0.8875,38699.33790588379,2894,1113,1113,2894,2891,2892,1113,2895,1113,2894,2894,1113,2894,2894,1113,2894,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,4.761904716491699,0,100,33039077376,8999923712,5161791488,0
199,1771654541569,11319.383102416992,2900,1,0.89375,11319.383102416992,2900,1,0.89375,10600.83724975586,2900,1,0.89375,10600.83724975586,2900,1,0.89375,10278.451553344727,2900,1,0.89375,10278.451553344727,2900,1,0.89375,10359.842666625977,2900,1,0.89375,10359.842666625977,2900,1,0.89375,38701.015716552734,2894,1113,1113,2894,2891,2892,1113,2895,1113,2894,2894,1113,2894,2894,1113,2894,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,33039077376,8999923712,5156945920,0
199,1771654541769,11319.394653320313,2900,1,0.8875,11319.394653320313,2900,1,0.8875,10600.852905273438,2900,1,0.8875,10600.852905273438,2900,1,0.8875,10278.46565246582,2900,1,0.8875,10278.46565246582,2900,1,0.8875,10359.853546142578,2900,1,0.8875,10359.853546142578,2900,1,0.8875,38702.7568359375,2894,1113,1113,2894,2891,2892,1113,2895,1113,2894,2894,1113,2894,2894,1113,2894,0,4.761904716491699,0,0,0,0,0,0,0,0,0,4.761904716491699,5,0,0,100,33039077376,8999923712,5161070592,0
