Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771660433016,12776.229507446289,2900,1,0.8875,12776.229522705078,2900,1,0.8875,11831.461685180664,2900,1,0.8875,11831.461685180664,2900,1,0.8875,11570.953552246094,2900,1,0.8875,11570.953552246094,2900,1,0.8875,11563.140991210938,2900,1,0.8875,11563.140991210938,2900,1,0.8875,9892.166625976563,1113,2894,1113,2892,2894,1113,2892,1113,2894,1113,2894,1113,2894,1113,1113,2894,4.651162624359131,2.3809523582458496,2.3809523582458496,2.3255813121795654,4.651162624359131,4.651162624359131,2.3809523582458496,4.651162624359131,7.317072868347168,4.651162624359131,2.3255813121795654,4.651162624359131,9.302325248718262,2.3809523582458496,2.3809523582458496,2.3809523582458496,33039077376,8999923712,5168340992,0
199,1771660433016,12776.229537963867,2900,1,0.8875,12776.229537963867,2900,1,0.8875,11831.46420288086,2900,1,0.8875,11831.46420288086,2900,1,0.8875,11570.953567504883,2900,1,0.8875,11570.953567504883,2900,1,0.8875,11563.141006469727,2900,1,0.8875,11563.141006469727,2900,1,0.8875,9892.181106567383,1113,2894,1113,2892,2894,1113,2892,1113,2894,1113,2894,1113,2894,1113,1113,2894,4.651162624359131,2.3809523582458496,2.3809523582458496,2.3255813121795654,4.651162624359131,4.651162624359131,2.3809523582458496,4.651162624359131,7.317072868347168,4.651162624359131,2.3255813121795654,4.651162624359131,9.302325248718262,2.3809523582458496,2.3809523582458496,2.3809523582458496,33039077376,8999923712,5168713728,0
199,1771660433216,12776.260040283203,2900,1,0.8875,12776.260040283203,2900,1,0.8875,11831.517105102539,2900,1,0.8875,11831.517105102539,2900,1,0.8875,11570.971740722656,2900,1,0.8875,11570.971740722656,2900,1,0.8875,11563.164245605469,2900,1,0.8875,11563.164245605469,2900,1,0.8875,9893.942733764648,1113,2894,1113,2892,2894,1113,2892,1113,2894,1113,2894,1113,2894,1113,1113,2894,0,13.636363983154297,0,100,0,0,0,0,19.047618865966797,0,0,5,0,0,0,0,33039077376,8999923712,5176938496,0
199,1771660433416,12776.263076782227,2900,1,0.8875,12776.263076782227,2900,1,0.8875,11831.520584106445,2900,1,0.8875,11831.520584106445,2900,1,0.8875,11570.973007202148,2900,1,0.8875,11570.973007202148,2900,1,0.8875,11563.168823242188,2900,1,0.8875,11563.168823242188,2900,1,0.8875,9895.615447998047,1113,2894,1113,2892,2894,1113,2892,1113,2894,1113,2894,1113,2894,1113,1113,2894,0,0,0,100,0,0,0,0,0,0,0,0,4.761904716491699,5,0,0,33039077376,8999923712,5181292544,0
199,1771660433617,12776.266464233398,2900,1,0.8875,12776.266464233398,2900,1,0.8875,11831.524887084961,2900,1,0.8875,11831.524887084961,2900,1,0.8875,11570.974533081055,2900,1,0.8875,11570.974533081055,2900,1,0.8875,11563.18180847168,2900,1,0.8875,11563.18180847168,2900,1,0.8875,9897.284484863281,1113,2894,1113,2892,2894,1113,2892,1113,2894,1113,2894,1113,2894,1113,1113,2894,0,0,0,100,0,0,4.761904716491699,4.761904716491699,0,0,0,0,5,0,0,0,33039077376,8999923712,5176819712,0
199,1771660433817,12776.268463134766,2900,1,0.8875,12776.268463134766,2900,1,0.8875,11831.52896118164,2900,1,0.8875,11831.52896118164,2900,1,0.8875,11570.975143432617,2900,1,0.8875,11570.975143432617,2900,1,0.8875,11563.183792114258,2900,1,0.8875,11563.183792114258,2900,1,0.8875,9898.902557373047,1113,2894,1113,2892,2894,1113,2892,1113,2894,1113,2894,1113,2894,1113,1113,2894,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5179801600,0
199,1771660434017,12776.27114868164,2900,1,0.8875,12776.27114868164,2900,1,0.8875,11831.532424926758,2900,1,0.8875,11831.532440185547,2900,1,0.8875,11570.97689819336,2900,1,0.8875,11570.97689819336,2900,1,0.8875,11563.189056396484,2900,1,0.8875,11563.189056396484,2900,1,0.8875,9900.588317871094,1113,2894,1113,2892,2894,1113,2892,1113,2894,1113,2894,1113,2894,1113,1113,2894,0,0,0,100,0,0,0,9.523809432983398,0,0,0,0,0,0,5,0,33039077376,8999923712,5183528960,0
199,1771660434217,12776.285232543945,2900,1,0.8875,12776.285232543945,2900,1,0.8875,11831.548477172852,2900,1,0.8875,11831.548477172852,2900,1,0.8875,11570.988555908203,2900,1,0.8875,11570.988555908203,2900,1,0.8875,11563.210052490234,2900,1,0.8875,11563.210052490234,2900,1,0.8875,9902.290252685547,1113,2894,1113,2892,2894,1113,2892,1113,2894,1113,2894,1113,2894,1113,1113,2894,0,0,0,100,0,0,0,0,4.761904716491699,0,4.761904716491699,0,0,0,0,0,33039077376,8999923712,5188464640,0
199,1771660434417,12776.29019165039,2900,1,0.8875,12776.29019165039,2900,1,0.8875,11831.549194335938,2900,1,0.8875,11831.549194335938,2900,1,0.8875,11570.989364624023,2900,1,0.8875,11570.989364624023,2900,1,0.8875,11563.213516235352,2900,1,0.8875,11563.213516235352,2900,1,0.8875,9903.91976928711,1113,2894,1113,2892,2894,1113,2892,1113,2894,1113,2894,1113,2894,1113,1113,2894,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,33039077376,8999923712,5183619072,0
199,1771660434617,12776.296859741211,2900,1,0.8875,12776.296859741211,2900,1,0.8875,11831.550369262695,2900,1,0.8875,11831.550369262695,2900,1,0.8875,11570.990814208984,2900,1,0.8875,11570.990814208984,2900,1,0.8875,11563.225189208984,2900,1,0.8875,11563.225189208984,2900,1,0.8875,9905.612731933594,1113,2894,1113,2892,2894,1113,2892,1113,2894,1113,2894,1113,2894,1113,1113,2894,0,0,0,100,0,0,0,5,0,0,0,0,5,0,0,0,33039077376,8999923712,5187346432,0
