Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771655782561,11691.366485595703,2900,1,1.0375,11691.366485595703,2900,1,1.0375,10887.230026245117,2900,1,1.0375,10887.230422973633,2900,1,1.0375,10586.58381652832,2900,1,1.0375,10586.58381652832,2900,1,1.0375,10613.538162231445,2900,1,1.0375,10613.538162231445,2900,1,1.0375,46769.58056640625,2893,1113,1113,2834,2865,2889,2877,2824,2894,1113,1113,2894,2894,2893,2878,2858,6.976744651794434,2.3255813121795654,2.2727272510528564,2.2727272510528564,2.3255813121795654,4.545454502105713,2.2727272510528564,0,2.3255813121795654,4.651162624359131,9.302325248718262,4.545454502105713,2.3255813121795654,2.3255813121795654,4.545454502105713,4.545454502105713,33039077376,8999923712,5193482240,0
199,1771655782562,11691.367980957031,2900,1,0.8875,11691.367980957031,2900,1,0.8875,10887.230651855469,2900,1,0.8875,10887.230651855469,2900,1,0.8875,10586.58528137207,2900,1,0.8875,10586.58528137207,2900,1,0.8875,10613.538345336914,2900,1,0.8875,10613.538467407227,2900,1,0.8875,46769.60385131836,2893,1113,1113,2834,2865,2889,2877,2824,2894,1113,1113,2894,2894,2893,2878,2858,6.976744651794434,2.3255813121795654,2.2727272510528564,2.2727272510528564,2.3255813121795654,4.545454502105713,2.2727272510528564,0,2.3255813121795654,4.651162624359131,9.302325248718262,4.545454502105713,2.3255813121795654,2.3255813121795654,4.545454502105713,4.545454502105713,33039077376,8999923712,5195345920,0
199,1771655782762,11691.378829956055,2900,1,0.8875,11691.378829956055,2900,1,0.8875,10887.636978149414,2900,1,0.8875,10887.636978149414,2900,1,0.8875,10586.593704223633,2900,1,0.8875,10586.593704223633,2900,1,0.8875,10613.54606628418,2900,1,0.8875,10613.54606628418,2900,1,0.8875,46771.42051696777,2893,1113,1113,2834,2865,2889,2877,2824,2894,1113,1113,2894,2894,2893,2878,2858,5,0,5,0,0,5,0,0,95.23809814453125,4.761904716491699,4.761904716491699,0,0,4.761904716491699,0,10.526315689086914,33039077376,8999923712,5233750016,0
199,1771655782962,11691.382675170898,2900,1,0.8875,11691.382675170898,2900,1,0.8875,10888.060363769531,2900,1,0.8875,10888.060363769531,2900,1,0.8875,10586.599655151367,2900,1,0.8875,10586.599655151367,2900,1,0.8875,10613.547897338867,2900,1,0.8875,10613.547897338867,2900,1,0.8875,46773.176345825195,2893,1113,1113,2834,2865,2889,2877,2824,2894,1113,1113,2894,2894,2893,2878,2858,0,0,5,0,0,5,0,0,100,0,0,0,5,0,0,0,33039077376,8999923712,5240066048,0
199,1771655783162,11691.398956298828,2900,1,0.8875,11691.398956298828,2900,1,0.8875,10888.484939575195,2900,1,0.8875,10888.484939575195,2900,1,0.8875,10586.617477416992,2900,1,0.8875,10586.617477416992,2900,1,0.8875,10613.554962158203,2900,1,0.8875,10613.554962158203,2900,1,0.8875,46775.11283874512,2893,1113,1113,2834,2865,2889,2877,2824,2894,1113,1113,2894,2894,2893,2878,2858,5,4.761904716491699,5.263157844543457,0,0,5,9.523809432983398,14.285715103149414,5,95,0,5,0,0,5,5,33039077376,8999923712,5232869376,0
199,1771655783362,11691.408157348633,2900,1,0.8875,11691.408157348633,2900,1,0.8875,10888.91049194336,2900,1,0.8875,10888.912612915039,2900,1,0.8875,10586.625961303711,2900,1,0.8875,10586.625961303711,2900,1,0.8875,10613.55842590332,2900,1,0.8875,10613.55842590332,2900,1,0.8875,46776.92901611328,2893,1113,1113,2834,2865,2889,2877,2824,2894,1113,1113,2894,2894,2893,2878,2858,0,0,4.761904716491699,0,0,5,5,0,100,0,0,0,0,0,0,5,33039077376,8999923712,5222723584,0
199,1771655783562,11691.414657592773,2900,1,0.89375,11691.414657592773,2900,1,0.89375,10889.336395263672,2900,1,0.89375,10889.336395263672,2900,1,0.89375,10586.639541625977,2900,1,0.89375,10586.639541625977,2900,1,0.89375,10613.560516357422,2900,1,0.89375,10613.560516357422,2900,1,0.89375,46778.736389160156,2893,1113,1113,2834,2865,2889,2877,2824,2894,1113,1113,2894,2894,2893,2878,2858,0,0,0,0,4.761904716491699,5,0,0,100,0,0,0,0,0,0,5,33039077376,8999923712,5227024384,0
199,1771655783762,11691.417129516602,2900,1,0.89375,11691.417129516602,2900,1,0.8875,10889.75993347168,2900,1,0.8875,10889.75993347168,2900,1,0.8875,10586.644958496094,2900,1,0.8875,10586.644958496094,2900,1,0.8875,10613.561904907227,2900,1,0.8875,10613.561904907227,2900,1,0.8875,46780.52658081055,2893,1113,1113,2834,2865,2889,2877,2824,2894,1113,1113,2894,2894,2893,2878,2858,0,0,0,0,0,0,5,0,100,0,0,0,0,0,0,5,33039077376,8999923712,5221998592,0
199,1771655783962,11691.424713134766,2900,1,0.8875,11691.424713134766,2900,1,0.8875,10890.182876586914,2900,1,0.8875,10890.182876586914,2900,1,0.8875,10586.653549194336,2900,1,0.8875,10586.653549194336,2900,1,0.8875,10613.56428527832,2900,1,0.8875,10613.56428527832,2900,1,0.8875,46782.36813354492,2893,1113,1113,2834,2865,2889,2877,2824,2894,1113,1113,2894,2894,2893,2878,2858,0,0,5,0,0,5,5,0,100,0,4.761904716491699,4.761904716491699,4.761904716491699,0,0,0,33039077376,8999923712,5226762240,0
199,1771655784162,11691.432434082031,2900,1,0.8875,11691.432434082031,2900,1,0.8875,10890.610656738281,2900,1,0.8875,10890.610656738281,2900,1,0.8875,10586.66487121582,2900,1,0.8875,10586.66487121582,2900,1,0.8875,10613.566864013672,2900,1,0.8875,10613.566864013672,2900,1,0.8875,46784.16877746582,2893,1113,1113,2834,2865,2889,2877,2824,2894,1113,1113,2894,2894,2893,2878,2858,4.761904716491699,0,5,0,0,4.761904716491699,5.263157844543457,0,40,55,4.761904716491699,4.761904716491699,0,0,0,0,33039077376,8999923712,5228736512,0
