Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771656193419,11793.458023071289,2900,1,0.8875,11793.458023071289,2900,1,0.8875,10925.507125854492,2900,1,0.8875,10925.507125854492,2900,1,0.8875,10621.491638183594,2900,1,0.8875,10621.491638183594,2900,1,0.8875,10657.09701538086,2900,1,0.8875,10657.09701538086,2900,1,0.8875,48792.87225341797,2893,2894,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,4.44444465637207,4.34782600402832,4.44444465637207,2.222222328186035,4.44444465637207,2.222222328186035,4.761904716491699,4.34782600402832,4.34782600402832,2.222222328186035,6.5217390060424805,4.44444465637207,4.44444465637207,0,4.34782600402832,2.222222328186035,33039077376,8999923712,5235023872,0
199,1771656193420,11793.460098266602,2900,1,0.8875,11793.460098266602,2875,1,0.8875,10925.50715637207,2900,1,0.8875,10925.50715637207,2900,1,0.8875,10621.491653442383,2900,1,0.8875,10621.491653442383,2900,1,0.8875,10657.09701538086,2900,1,0.8875,10657.09701538086,2900,1,0.8875,48792.89489746094,2893,2894,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,4.44444465637207,4.34782600402832,4.44444465637207,2.222222328186035,4.44444465637207,2.222222328186035,4.761904716491699,4.34782600402832,4.34782600402832,2.222222328186035,6.5217390060424805,4.44444465637207,4.44444465637207,0,4.34782600402832,2.222222328186035,33039077376,8999923712,5236514816,0
199,1771656193620,11793.493743896484,2900,1,0.8875,11793.493743896484,2900,1,0.8875,10925.52766418457,2900,1,0.8875,10925.52766418457,2900,1,0.8875,10621.88508605957,2900,1,0.8875,10621.88508605957,2900,1,0.8875,10657.103088378906,2900,1,0.8875,10657.103088378906,2900,1,0.8875,48794.70030212402,2893,2894,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,10,0,0,0,0,14.285715103149414,9.090909004211426,0,5,0,0,95.23809814453125,0,4.545454502105713,0,0,33039077376,8999923712,5269970944,0
199,1771656193820,11793.502685546875,2900,1,0.8875,11793.502685546875,2900,1,0.8875,10925.546432495117,2900,1,0.8875,10925.546432495117,2900,1,0.8875,10622.289825439453,2900,1,0.8875,10622.289825439453,2900,1,0.8875,10657.107955932617,2900,1,0.8875,10657.107955932617,2900,1,0.8875,48796.47268676758,2893,2894,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,0,0,5,0,0,0,0,0,5,0,5,100,0,5,0,0,33039077376,8999923712,5286219776,0
199,1771656194020,11793.522705078125,2900,1,0.8875,11793.522705078125,2900,1,0.8875,10925.554763793945,2900,1,0.8875,10925.554763793945,2900,1,0.8875,10622.699249267578,2900,1,0.8875,10622.699249267578,2900,1,0.8875,10657.117080688477,2900,1,0.8875,10657.117080688477,2900,1,0.8875,48798.36250305176,2893,2894,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,0,0,10,0,0,5,10.526315689086914,0,0,0,0,100,0,0,5,0,33039077376,8999923712,5287825408,0
199,1771656194220,11793.528427124023,2875,1,0.8875,11793.528427124023,2900,1,0.8875,10925.56867980957,2900,1,0.8875,10925.56867980957,2900,1,0.8875,10623.102676391602,2900,1,0.8875,10623.102676391602,2900,1,0.8875,10657.129180908203,2900,1,0.8875,10657.129180908203,2900,1,0.8875,48800.20478820801,2893,2894,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,0,0,0,0,10,0,4.761904716491699,0,5,5,5,100,0,0,0,0,33039077376,8999923712,5296459776,0
199,1771656194420,11793.537734985352,2900,1,0.8875,11793.537734985352,2900,1,0.8875,10925.582275390625,2900,1,0.8875,10925.582275390625,2900,1,0.8875,10623.511215209961,2900,1,0.8875,10623.511215209961,2900,1,0.8875,10657.133880615234,2900,1,0.8875,10657.133880615234,2900,1,0.8875,48801.984802246094,2893,2894,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,4.761904716491699,9.523809432983398,0,0,5,0,0,0,5,0,0,100,0,4.761904716491699,0,0,33039077376,8999923712,5288964096,0
199,1771656194620,11793.553985595703,2900,1,0.8875,11793.553985595703,2900,1,0.8875,10925.594711303711,2900,1,0.8875,10925.594711303711,2900,1,0.8875,10623.917572021484,2900,1,0.8875,10623.917572021484,2900,1,0.8875,10657.13720703125,2900,1,0.8875,10657.13720703125,2900,1,0.8875,48803.79862976074,2893,2894,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,0,0,0,0,10,0,0,0,4.761904716491699,0,5,100,0,0,9.523809432983398,0,33039077376,8999923712,5289861120,0
199,1771656194820,11793.558334350586,2900,1,0.8875,11793.558334350586,2900,1,0.8875,10925.605056762695,2900,1,0.8875,10925.605056762695,2900,1,0.8875,10624.326370239258,2900,1,0.8875,10624.326370239258,2900,1,0.8875,10657.139144897461,2900,1,0.8875,10657.139144897461,2900,1,0.8875,48805.58262634277,2893,2894,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,4.761904716491699,0,0,0,5,0,0,0,5,0,0,100,0,0,0,0,33039077376,8999923712,5290377216,0
199,1771656195020,11793.567092895508,2900,1,0.8875,11793.567092895508,2900,1,0.8875,10925.620254516602,2900,1,0.8875,10925.620254516602,2900,1,0.8875,10624.73306274414,2900,1,0.8875,10624.73306274414,2900,1,0.8875,10657.143661499023,2900,1,0.8875,10657.143661499023,2900,1,0.8875,48807.37707519531,2893,2894,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,2894,1113,0,0,0,4.761904716491699,10,0,0,5,5,0,5,100,0,0,5,0,33039077376,8999923712,5284245504,0
