Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771636220644,6743.041473388672,2900,1,0.8875,6743.041473388672,2900,1,0.8875,6478.994567871094,2900,1,0.8875,6478.994567871094,2900,1,0.8875,6090.68212890625,2900,1,0.8875,6090.683456420898,2900,1,0.8875,6292.742279052734,2900,1,0.8875,6292.742279052734,2900,1,0.8875,54256.866943359375,2894,1113,2893,2894,2894,1113,2894,1113,1113,2894,2894,1113,2894,1113,2894,2894,4.545454502105713,2.2727272510528564,2.3255813121795654,4.545454502105713,6.818181991577148,4.545454502105713,4.651162624359131,4.545454502105713,6.976744651794434,6.6666669845581055,2.3809523582458496,2.3255813121795654,4.545454502105713,0,4.651162624359131,2.3255813121795654,33039077376,8999923712,5134188544,0
199,1771636220644,6743.043670654297,2900,1,0.8875,6743.043670654297,2900,1,0.8875,6478.9967041015625,2900,1,0.8875,6478.9967041015625,2900,1,0.8875,6090.686080932617,2900,1,0.8875,6090.686080932617,2900,1,0.8875,6292.742294311523,2900,1,0.8875,6292.742294311523,2900,1,0.8875,54256.88655090332,2894,1113,2893,2894,2894,1113,2894,1113,1113,2894,2894,1113,2894,1113,2894,2894,4.545454502105713,2.2727272510528564,2.3255813121795654,4.545454502105713,6.818181991577148,4.545454502105713,4.651162624359131,4.545454502105713,6.976744651794434,6.6666669845581055,2.3809523582458496,2.3255813121795654,4.545454502105713,0,4.651162624359131,2.3255813121795654,33039077376,8999923712,5134188544,0
199,1771636220844,6743.055709838867,2900,1,0.8875,6743.055709838867,2900,1,0.8875,6479.038726806641,2900,1,0.8875,6479.038726806641,2900,1,0.8875,6090.690078735352,2900,1,0.8875,6090.690078735352,2900,1,0.8875,6292.743377685547,2900,1,0.8875,6292.743377685547,2900,1,0.8875,54258.72721862793,2894,1113,2893,2894,2894,1113,2894,1113,1113,2894,2894,1113,2894,1113,2894,2894,4.761904716491699,0,5,0,0,0,95.23809814453125,0,0,15.000000953674316,4.761904716491699,0,0,0,9.523809432983398,0,33039077376,8999923712,5189713920,0
199,1771636221044,6743.090927124023,2900,1,0.8875,6743.090927124023,2900,1,0.8875,6479.055862426758,2900,1,0.8875,6479.055862426758,2900,1,0.8875,6090.692932128906,2900,1,0.8875,6090.692932128906,2900,1,0.8875,6292.750427246094,2900,1,0.8875,6292.750427246094,2900,1,0.8875,54260.54170227051,2894,1113,2893,2894,2894,1113,2894,1113,1113,2894,2894,1113,2894,1113,2894,2894,10.526315689086914,0,5.263157844543457,0,0,0,100,9.090909004211426,0,0,0,0,0,0,0,0,33039077376,8999923712,5192859648,0
199,1771636221244,6743.128173828125,2900,1,0.8875,6743.128173828125,2900,1,0.8875,6479.119323730469,2900,1,0.8875,6479.119323730469,2900,1,0.8875,6090.710357666016,2900,1,0.8875,6090.710357666016,2900,1,0.8875,6292.765319824219,2900,1,0.8875,6292.765319824219,2900,1,0.8875,54262.488693237305,2894,1113,2893,2894,2894,1113,2894,1113,1113,2894,2894,1113,2894,1113,2894,2894,14.285715103149414,0,9.523809432983398,0,0,0,80,0,15.000000953674316,0,5,0,5,0,23.809524536132813,0,33039077376,8999923712,5199044608,0
199,1771636221444,6743.137741088867,2900,1,0.8875,6743.137741088867,2900,1,0.8875,6479.157608032227,2900,1,0.8875,6479.157608032227,2900,1,0.8875,6090.728698730469,2900,1,0.8875,6090.728698730469,2900,1,0.8875,6292.771560668945,2900,1,0.8875,6292.771560668945,2900,1,0.8875,54264.369689941406,2894,1113,2893,2894,2894,1113,2894,1113,1113,2894,2894,1113,2894,1113,2894,2894,0,0,0,0,0,0,0,0,14.285715103149414,9.090909004211426,0,0,0,0,100,0,33039077376,8999923712,5203820544,0
199,1771636221645,6743.141998291016,2900,1,0.8875,6743.141998291016,2900,1,0.8875,6479.18327331543,2900,1,0.8875,6479.18327331543,2900,1,0.8875,6090.7315673828125,2900,1,0.8875,6090.7315673828125,2900,1,0.8875,6292.794830322266,2900,1,0.8875,6292.794830322266,2900,1,0.8875,54266.229080200195,2894,1113,2893,2894,2894,1113,2894,1113,1113,2894,2894,1113,2894,1113,2894,2894,0,0,5.263157844543457,0,0,0,0,0,0,5.263157844543457,0,0,10,0,100,0,33039077376,8999923712,5190201344,0
199,1771636221845,6743.1448974609375,2900,1,0.8875,6743.1448974609375,2900,1,0.8875,6479.202865600586,2900,1,0.8875,6479.202865600586,2900,1,0.8875,6090.731964111328,2900,1,0.8875,6090.731964111328,2900,1,0.8875,6292.8250732421875,2900,1,0.8875,6292.8250732421875,2900,1,0.8875,54268.016174316406,2894,1113,2893,2894,2894,1113,2894,1113,1113,2894,2894,1113,2894,1113,2894,2894,0,0,5,0,0,0,0,0,0,0,0,0,10,0,100,0,33039077376,8999923712,5193506816,0
199,1771636222045,6743.14875793457,2900,1,0.8875,6743.14875793457,2900,1,0.8875,6479.206970214844,2900,1,0.8875,6479.208267211914,2900,1,0.8875,6090.746551513672,2900,1,0.8875,6090.746551513672,2900,1,0.8875,6292.857559204102,2900,1,0.8875,6292.857559204102,2900,1,0.8875,54269.82194519043,2894,1113,2893,2894,2894,1113,2894,1113,1113,2894,2894,1113,2894,1113,2894,2894,0,0,4.761904716491699,0,0,0,0,0,0,0,5,0,10,0,100,0,33039077376,8999923712,5205024768,0
199,1771636222245,6743.149169921875,2900,1,0.8875,6743.149169921875,2900,1,0.8875,6479.212448120117,2900,1,0.8875,6479.212448120117,2900,1,0.8875,6090.76335144043,2900,1,0.8875,6090.76335144043,2900,1,0.8875,6292.888137817383,2900,1,0.8875,6292.888137817383,2900,1,0.8875,54271.65232849121,2894,1113,2893,2894,2894,1113,2894,1113,1113,2894,2894,1113,2894,1113,2894,2894,0,0,5,0,4.761904716491699,4.761904716491699,0,5,0,0,0,0,5.263157844543457,0,100,5,33039077376,8999923712,5200261120,0
199,1771636222445,6743.165939331055,2875,1,0.8875,6743.165939331055,2900,1,0.8875,6479.267929077148,2900,1,0.8875,6479.267929077148,2900,1,0.8875,6090.776306152344,2900,1,0.8875,6090.776306152344,2900,1,0.8875,6292.901229858398,2900,1,0.8875,6292.901229858398,2900,1,0.8875,54273.527603149414,2894,1113,2893,2894,2894,1113,2894,1113,1113,2894,2894,1113,2894,1113,2894,2894,5,0,0,0,0,0,4.761904716491699,0,15.000000953674316,5,5,0,0,0,100,0,33039077376,8999923712,5205348352,0
199,1771636222645,6743.169281005859,2900,1,0.8875,6743.169296264648,2900,1,0.8875,6479.313781738281,2900,1,0.8875,6479.313781738281,2900,1,0.8875,6090.777160644531,2900,1,0.8875,6090.777160644531,2900,1,0.8875,6292.901473999023,2900,1,0.8875,6292.901473999023,2900,1,0.8875,54275.37699890137,2894,1113,2893,2894,2894,1113,2894,1113,1113,2894,2894,1113,2894,1113,2894,2894,0,0,5,4.761904716491699,0,0,5,5,5.263157844543457,5,0,0,0,0,100,0,33039077376,8999923712,5201903616,0
199,1771636222845,6743.172378540039,2900,1,0.8875,6743.172378540039,2900,1,0.8875,6479.345947265625,2900,1,0.8875,6479.345947265625,2900,1,0.8875,6090.791717529297,2900,1,0.8875,6090.791717529297,2900,1,0.8875,6292.902801513672,2900,1,0.8875,6292.902801513672,2900,1,0.8875,54277.17900085449,2894,1113,2893,2894,2894,1113,2894,1113,1113,2894,2894,1113,2894,1113,2894,2894,0,0,5,0,0,0,0,0,10,0,5,0,0,0,0,100,33039077376,8999923712,5197291520,0
199,1771636223045,6743.176116943359,2900,1,0.8875,6743.176116943359,2900,1,0.8875,6479.380157470703,2900,1,0.8875,6479.380157470703,2900,1,0.8875,6090.807861328125,2900,1,0.8875,6090.807861328125,2900,1,0.8875,6292.904235839844,2900,1,0.8875,6292.904235839844,2900,1,0.8875,54278.99903869629,2894,1113,2893,2894,2894,1113,2894,1113,1113,2894,2894,1113,2894,1113,2894,2894,0,0,9.523809432983398,0,0,0,0,0,10,0,0,0,0,0,0,100,33039077376,8999923712,5200449536,0
199,1771636223245,6743.179138183594,2900,1,0.8875,6743.1798095703125,2900,1,0.8875,6479.413055419922,2900,1,0.8875,6479.413055419922,2900,1,0.8875,6090.824035644531,2900,1,0.8875,6090.824035644531,2900,1,0.8875,6292.904357910156,2900,1,0.8875,6292.904357910156,2900,1,0.8875,54280.853256225586,2894,1113,2893,2894,2894,1113,2894,1113,1113,2894,2894,1113,2894,1113,2894,2894,0,0,5,0,0,0,4.761904716491699,0,10,4.761904716491699,5,0,0,0,4.761904716491699,100,33039077376,8999923712,5196484608,0
199,1771636223445,6743.182922363281,2900,1,0.8875,6743.182922363281,2900,1,0.8875,6479.445037841797,2900,1,0.8875,6479.445037841797,2900,1,0.8875,6090.842071533203,2900,1,0.8875,6090.842071533203,2900,1,0.8875,6292.906814575195,2900,1,0.8875,6292.906814575195,2900,1,0.8875,54282.655181884766,2894,1113,2893,2894,2894,1113,2894,1113,1113,2894,2894,1113,2894,1113,2894,2894,0,0,5,0,0,0,0,0,10,0,5,0,0,4.761904716491699,0,100,33039077376,8999923712,5200130048,0
