Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771639721328,7703.712799072266,2900,1,0.8875,7703.712799072266,2900,1,0.8875,7211.049911499023,2900,1,0.8875,7211.0499267578125,2900,1,0.8875,6954.533645629883,2900,1,0.8875,6954.533645629883,2900,1,0.8875,7034.454635620117,2900,1,0.8875,7034.454635620117,2900,1,0.8875,11112.571472167969,2894,2893,2892,1113,2894,1113,2894,1113,1113,1113,1113,2887,2886,2893,1113,1113,2.857142925262451,2.777777910232544,2.777777910232544,5.405405521392822,8.108107566833496,8.571429252624512,2.777777910232544,2.702702760696411,5.405405521392822,5.405405521392822,5.555555820465088,7.894736289978027,5.555555820465088,7.894736289978027,2.777777910232544,2.702702760696411,33039077376,8999923712,5159591936,0
199,1771639721328,7703.713272094727,2900,1,0.8875,7703.713272094727,2900,1,0.8875,7211.049942016602,2900,1,0.8875,7211.049942016602,2900,1,0.8875,6954.533660888672,2900,1,0.8875,6954.533660888672,2900,1,0.8875,7034.456314086914,2900,1,0.8875,7034.457046508789,2900,1,0.8875,11112.597213745117,2894,2893,2892,1113,2894,1113,2894,1113,1113,1113,1113,2887,2886,2893,1113,1113,2.857142925262451,2.777777910232544,2.777777910232544,5.405405521392822,8.108107566833496,8.571429252624512,2.777777910232544,2.702702760696411,5.405405521392822,5.405405521392822,5.555555820465088,7.894736289978027,5.555555820465088,7.894736289978027,2.777777910232544,2.702702760696411,33039077376,8999923712,5161082880,0
199,1771639721528,7704.103179931641,2900,1,0.8875,7704.105224609375,2900,1,0.8875,7211.068359375,2900,1,0.8875,7211.068359375,2900,1,0.8875,6954.536026000977,2900,1,0.8875,6954.536026000977,2900,1,0.8875,7034.482147216797,2900,1,0.8875,7034.482147216797,2900,1,0.8875,11114.406814575195,2894,2893,2892,1113,2894,1113,2894,1113,1113,1113,1113,2887,2886,2893,1113,1113,4.761904716491699,95.23809814453125,4.761904716491699,0,0,0,0,0,5,0,0,0,10,0,15.000000953674316,0,33039077376,8999923712,5212147712,0
199,1771639721728,7704.5093994140625,2900,1,0.8875,7704.5093994140625,2900,1,0.8875,7211.092391967773,2900,1,0.8875,7211.092391967773,2900,1,0.8875,6954.543395996094,2900,1,0.8875,6954.543395996094,2900,1,0.8875,7034.50129699707,2900,1,0.89375,7034.50129699707,2900,1,0.89375,11116.193328857422,2894,2893,2892,1113,2894,1113,2894,1113,1113,1113,1113,2887,2886,2893,1113,1113,0,100,0,0,0,0,0,0,5.263157844543457,0,0,0,9.523809432983398,0,5,0,33039077376,8999923712,5212315648,0
199,1771639721928,7704.917221069336,2900,1,0.89375,7704.917221069336,2900,1,0.89375,7211.116622924805,2900,1,0.89375,7211.116622924805,2900,1,0.89375,6954.551574707031,2900,1,0.89375,6954.551574707031,2900,1,0.89375,7034.523391723633,2900,1,0.89375,7034.523391723633,2900,1,0.8875,11118.010818481445,2894,2893,2892,1113,2894,1113,2894,1113,1113,1113,1113,2887,2886,2893,1113,1113,5,100,0,0,0,0,0,0,5,4.761904716491699,0,0,5.263157844543457,0,5,0,33039077376,8999923712,5212430336,0
199,1771639722128,7705.317001342773,2900,1,0.89375,7705.317001342773,2900,1,0.89375,7211.169998168945,2900,1,0.8875,7211.169998168945,2900,1,0.8875,6954.559188842773,2900,1,0.8875,6954.559188842773,2900,1,0.8875,7034.544052124023,2900,1,0.8875,7034.544052124023,2900,1,0.8875,11119.901504516602,2894,2893,2892,1113,2894,1113,2894,1113,1113,1113,1113,2887,2886,2893,1113,1113,5,100,4.761904716491699,0,0,0,5,0,9.523809432983398,5.263157844543457,0,0,9.523809432983398,4.761904716491699,11.111111640930176,0,33039077376,8999923712,5212766208,0
199,1771639722328,7705.421432495117,2900,1,0.8875,7705.421432495117,2900,1,0.8875,7211.204879760742,2900,1,0.8875,7211.204879760742,2900,1,0.8875,6954.560562133789,2900,1,0.8875,6954.560562133789,2900,1,0.8875,7034.554397583008,2900,1,0.8875,7034.554397583008,2900,1,0.8875,11121.655364990234,2894,2893,2892,1113,2894,1113,2894,1113,1113,1113,1113,2887,2886,2893,1113,1113,0,25,0,0,0,0,0,0,0,5.263157844543457,0,0,5,0,75,0,33039077376,8999923712,5212397568,0
199,1771639722529,7705.42887878418,2900,1,0.8875,7705.42887878418,2900,1,0.8875,7211.240371704102,2900,1,0.8875,7211.240417480469,2900,1,0.8875,6954.56575012207,2900,1,0.8875,6954.56575012207,2900,1,0.8875,7034.569030761719,2900,1,0.8875,7034.569030761719,2900,1,0.8875,11123.453002929688,2894,2893,2892,1113,2894,1113,2894,1113,1113,1113,1113,2887,2886,2893,1113,1113,0,0,0,0,4.761904716491699,0,0,0,5,5,5,0,5,0,100,0,33039077376,8999923712,5213995008,0
200,1771639722729,7705.434616088867,2900,1,0.8875,7705.434616088867,2900,1,0.8875,7211.265884399414,2900,1,0.8875,7211.265884399414,2900,1,0.8875,6954.5849609375,2900,1,0.8875,6954.5849609375,2900,1,0.8875,7034.586853027344,2900,1,0.8875,7034.586853027344,2900,1,0.8875,11125.269119262695,2894,2893,2892,1113,2894,1113,2894,1113,1113,1113,1113,2887,2886,2893,1113,1113,0,0,0,0,0,0,0,0,0,0,9.523809432983398,0,5.263157844543457,0,100,0,33039077376,8999923712,5212352512,0
199,1771639722929,7705.437194824219,2900,1,0.8875,7705.437194824219,2900,1,0.8875,7211.280715942383,2900,1,0.8875,7211.280715942383,2900,1,0.8875,6954.601501464844,2900,1,0.8875,6954.601501464844,2900,1,0.8875,7034.597885131836,2900,1,0.8875,7034.597885131836,2900,1,0.8875,11127.036834716797,2894,2893,2892,1113,2894,1113,2894,1113,1113,1113,1113,2887,2886,2893,1113,1113,0,0,0,0,0,0,0,0,9.523809432983398,0,0,0,0,0,100,0,33039077376,8999923712,5210824704,0
