Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771641416742,8093.755935668945,2900,1,0.8875,8093.755935668945,2900,1,0.8875,7540.920944213867,2900,1,0.8875,7540.920944213867,2900,1,0.8875,7300.443130493164,2900,1,0.8875,7300.443130493164,2900,1,0.8875,7420.774032592773,2900,1,0.8875,7420.774032592773,2900,1,0.8875,21631.350631713867,2893,1113,1113,1113,1113,2894,1113,2894,2894,1113,2894,2883,2889,1113,1113,2894,4.878048419952393,11.904762268066406,4.761904716491699,2.4390242099761963,4.761904716491699,4.878048419952393,4.878048419952393,4.761904716491699,2.4390242099761963,2.4390242099761963,4.761904716491699,4.761904716491699,2.4390242099761963,2.4390242099761963,2.4390242099761963,6.976744651794434,33039077376,8999923712,5168001024,0
199,1771641416743,8093.758590698242,2900,1,0.8875,8093.758590698242,2900,1,0.8875,7540.921447753906,2900,1,0.8875,7540.921447753906,2900,1,0.8875,7300.443145751953,2900,1,0.8875,7300.443145751953,2900,1,0.8875,7420.775939941406,2900,1,0.8875,7420.775939941406,2900,1,0.8875,21631.36735534668,2893,1113,1113,1113,1113,2894,1113,2894,2894,1113,2894,2883,2889,1113,1113,2894,4.878048419952393,11.904762268066406,4.761904716491699,2.4390242099761963,4.761904716491699,4.878048419952393,4.878048419952393,4.761904716491699,2.4390242099761963,2.4390242099761963,4.761904716491699,4.761904716491699,2.4390242099761963,2.4390242099761963,2.4390242099761963,6.976744651794434,33039077376,8999923712,5168001024,0
199,1771641416943,8094.034149169922,2900,1,0.8875,8094.034149169922,2900,1,0.8875,7540.922454833984,2900,1,0.8875,7540.922454833984,2900,1,0.8875,7300.444046020508,2900,1,0.8875,7300.444046020508,2900,1,0.8875,7420.776916503906,2900,1,0.8875,7420.776916503906,2900,1,0.8875,21633.20248413086,2893,1113,1113,1113,1113,2894,1113,2894,2894,1113,2894,2883,2889,1113,1113,2894,57.142860412597656,4.761904716491699,0,10,0,4.761904716491699,10,4.761904716491699,0,0,0,0,0,0,40,0,33039077376,8999923712,5180805120,0
199,1771641417143,8094.344055175781,2900,1,0.8875,8094.344055175781,2900,1,0.8875,7541.080123901367,2900,1,0.8875,7541.080123901367,2900,1,0.8875,7300.4456787109375,2900,1,0.8875,7300.4456787109375,2900,1,0.8875,7420.779479980469,2900,1,0.8875,7420.779479980469,2900,1,0.8875,21635.03123474121,2893,1113,1113,1113,1113,2894,1113,2894,2894,1113,2894,2883,2889,1113,1113,2894,0,65,9.523809432983398,5,0,0,0,5.263157844543457,30.000001907348633,0,0,0,0,0,0,0,33039077376,8999923712,5178576896,0
199,1771641417343,8094.351425170898,2900,1,0.8875,8094.351425170898,2900,1,0.8875,7541.539749145508,2900,1,0.8875,7541.539749145508,2900,1,0.8875,7300.445755004883,2900,1,0.8875,7300.445755004883,2900,1,0.8875,7420.790252685547,2900,1,0.8875,7420.790252685547,2900,1,0.8875,21636.912887573242,2893,1113,1113,1113,1113,2894,1113,2894,2894,1113,2894,2883,2889,1113,1113,2894,0,0,0,15.000000953674316,10,0,0,5,100,0,0,0,4.761904716491699,0,0,0,33039077376,8999923712,5187010560,0
199,1771641417543,8094.363739013672,2900,1,0.8875,8094.363739013672,2900,1,0.8875,7542.004364013672,2900,1,0.8875,7542.004364013672,2900,1,0.8875,7300.450881958008,2900,1,0.8875,7300.450881958008,2900,1,0.8875,7420.801010131836,2900,1,0.8875,7420.801010131836,2900,1,0.8875,21638.829879760742,2893,1113,1113,1113,1113,2894,1113,2894,2894,1113,2894,2883,2889,1113,1113,2894,0,0,5.263157844543457,5,5.263157844543457,0,10,10,100,0,0,0,0,0,4.761904716491699,5,33039077376,8999923712,5181825024,0
199,1771641417743,8094.369522094727,2900,1,0.8875,8094.369522094727,2900,1,0.8875,7542.466110229492,2900,1,0.8875,7542.468231201172,2900,1,0.8875,7300.4517822265625,2900,1,0.8875,7300.4517822265625,2900,1,0.8875,7420.802291870117,2900,1,0.8875,7420.802291870117,2900,1,0.8875,21640.652053833008,2893,1113,1113,1113,1113,2894,1113,2894,2894,1113,2894,2883,2889,1113,1113,2894,0,0,9.523809432983398,10,0,0,0,5,100,0,0,0,4.761904716491699,0,0,0,33039077376,8999923712,5183324160,0
199,1771641417943,8094.376235961914,2900,1,0.8875,8094.376235961914,2900,1,0.8875,7542.926452636719,2900,1,0.8875,7542.926452636719,2900,1,0.8875,7300.453338623047,2900,1,0.8875,7300.453338623047,2900,1,0.8875,7420.803375244141,2900,1,0.8875,7420.803375244141,2900,1,0.8875,21642.459350585938,2893,1113,1113,1113,1113,2894,1113,2894,2894,1113,2894,2883,2889,1113,1113,2894,0,0,0,5.263157844543457,0,0,0,5,100,0,0,0,0,0,5,0,33039077376,8999923712,5186760704,0
200,1771641418143,8094.385482788086,2900,1,0.8875,8094.385482788086,2900,1,0.8875,7543.394454956055,2900,1,0.8875,7543.394454956055,2900,1,0.8875,7300.453689575195,2900,1,0.8875,7300.453689575195,2900,1,0.8875,7420.804595947266,2900,1,0.8875,7420.804595947266,2900,1,0.8875,21644.339797973633,2893,1113,1113,1113,1113,2894,1113,2894,2894,1113,2894,2883,2889,1113,1113,2894,0,0,4.761904716491699,9.523809432983398,5,0,0,5.263157844543457,100,0,0,0,0,0,10,5,33039077376,8999923712,5182013440,0
1,1771641418344,8094.391693115234,2900,1,0.8875,8094.391693115234,2900,1,0.8875,7543.753128051758,2900,1,0.8875,7543.753128051758,2900,1,0.8875,7300.454620361328,2900,1,0.8875,7300.454620361328,2900,1,0.8875,7420.805557250977,2900,1,0.8875,7420.805557250977,2900,1,0.8875,21645.924682617188,2893,1113,1113,1113,1113,2894,1113,2894,2894,1113,2894,2883,2889,1113,1113,2894,0,4.761904716491699,0,0,0,0,0,5,75,0,0,0,0,0,0,0,33039077376,8999923712,5177380864,0
