Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771632094269,5806.155853271484,2900,1,0.8875,5806.155853271484,2900,1,0.8875,5655.91584777832,2900,1,0.8875,5655.91584777832,2900,1,0.8875,5217.305526733398,2900,1,0.8875,5217.305526733398,2900,1,0.8875,5344.596817016602,2900,1,0.8875,5344.596817016602,2900,1,0.8875,28646.515548706055,1113,2894,1113,2893,2894,1113,1113,2894,2894,2894,2894,1113,1113,1113,1113,2894,4.545454502105713,2.2727272510528564,4.545454502105713,2.2727272510528564,2.3809523582458496,7.142857551574707,2.2727272510528564,2.2727272510528564,2.3255813121795654,2.2727272510528564,4.545454502105713,4.44444465637207,4.545454502105713,4.545454502105713,2.2727272510528564,4.44444465637207,33039077376,8999923712,5154291712,0
199,1771632094269,5806.155944824219,2900,1,0.8875,5806.155944824219,2900,1,0.8875,5655.915878295898,2900,1,0.8875,5655.915878295898,2900,1,0.8875,5217.3055419921875,2900,1,0.8875,5217.3055419921875,2900,1,0.8875,5344.6011962890625,2900,1,0.8875,5344.6011962890625,2900,1,0.8875,28646.540725708008,1113,2894,1113,2893,2894,1113,1113,2894,2894,2894,2894,1113,1113,1113,1113,2894,4.545454502105713,2.2727272510528564,4.545454502105713,2.2727272510528564,2.3809523582458496,7.142857551574707,2.2727272510528564,2.2727272510528564,2.3255813121795654,2.2727272510528564,4.545454502105713,4.44444465637207,4.545454502105713,4.545454502105713,2.2727272510528564,4.44444465637207,33039077376,8999923712,5154291712,0
199,1771632094469,5806.309753417969,2900,1,0.8875,5806.309753417969,2900,1,0.8875,5655.9169921875,2900,1,0.8875,5655.9169921875,2900,1,0.8875,5217.306335449219,2900,1,0.8875,5217.306335449219,2900,1,0.8875,5344.604293823242,2900,1,0.8875,5344.604293823242,2900,1,0.8875,28648.38868713379,1113,2894,1113,2893,2894,1113,1113,2894,2894,2894,2894,1113,1113,1113,1113,2894,35,0,0,61.904762268066406,10,0,13.636363983154297,0,0,0,0,0,0,0,23.809524536132813,0,33039077376,8999923712,5174214656,0
199,1771632094670,5806.684967041016,2900,1,0.8875,5806.684967041016,2900,1,0.8875,5655.940093994141,2900,1,0.8875,5655.940093994141,2900,1,0.8875,5217.327285766602,2900,1,0.8875,5217.327285766602,2900,1,0.8875,5344.618103027344,2900,1,0.8875,5344.618103027344,2900,1,0.8875,28650.30470275879,1113,2894,1113,2893,2894,1113,1113,2894,2894,2894,2894,1113,1113,1113,1113,2894,95,0,0,0,14.285715103149414,0,10,0,5,5,0,0,0,0,21.052631378173828,0,33039077376,8999923712,5170933760,0
199,1771632094870,5807.063766479492,2900,1,0.8875,5807.063766479492,2900,1,0.8875,5656.032531738281,2900,1,0.8875,5656.032531738281,2900,1,0.8875,5217.332214355469,2900,1,0.8875,5217.332214355469,2900,1,0.8875,5344.625259399414,2900,1,0.8875,5344.625259399414,2900,1,0.8875,28652.278686523438,1113,2894,1113,2893,2894,1113,1113,2894,2894,2894,2894,1113,1113,1113,1113,2894,100,0,0,5,10.526315689086914,0,5.263157844543457,0,0,26.3157901763916,0,0,4.761904716491699,0,0,15.000000953674316,33039077376,8999923712,5181485056,0
199,1771632095070,5807.451797485352,2900,1,0.8875,5807.451797485352,2900,1,0.8875,5656.143142700195,2900,1,0.8875,5656.143142700195,2900,1,0.8875,5217.346343994141,2900,1,0.8875,5217.346343994141,2900,1,0.8875,5344.635955810547,2900,1,0.8875,5344.637298583984,2900,1,0.8875,28654.197952270508,1113,2894,1113,2893,2894,1113,1113,2894,2894,2894,2894,1113,1113,1113,1113,2894,95,10.526315689086914,0,0,10,0,0,0,10.526315689086914,25,4.761904716491699,0,0,0,0,0,33039077376,8999923712,5184806912,0
199,1771632095270,5807.848617553711,2900,1,0.8875,5807.848617553711,2900,1,0.8875,5656.187057495117,2900,1,0.8875,5656.187057495117,2900,1,0.8875,5217.359802246094,2900,1,0.8875,5217.359802246094,2900,1,0.8875,5344.647384643555,2900,1,0.8875,5344.647384643555,2900,1,0.8875,28656.061767578125,1113,2894,1113,2893,2894,1113,1113,2894,2894,2894,2894,1113,1113,1113,1113,2894,10.526315689086914,100,0,0,10,0,0,0,5.263157844543457,0,5,0,0,4.761904716491699,20,0,33039077376,8999923712,5199482880,0
199,1771632095470,5808.22477722168,2900,1,0.8875,5808.22477722168,2900,1,0.8875,5656.220458984375,2900,1,0.8875,5656.220565795898,2900,1,0.8875,5217.37109375,2900,1,0.8875,5217.37109375,2900,1,0.8875,5344.65283203125,2900,1,0.8875,5344.65283203125,2900,1,0.8875,28657.959884643555,1113,2894,1113,2893,2894,1113,1113,2894,2894,2894,2894,1113,1113,1113,1113,2894,0,100,0,0,10.526315689086914,0,0,0,5.263157844543457,0,5,0,0,0,25,0,33039077376,8999923712,5197893632,0
199,1771632095670,5808.608963012695,2900,1,0.8875,5808.608963012695,2900,1,0.8875,5656.265930175781,2900,1,0.8875,5656.265930175781,2900,1,0.8875,5217.3873291015625,2900,1,0.8875,5217.387405395508,2900,1,0.8875,5344.665924072266,2900,1,0.8875,5344.665924072266,2900,1,0.8875,28659.906539916992,1113,2894,1113,2893,2894,1113,1113,2894,2894,2894,2894,1113,1113,1113,1113,2894,5,100,30.000001907348633,0,14.285715103149414,0,0,0,10.526315689086914,0,0,4.761904716491699,4.761904716491699,5,0,0,33039077376,8999923712,5208035328,0
199,1771632095870,5808.991073608398,2900,1,0.89375,5808.991073608398,2900,1,0.89375,5656.313583374023,2900,1,0.89375,5656.313583374023,2900,1,0.89375,5217.39469909668,2900,1,0.89375,5217.39469909668,2900,1,0.89375,5344.6763916015625,2900,1,0.89375,5344.6763916015625,2900,1,0.89375,28661.797744750977,1113,2894,1113,2893,2894,1113,1113,2894,2894,2894,2894,1113,1113,1113,1113,2894,0,95.23809814453125,30.000001907348633,0,10,0,0,0,10,0,0,4.761904716491699,5,0,0,0,33039077376,8999923712,5204627456,0
