Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771666025656,14115.488800048828,2900,1,0.8875,14115.488800048828,2900,1,0.8875,13009.853256225586,2900,1,0.8875,13009.853256225586,2900,1,0.8875,12766.61703491211,2900,1,0.8875,12766.61703491211,2900,1,0.8875,12861.695724487305,2900,1,0.8875,12861.695724487305,2900,1,0.8875,45020.3249206543,2893,2894,2894,2894,2894,1113,2894,1113,1113,1113,2894,1113,1113,2894,2894,1113,4.761904716491699,2.4390242099761963,4.761904716491699,4.651162624359131,2.3809523582458496,2.3809523582458496,4.761904716491699,0,4.761904716491699,4.761904716491699,2.4390242099761963,7.317072868347168,2.4390242099761963,4.651162624359131,7.317072868347168,2.4390242099761963,33039077376,8999923712,5142888448,0
199,1771666025656,14115.488815307617,2900,1,0.8875,14115.488815307617,2900,1,0.8875,13009.855239868164,2900,1,0.8875,13009.855972290039,2900,1,0.8875,12766.619735717773,2900,1,0.8875,12766.619735717773,2900,1,0.8875,12861.695739746094,2900,1,0.8875,12861.695739746094,2900,1,0.8875,45020.34913635254,2893,2894,2894,2894,2894,1113,2894,1113,1113,1113,2894,1113,1113,2894,2894,1113,4.761904716491699,2.4390242099761963,4.761904716491699,4.651162624359131,2.3809523582458496,2.3809523582458496,4.761904716491699,0,4.761904716491699,4.761904716491699,2.4390242099761963,7.317072868347168,2.4390242099761963,4.651162624359131,7.317072868347168,2.4390242099761963,33039077376,8999923712,5142888448,0
199,1771666025856,14115.500305175781,2900,1,0.8875,14115.500305175781,2900,1,0.8875,13009.879287719727,2900,1,0.8875,13009.879287719727,2900,1,0.8875,12766.658401489258,2900,1,0.8875,12766.658401489258,2900,1,0.8875,12861.768753051758,2900,1,0.8875,12861.768753051758,2900,1,0.8875,45022.25700378418,2893,2894,2894,2894,2894,1113,2894,1113,1113,1113,2894,1113,1113,2894,2894,1113,0,0,4.761904716491699,0,0,4.761904716491699,0,0,0,9.523809432983398,0,15.000000953674316,23.809524536132813,0,100,0,33039077376,8999923712,5161541632,0
199,1771666026056,14115.561599731445,2900,1,0.8875,14115.561599731445,2900,1,0.8875,13009.902694702148,2900,1,0.8875,13009.902694702148,2900,1,0.8875,12766.688461303711,2900,1,0.8875,12766.688461303711,2900,1,0.8875,12861.806213378906,2900,1,0.8875,12861.806335449219,2900,1,0.8875,45024.14833068848,2893,2894,2894,2894,2894,1113,2894,1113,1113,1113,2894,1113,1113,2894,2894,1113,15.000000953674316,4.761904716491699,0,0,0,0,0,0,0,5.263157844543457,4.761904716491699,5.263157844543457,10.526315689086914,0,95.23809814453125,0,33039077376,8999923712,5170524160,0
199,1771666026256,14115.658264160156,2900,1,0.8875,14115.658264160156,2900,1,0.8875,13009.914855957031,2900,1,0.8875,13009.914855957031,2900,1,0.8875,12766.709930419922,2900,1,0.8875,12766.709930419922,2900,1,0.8875,12861.835540771484,2900,1,0.8875,12861.835540771484,2900,1,0.8875,45026.02684020996,2893,2894,2894,2894,2894,1113,2894,1113,1113,1113,2894,1113,1113,2894,2894,1113,22.22222328186035,0,4.761904716491699,0,0,0,0,0,5,0,0,5,5.263157844543457,0,100,0,33039077376,8999923712,5183340544,0
199,1771666026456,14115.73910522461,2900,1,0.8875,14115.73910522461,2900,1,0.8875,13009.96322631836,2900,1,0.8875,13009.96322631836,2900,1,0.8875,12766.727249145508,2900,1,0.8875,12766.727249145508,2900,1,0.8875,12861.85317993164,2900,1,0.8875,12861.85317993164,2900,1,0.8875,45028.02737426758,2893,2894,2894,2894,2894,1113,2894,1113,1113,1113,2894,1113,1113,2894,2894,1113,28.571430206298828,5,5.555555820465088,0,0,0,0,0,5,9.523809432983398,0,10,9.523809432983398,0,100,0,33039077376,8999923712,5174591488,0
199,1771666026657,14115.748718261719,2900,1,0.8875,14115.748718261719,2900,1,0.8875,13010.041564941406,2900,1,0.8875,13010.041564941406,2900,1,0.8875,12766.738693237305,2900,1,0.8875,12766.738693237305,2900,1,0.8875,12861.866119384766,2900,1,0.8875,12861.866119384766,2900,1,0.8875,45029.916748046875,2893,2894,2894,2894,2894,1113,2894,1113,1113,1113,2894,1113,1113,2894,2894,1113,0,0,5,0,14.285715103149414,0,0,0,28.571430206298828,5,4.761904716491699,0,5,0,100,0,33039077376,8999923712,5184888832,0
199,1771666026857,14115.748779296875,2900,1,0.8875,14115.748779296875,2900,1,0.8875,13010.110137939453,2900,1,0.8875,13010.110137939453,2900,1,0.8875,12766.738723754883,2900,1,0.8875,12766.738723754883,2900,1,0.8875,12861.887771606445,2900,1,0.8875,12861.887771606445,2900,1,0.8875,45031.77182006836,2893,2894,2894,2894,2894,1113,2894,1113,1113,1113,2894,1113,1113,2894,2894,1113,0,0,0,0,5.263157844543457,0,0,0,21.052631378173828,0,0,0,9.523809432983398,0,100,0,33039077376,8999923712,5195419648,0
199,1771666027057,14115.764663696289,2900,1,1.025,14115.76498413086,2900,1,1.025,13010.184478759766,2900,1,1.025,13010.184478759766,2900,1,1.0375,12766.754257202148,2900,1,1.0375,12766.754257202148,2900,1,1.0375,12861.913497924805,2900,1,1.0375,12861.913497924805,2900,1,1.0375,45033.6921081543,2893,2894,2894,2894,2894,1113,2894,1113,1113,1113,2894,1113,1113,2894,2894,1113,0,0,4.761904716491699,0,5,0,5.263157844543457,0,23.809524536132813,0,0,5,10,0,100,0,33039077376,8999923712,5189955584,0
199,1771666027257,14115.770248413086,2900,1,0.8875,14115.770248413086,2900,1,0.8875,13010.204574584961,2900,1,0.8875,13010.204574584961,2900,1,0.8875,12766.759735107422,2900,1,0.8875,12766.759735107422,2900,1,0.8875,12861.983352661133,2900,1,0.8875,12861.983352661133,2900,1,0.8875,45035.55451965332,2893,2894,2894,2894,2894,1113,2894,1113,1113,1113,2894,1113,1113,2894,2894,1113,0,0,0,0,0,0,9.523809432983398,5,0,5.263157844543457,0,5,21.052631378173828,0,100,0,33039077376,8999923712,5200285696,0
