Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771643601443,8553.909790039063,2900,1,0.8875,8553.909790039063,2900,1,0.8875,7923.705459594727,2900,1,0.8875,7923.705459594727,2900,1,0.8875,7730.789169311523,2900,1,0.8875,7730.789169311523,2900,1,0.8875,7768.126739501953,2900,1,0.8875,7768.126739501953,2900,1,0.8875,34639.63023376465,1113,1113,2895,1113,1113,2894,2893,2894,2894,1113,2894,1113,1113,1113,1113,2894,7.142857551574707,2.4390242099761963,10,4.878048419952393,4.878048419952393,2.4390242099761963,4.878048419952393,4.761904716491699,7.142857551574707,2.4390242099761963,4.761904716491699,4.761904716491699,4.878048419952393,4.761904716491699,2.4390242099761963,2.5,33039077376,8999923712,5161336832,0
199,1771643601443,8553.909805297852,2900,1,0.8875,8553.909805297852,2900,1,0.8875,7923.705474853516,2900,1,0.8875,7923.705474853516,2900,1,0.8875,7730.789749145508,2900,1,0.8875,7730.789749145508,2900,1,0.8875,7768.127410888672,2900,1,0.8875,7768.127410888672,2900,1,0.8875,34639.64749145508,1113,1113,2895,1113,1113,2894,2893,2894,2894,1113,2894,1113,1113,1113,1113,2894,7.142857551574707,2.4390242099761963,10,4.878048419952393,4.878048419952393,2.4390242099761963,4.878048419952393,4.761904716491699,7.142857551574707,2.4390242099761963,4.761904716491699,4.761904716491699,4.878048419952393,4.761904716491699,2.4390242099761963,2.5,33039077376,8999923712,5162827776,0
199,1771643601644,8553.936386108398,2900,1,0.8875,8553.936386108398,2900,1,0.8875,7923.723556518555,2900,1,0.8875,7923.723556518555,2900,1,0.8875,7731.255966186523,2900,1,0.8875,7731.255966186523,2900,1,0.8875,7768.143783569336,2900,1,0.8875,7768.143783569336,2900,1,0.8875,34641.47138977051,1113,1113,2895,1113,1113,2894,2893,2894,2894,1113,2894,1113,1113,1113,1113,2894,0,0,9.090909004211426,0,5,0,0,0,0,5,100,0,0,0,10,0,33039077376,8999923712,5169152000,0
199,1771643601844,8553.939697265625,2900,1,0.8875,8553.939697265625,2900,1,0.8875,7923.7474365234375,2900,1,0.8875,7923.7474365234375,2900,1,0.8875,7731.714492797852,2900,1,0.8875,7731.714492797852,2900,1,0.8875,7768.146484375,2900,1,0.8875,7768.146484375,2900,1,0.8875,34643.24981689453,1113,1113,2895,1113,1113,2894,2893,2894,2894,1113,2894,1113,1113,1113,1113,2894,0,0,0,0,5,4.761904716491699,0,0,0,5,100,0,0,0,5,0,33039077376,8999923712,5173604352,0
199,1771643602044,8553.942153930664,2900,1,0.8875,8553.942153930664,2900,1,0.8875,7923.772476196289,2900,1,0.8875,7923.772476196289,2900,1,0.8875,7732.17155456543,2900,1,0.8875,7732.17366027832,2900,1,0.8875,7768.149002075195,2900,1,0.8875,7768.149002075195,2900,1,0.8875,34645.07279968262,1113,1113,2895,1113,1113,2894,2893,2894,2894,1113,2894,1113,1113,1113,1113,2894,0,0,5,0,5,0,0,5,0,5.263157844543457,95,0,0,0,5.263157844543457,0,33039077376,8999923712,5171187712,0
199,1771643602244,8553.958450317383,2900,1,0.8875,8553.958450317383,2900,1,0.8875,7923.808349609375,2900,1,0.8875,7923.808349609375,2900,1,0.8875,7732.639175415039,2900,1,0.8875,7732.641494750977,2900,1,0.8875,7768.163787841797,2900,1,0.8875,7768.163787841797,2900,1,0.8875,34646.97415161133,1113,1113,2895,1113,1113,2894,2893,2894,2894,1113,2894,1113,1113,1113,1113,2894,4.761904716491699,4.761904716491699,10.526315689086914,0,10,0,0,0,5,5,100,4.761904716491699,4.761904716491699,0,10,0,33039077376,8999923712,5177991168,0
199,1771643602444,8553.960525512695,2900,1,0.8875,8553.960525512695,2900,1,0.8875,7923.833023071289,2900,1,0.8875,7923.833023071289,2900,1,0.8875,7733.0980224609375,2900,1,0.8875,7733.0980224609375,2900,1,0.8875,7768.1644287109375,2900,1,0.8875,7768.1644287109375,2900,1,0.8875,34648.73204040527,1113,1113,2895,1113,1113,2894,2893,2894,2894,1113,2894,1113,1113,1113,1113,2894,0,0,0,0,5,0,0,0,0,10,100,0,0,0,5,0,33039077376,8999923712,5174312960,0
199,1771643602644,8553.96939086914,2900,1,0.8875,8553.96939086914,2900,1,0.8875,7923.862380981445,2900,1,0.8875,7923.862457275391,2875,1,0.8875,7733.561920166016,2900,1,0.8875,7733.561920166016,2900,1,0.8875,7768.169036865234,2900,1,0.8875,7768.169036865234,2900,1,0.8875,34650.564376831055,1113,1113,2895,1113,1113,2894,2893,2894,2894,1113,2894,1113,1113,1113,1113,2894,0,0,0,0,5,0,5,0,0,5,100,0,0,0,5,5,33039077376,8999923712,5170507776,0
199,1771643602844,8553.977966308594,2900,1,0.8875,8553.977966308594,2900,1,0.8875,7923.890670776367,2900,1,0.8875,7923.890670776367,2900,1,0.8875,7734.025695800781,2900,1,0.8875,7734.025695800781,2900,1,0.8875,7768.174011230469,2900,1,0.8875,7768.174011230469,2900,1,0.8875,34652.36022949219,1113,1113,2895,1113,1113,2894,2893,2894,2894,1113,2894,1113,1113,1113,1113,2894,5,0,0,0,0,0,5,0,0,5.263157844543457,100,0,0,5,0,5,33039077376,8999923712,5174833152,0
199,1771643603044,8553.99494934082,2900,1,0.8875,8553.99494934082,2900,1,0.8875,7923.91716003418,2900,1,0.8875,7923.91716003418,2900,1,0.8875,7734.482482910156,2900,1,0.8875,7734.482482910156,2900,1,0.8875,7768.174057006836,2900,1,0.8875,7768.174057006836,2900,1,0.8875,34654.157287597656,1113,1113,2895,1113,1113,2894,2893,2894,2894,1113,2894,1113,1113,1113,1113,2894,5,0,0,0,0,0,5,0,0,10,100,0,0,0,0,5,33039077376,8999923712,5171539968,0
