run_id,provider,level,file_type,file_size,repetition,is_warmup,input_bytes,output_bytes,compression_ratio,wall_time_s,energy_joules,energy_per_mb,rapl_overflow
1,zstd,default,text,small,1,True,10485805,2193734,0.2092,0.643311,1.1851,0.1185,False
2,gzip,fast,text,small,1,True,10485805,2648092,0.2525,0.672119,1.3093,0.1309,False
3,zstd,default,image,small,1,True,10487014,9659926,0.9211,0.668927,1.3155,0.1315,False
4,zstd,default,image,large,1,True,524305254,455072678,0.868,6.029266,52.4558,0.1049,False
5,zstd,fast,pdf,small,1,True,12769358,10512436,0.8233,0.676532,1.0378,0.0852,False
6,gzip,default,pdf,medium,1,True,128005509,104237376,0.8143,5.066573,38.0452,0.3117,False
7,zstd,default,pdf,medium,1,True,128005509,102008755,0.7969,1.437908,9.3294,0.0764,False
8,gzip,fast,text,large,1,True,524288030,132357494,0.2525,6.439859,49.7148,0.0994,False
9,zstd,fast,pdf,medium,1,True,128005509,105000485,0.8203,1.022488,4.9132,0.0402,False
10,7zip,default,text,large,1,True,524288030,71234263,0.1359,36.303571,636.6317,1.2733,False
11,gzip,default,image,medium,1,True,104855286,84865059,0.8094,5.030865,38.211,0.3821,False
12,gzip,fast,pdf,medium,1,True,128005509,104689165,0.8178,4.236558,31.7639,0.2602,False
13,7zip,fast,text,medium,1,True,104857627,19275745,0.1838,1.275549,14.5451,0.1455,False
14,gzip,default,csv,medium,1,True,104857653,23459397,0.2237,4.271878,31.9301,0.3193,False
15,7zip,fast,image,large,1,True,524305254,279173760,0.5325,9.613629,175.0073,0.35,False
16,zstd,default,pdf,large,1,True,640849579,509990233,0.7958,5.631744,48.6624,0.0796,False
17,7zip,fast,pdf,medium,1,True,128005509,99880525,0.7803,2.903433,42.5836,0.3488,False
18,7zip,fast,image,medium,1,True,104855286,61003461,0.5818,2.430143,36.6686,0.3667,False
19,7zip,default,csv,small,1,True,10485765,1693182,0.1615,3.433808,26.7904,2.679,False
20,zstd,default,image,medium,1,True,104855286,92184716,0.8792,1.65626,10.9231,0.1092,False
21,zstd,default,csv,small,1,True,10485765,2299741,0.2193,0.624284,1.1583,0.1158,False
22,gzip,default,text,small,1,True,10485805,1936758,0.1847,0.810827,3.1621,0.3162,False
23,gzip,default,pdf,small,1,True,12769358,10474941,0.8203,1.050136,4.4903,0.3687,False
24,gzip,default,image,large,1,True,524305254,377312321,0.7196,20.46253,168.1095,0.3362,False
25,7zip,default,text,small,1,True,10485805,1428321,0.1362,3.450975,27.3979,2.7398,False
26,7zip,default,image,large,1,True,524305254,230374423,0.4394,19.494049,350.5563,0.7011,False
27,7zip,fast,text,large,1,True,524288030,96386606,0.1838,4.079444,68.3233,0.1366,False
28,7zip,fast,text,small,1,True,10485805,1927433,0.1838,0.677161,1.9356,0.1936,False
29,7zip,default,csv,large,1,True,524288001,81280338,0.155,31.903055,515.9962,1.032,False
30,gzip,fast,csv,large,1,True,524288001,129999687,0.248,6.452924,49.6125,0.0992,False
31,gzip,fast,text,medium,1,True,104857627,26469188,0.2524,1.671273,10.0712,0.1007,False
32,7zip,fast,csv,small,1,True,10485765,2183261,0.2082,0.629806,1.8695,0.1869,False
