provider,level,file_type,file_size,n,mean,median,std,min,max,compression_ratio,epm_mean,epm_median,epp_mean,epp_median
7zip,default,csv,large,30,500.2358,500.0584,2.6877,495.9958,505.8073,0.155,1.0005,1.0001,5.9199,5.9179
7zip,default,csv,medium,30,197.2134,196.9056,1.4886,194.2883,200.2563,0.1562,1.9721,1.9691,2.3372,2.3336
7zip,default,csv,small,30,26.3558,26.3475,0.174,25.9542,26.7211,0.1615,2.6356,2.6347,0.3143,0.3142
7zip,default,image,large,30,347.8815,347.7996,0.9454,346.4211,349.8742,0.4394,0.6957,0.6956,6.2055,6.2041
7zip,default,image,medium,29,100.8654,100.918,0.8538,98.9338,102.2222,0.5321,1.0087,1.0092,2.1557,2.1568
7zip,default,image,small,30,12.2933,12.294,0.1013,12.1136,12.5071,0.672,1.2292,1.2292,0.3748,0.3748
7zip,default,pdf,large,30,471.3683,470.9392,3.0185,466.9141,479.9895,0.7053,0.7713,0.7706,15.9949,15.9803
7zip,default,pdf,medium,30,117.409,117.4426,0.7532,115.9762,119.1836,0.7078,0.9618,0.962,4.0181,4.0193
7zip,default,pdf,small,30,13.4513,13.4216,0.132,13.2432,13.7275,0.7334,1.1046,1.1021,0.5046,0.5034
7zip,default,text,large,30,618.143,616.9259,3.6493,613.8275,627.2725,0.1359,1.2363,1.2339,7.1536,7.1395
7zip,default,text,medium,30,230.8213,230.9116,1.4104,228.0922,233.4268,0.1359,2.3082,2.3091,2.6712,2.6723
7zip,default,text,small,30,27.4923,27.6242,0.4242,26.8203,28.3854,0.1362,2.7492,2.7624,0.3183,0.3198
7zip,fast,csv,large,30,63.7245,63.6682,0.1183,63.5741,63.9755,0.2027,0.1274,0.1273,0.7993,0.7985
7zip,fast,csv,medium,30,13.505,13.4858,0.0754,13.362,13.6727,0.2055,0.135,0.1349,0.17,0.1697
7zip,fast,csv,small,30,1.8995,1.8898,0.0635,1.8046,2.0431,0.2082,0.1899,0.189,0.024,0.0239
7zip,fast,image,large,30,170.0087,169.7072,0.8245,168.5872,172.28,0.5325,0.34,0.3394,3.6366,3.6301
7zip,fast,image,medium,30,35.7535,35.6884,0.2506,35.3847,36.3087,0.5818,0.3575,0.3569,0.8549,0.8534
7zip,fast,image,small,30,4.5323,4.5334,0.0664,4.4052,4.681,0.6886,0.4532,0.4533,0.1455,0.1456
7zip,fast,pdf,large,30,204.2295,204.1105,1.0276,202.5986,207.2918,0.7794,0.3342,0.334,9.2579,9.2525
7zip,fast,pdf,medium,30,41.4975,41.4666,0.2666,41.1006,42.0106,0.7803,0.3399,0.3397,1.8888,1.8874
7zip,fast,pdf,small,30,4.7297,4.7186,0.0881,4.5774,4.9279,0.789,0.3884,0.3875,0.2242,0.2236
7zip,fast,text,large,29,68.0741,68.065,0.1115,67.8301,68.432,0.1838,0.1361,0.1361,0.834,0.8339
7zip,fast,text,medium,30,14.1375,14.143,0.074,13.9792,14.3203,0.1838,0.1414,0.1414,0.1732,0.1733
7zip,fast,text,small,29,1.8931,1.8872,0.0617,1.7866,2.0531,0.1838,0.1893,0.1887,0.0232,0.0231
gzip,default,csv,large,30,148.93,148.8906,0.4148,148.0998,149.9249,0.22,0.2979,0.2978,1.9094,1.9089
gzip,default,csv,medium,29,30.886,30.8772,0.1178,30.6868,31.1372,0.2237,0.3089,0.3088,0.3979,0.3977
gzip,default,csv,small,30,3.2021,3.2012,0.0326,3.1485,3.2714,0.2297,0.3202,0.3201,0.0416,0.0416
gzip,default,image,large,29,167.0125,166.9282,0.4619,165.9805,167.8709,0.7196,0.334,0.3338,5.9562,5.9532
gzip,default,image,medium,30,37.3726,37.5371,0.3698,36.6472,37.8322,0.8094,0.3737,0.3754,1.9608,1.9694
gzip,default,image,small,30,4.5775,4.574,0.1018,4.4229,4.7737,0.8805,0.4577,0.4573,0.3831,0.3828
gzip,default,pdf,large,29,184.0561,183.9388,0.5162,183.2698,185.6952,0.8134,0.3012,0.301,9.8637,9.8574
gzip,default,pdf,medium,30,37.6712,37.6831,0.2582,36.9514,38.3244,0.8143,0.3086,0.3087,2.0286,2.0292
gzip,default,pdf,small,30,4.4585,4.41,0.1423,4.2273,4.7922,0.8203,0.3661,0.3621,0.2481,0.2454
gzip,default,text,large,30,144.3747,144.3458,0.3057,143.7676,144.9731,0.1846,0.2887,0.2887,1.7706,1.7702
gzip,default,text,medium,30,29.4298,29.4013,0.1581,29.1769,29.8651,0.1846,0.2943,0.294,0.3609,0.3606
gzip,default,text,small,30,3.0942,3.0831,0.0454,3.0212,3.213,0.1847,0.3094,0.3083,0.038,0.0378
gzip,fast,csv,large,29,49.0129,49.0269,0.2204,48.3877,49.4556,0.248,0.098,0.0981,0.6518,0.652
gzip,fast,csv,medium,29,9.9938,9.9754,0.1182,9.8657,10.4911,0.2511,0.0999,0.0998,0.1334,0.1332
gzip,fast,csv,small,30,1.2685,1.2601,0.0412,1.2193,1.3853,0.2555,0.1268,0.126,0.017,0.0169
gzip,fast,image,large,30,141.1223,141.12,0.6052,139.7193,142.2654,0.7199,0.2822,0.2822,5.0383,5.0382
gzip,fast,image,medium,30,29.4101,29.3948,0.117,29.2143,29.6338,0.7395,0.2941,0.294,1.129,1.1284
gzip,fast,image,small,30,3.1117,3.099,0.0438,3.0483,3.18,0.7997,0.3111,0.3099,0.1554,0.1547
gzip,fast,pdf,large,29,154.5877,154.6582,0.7365,153.3764,155.873,0.8169,0.2529,0.2531,8.4428,8.4467
gzip,fast,pdf,medium,30,31.4918,31.4278,0.2035,31.1199,31.9836,0.8178,0.258,0.2574,1.7284,1.7249
gzip,fast,pdf,small,30,3.2172,3.2136,0.0441,3.1417,3.3052,0.8234,0.2642,0.2639,0.1822,0.182
